"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU3856",3,6.504,4,10,"Specialists"
"OTU8080",17,6.088,3,9,"Generalists"
"OTU8895",5,2.884,1,5,"NS"
"OTU6",50,7.554,4,11.525,"Generalists"
"OTU7274",50,13.424,9,19,"Generalists"
"OTU10659",2,1.456,1,2,"NS"
"OTU2554",3,2.374,1,4,"NS"
"OTU1852",2,2.974,1,5,"NS"
"OTU7501",4,2.62,1,4,"NS"
"OTU997",1,4.64,2.475,7,"Specialists"
"OTU4041",1,1.972,1,3,"NS"
"OTU697",7,17.172,12,23,"Specialists"
"OTU1953",4,3.794,2,6,"NS"
"OTU347",2,2.558,1,4,"NS"
"OTU633",6,25.432,19,32,"Specialists"
"OTU4174",4,3.682,2,6,"NS"
"OTU4123",10,4.682,2,7,"Generalists"
"OTU10212",2,1.754,1,3,"NS"
"OTU12362",7,3.008,1,5,"Generalists"
"OTU3580",2,1.676,1,3,"NS"
"OTU607",3,3.806,2,6,"NS"
"OTU2635",6,2.904,1,5,"Generalists"
"OTU2636",5,6.854,4,10,"NS"
"OTU3508",1,5.772,3,9,"Specialists"
"OTU4746",4,2.268,1,4,"NS"
"OTU28",4,1.886,1,3,"Generalists"
"OTU701",2,1.388,1,2,"NS"
"OTU11615",10,4.098,2,7,"Generalists"
"OTU2031",21,7.926,5,11,"Generalists"
"OTU1319",4,20.868,16,26.525,"Specialists"
"OTU3296",8,2.566,1,5,"Generalists"
"OTU5291",17,10.134,6,14,"Generalists"
"OTU2005",8,2.746,1,5,"Generalists"
"OTU7937",1,1.432,1,2,"NS"
"OTU44",9,12.95,9,18,"NS"
"OTU9749",1,4.032,2,6,"Specialists"
"OTU281",18,4.62,2,7,"Generalists"
"OTU4904",3,1.734,1,3,"NS"
"OTU11980",28,5.834,3,9,"Generalists"
"OTU12225",17,6.156,3,9,"Generalists"
"OTU27",25,4.934,3,8,"Generalists"
"OTU16",9,4.828,3,7,"Generalists"
"OTU188",12,3.158,1,5,"Generalists"
"OTU42",26,29.128,23,35,"NS"
"OTU248",42,23.294,18,30.525,"Generalists"
"OTU2782",13,3.732,2,6,"Generalists"
"OTU1612",2,3.57,2,6,"NS"
"OTU1491",9,8.092,5,12,"NS"
"OTU29",33,29.1,23,36,"NS"
"OTU841",23,23.83,18,29,"NS"
"OTU11",2,1.44,1,2,"NS"
"OTU4606",2,1.458,1,2,"NS"
"OTU5998",16,3.588,2,6,"Generalists"
"OTU2422",2,4.616,2,7,"NS"
