ITS_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
SRR13801113,61,0.800243849,0.331258781,0.342228526,Fungi,BOER
SRR13801112,72,0.801993275,0.333008208,0.343977952,Fungi,BOER
SRR13801111,83,0.827441454,0.358456387,0.369426132,Fungi,BOER
SRR13801110,61,0.869633759,0.400648692,0.411618436,Fungi,BOER
SRR13801109,59,0.812597128,0.343612061,0.354581806,Fungi,BOER
SRR13801108,66,0.770158086,0.301173019,0.312142763,Fungi,BOER
SRR13801107,79,0.806627489,0.337642422,0.348612167,Fungi,BOER
SRR13800971,186,0.786847494,0.317862427,0.328832171,Fungi,BOER
SRR13800970,176,0.736440885,0.267455818,0.278425563,Fungi,BOER
SRR13800969,192,0.754086367,0.2851013,0.296071044,Fungi,BOER
SRR13800972,203,0.805495979,0.336510912,0.347480657,Fungi,BOER
SRR13800968,195,0.78964941,0.320664343,0.331634088,Fungi,BOER
SRR13800967,180,0.741160502,0.272175435,0.28314518,Fungi,BOER
SRR13800966,187,0.814262316,0.345277249,0.356246994,Fungi,BOER
SRR13800965,172,0.751569687,0.28258462,0.293554365,Fungi,BOER
SRR13800964,175,0.78875524,0.319770173,0.330739918,Fungi,BOER
SRR13800963,164,0.737075241,0.268090174,0.279059919,Fungi,BOER
SRR13800961,191,0.795228096,0.326243029,0.337212773,Fungi,BOER
SRR13800960,188,0.788301908,0.319316841,0.330286585,Fungi,BOER
SRR13801565,103,0.880604767,0.4116197,0.422589445,Fungi,BOER
SRR13801564,83,0.804257559,0.335272492,0.346242236,Fungi,BOER
SRR13801563,79,0.932477395,0.463492328,0.474462072,Fungi,BOER
SRR13801566,56,0.86624947,0.397264403,0.408234148,Fungi,BOER
SRR13801561,87,0.844784353,0.375799286,0.38676903,Fungi,BOER
SRR13801559,73,0.887739593,0.418754526,0.429724271,Fungi,BOER
SRR13801558,80,0.868977332,0.399992265,0.41096201,Fungi,BOER
SRR13801556,53,0.856799731,0.387814664,0.398784409,Fungi,BOER
SRR13801555,40,0.936663844,0.467678777,0.478648521,Fungi,BOER
SRR13801399,172,0.760130056,0.246959413,0.25201969,Fungi,BOGR
SRR13801186,168,0.812076515,0.298905872,0.303966149,Fungi,BOGR
SRR13801171,160,0.957398498,0.444227855,0.449288133,Fungi,BOGR
SRR13801400,166,0.689579683,0.17640904,0.181469317,Fungi,BOGR
SRR13801525,226,0.750182799,0.237012156,0.242072434,Fungi,BOGR
SRR13800997,197,0.738232139,0.225061495,0.230121773,Fungi,BOGR
SRR13801246,187,0.774235443,0.2610648,0.266125077,Fungi,BOGR
SRR13801475,195,0.876317302,0.363146659,0.368206936,Fungi,BOGR
SRR13801023,206,0.757388106,0.244217463,0.24927774,Fungi,BOGR
SRR13801012,207,0.742255511,0.229084868,0.234145145,Fungi,BOGR
SRR13801398,192,0.700573118,0.187402475,0.192462752,Fungi,BOGR
SRR13801333,175,0.773569143,0.2603985,0.265458778,Fungi,BOGR
SRR13801401,72,0.909964834,0.396794191,0.401854468,Fungi,BOGR
SRR13801524,68,0.824692791,0.311522148,0.316582425,Fungi,BOGR
SRR13800952,99,0.802304799,0.289134156,0.294194434,Fungi,BOGR
SRR13801146,54,0.806485607,0.293314964,0.298375241,Fungi,BOGR
SRR13801135,151,0.917971637,0.404800994,0.409861272,Fungi,BOGR
SRR13801476,107,0.914623956,0.401453313,0.406513591,Fungi,BOGR
SRR13801245,108,0.787756055,0.274585412,0.27964569,Fungi,BOGR
SRR13801546,91,0.777619547,0.264448903,0.269509181,Fungi,BOGR
SRR13801070,111,0.864400062,0.351229419,0.356289697,Fungi,BOGR
SRR13801059,87,0.927802882,0.414632239,0.419692517,Fungi,BOGR
SRR13801489,114,0.841732236,0.328561593,0.33362187,Fungi,BOGR
SRR13801478,101,0.929489751,0.416319108,0.421379385,Fungi,BOGR
SRR13801335,188,0.687452752,0.174282109,0.179342387,Fungi,BOGR
SRR13801330,161,0.679980959,0.166810316,0.171870594,Fungi,BOGR
SRR13801329,185,0.7366648,0.223494157,0.228554434,Fungi,BOGR
SRR13801328,145,0.720673499,0.207502856,0.212563133,Fungi,BOGR
SRR13801327,178,0.701454366,0.188283723,0.193344001,Fungi,BOGR
SRR13801279,83,0.818920214,0.305749571,0.310809848,Fungi,BOGR
SRR13801282,69,0.776885718,0.263715074,0.268775352,Fungi,BOGR
SRR13801277,68,0.945674459,0.432503816,0.437564093,Fungi,BOGR
SRR13801276,96,0.819796844,0.306626201,0.311686478,Fungi,BOGR
SRR13801275,93,0.78170783,0.268537187,0.273597465,Fungi,BOGR
SRR13801274,100,0.799778351,0.286607708,0.291667985,Fungi,BOGR
SRR13801207,83,0.91883782,0.405667177,0.410727454,Fungi,BOGR
SRR13801203,86,0.874481676,0.361311033,0.366371311,Fungi,BOGR
SRR13801202,99,0.824332025,0.311161381,0.316221659,Fungi,BOGR
SRR13801201,140,0.957015945,0.443845302,0.448905579,Fungi,BOGR
SRR13801200,86,0.793710974,0.280540331,0.285600608,Fungi,BOGR
SRR13801105,80,0.794610588,0.281439945,0.286500222,Fungi,BOGR
SRR13801106,89,0.815429957,0.302259314,0.307319591,Fungi,BOGR
SRR13800981,87,0.807796351,0.294625708,0.299685985,Fungi,BOGR
SRR13800980,51,0.788643054,0.275472411,0.280532688,Fungi,BOGR
SRR13800979,81,0.811605492,0.298434849,0.303495127,Fungi,BOGR
SRR13800978,68,0.79266454,0.279493897,0.284554174,Fungi,BOGR
SRR13800933,203,0.739263239,0.226092596,0.231152873,Fungi,BOGR
SRR13800932,181,0.751202971,0.238032328,0.243092605,Fungi,BOGR
SRR13800935,195,0.691871911,0.178701268,0.183761545,Fungi,BOGR
SRR13800930,207,0.714411543,0.2012409,0.206301178,Fungi,BOGR
SRR13800929,189,0.739592361,0.226421718,0.231481996,Fungi,BOGR
SRR13800928,201,0.716351718,0.203181075,0.208241352,Fungi,BOGR
SRR13800926,172,0.713278811,0.200108168,0.205168446,Fungi,BOGR
SRR13800925,177,0.705295629,0.192124986,0.197185264,Fungi,BOGR
SRR13800924,165,0.696553921,0.183383278,0.188443556,Fungi,BOGR
SRR13800923,171,0.729687857,0.216517214,0.221577492,Fungi,BOGR
SRR13801588,138,0.930464196,0.417293553,0.42235383,Fungi,BOGR
SRR13801157,84,0.889515185,0.376344541,0.381404819,Fungi,BOGR
SRR13801153,138,0.962211924,0.449041281,0.454101559,Fungi,BOGR
SRR13801152,130,0.970643191,0.457472548,0.462532826,Fungi,BOGR
SRR13801373,124,0.821641272,0.308470629,0.313530906,Fungi,BOGR
SRR13801372,92,0.926442994,0.413272351,0.418332628,Fungi,BOGR
SRR13801371,147,0.864914435,0.351743792,0.35680407,Fungi,BOGR
SRR13801410,74,0.900173695,0.387003051,0.392063329,Fungi,BOGR
SRR13801409,112,0.946082251,0.432911608,0.437971885,Fungi,BOGR
SRR13801408,114,0.806084373,0.29291373,0.297974008,Fungi,BOGR
SRR13801407,122,0.819959909,0.306789266,0.311849543,Fungi,BOGR
SRR13800940,123,0.89512632,0.381955677,0.387015954,Fungi,BOGR
SRR13800938,157,0.862454902,0.349284259,0.354344536,Fungi,BOGR
SRR13800937,93,0.968562674,0.455392031,0.460452308,Fungi,BOGR
SRR13800936,116,0.905113338,0.391942695,0.397002972,Fungi,BOGR
SRR13801151,122,0.892214365,0.379043722,0.384104,Fungi,BOGR
SRR13801150,86,0.894866875,0.381696232,0.38675651,Fungi,BOGR
SRR13801149,111,0.975913774,0.462743131,0.467803408,Fungi,BOGR
SRR13801147,169,0.914134751,0.400964108,0.406024385,Fungi,BOGR
SRR13801145,162,0.962192593,0.44902195,0.454082227,Fungi,BOGR
SRR13801375,74,0.832284444,0.319113801,0.324174078,Fungi,BOGR
SRR13801445,67,0.852871075,0.339700432,0.344760709,Fungi,BOGR
SRR13801444,89,0.846906666,0.333736023,0.338796301,Fungi,BOGR
SRR13801443,56,0.784520941,0.271350298,0.276410575,Fungi,BOGR
SRR13801441,80,0.774345725,0.261175082,0.26623536,Fungi,BOGR
SRR13801499,194,0.772707094,0.259536451,0.264596729,Fungi,BOGR
SRR13801054,171,0.82574498,0.312574337,0.317634615,Fungi,BOGR
SRR13801053,186,0.771860571,0.258689928,0.263750205,Fungi,BOGR
SRR13801051,178,0.740870498,0.227699855,0.232760133,Fungi,BOGR
SRR13801050,155,0.834521666,0.321351023,0.3264113,Fungi,BOGR
SRR13801049,153,0.785264226,0.272093583,0.27715386,Fungi,BOGR
SRR13801032,118,0.860561128,0.347390485,0.352450762,Fungi,BOGR
SRR13801242,127,0.942757627,0.429586984,0.434647262,Fungi,BOGR
SRR13801549,48,0.78376735,0.270596707,0.275656984,Fungi,BOGR
SRR13801545,42,0.904014561,0.390843918,0.395904195,Fungi,BOGR
SRR13801078,52,0.795006756,0.281836113,0.286896391,Fungi,BOGR
SRR13801030,115,0.853526743,0.359268495,0.364478619,Fungi,BUDA
SRR13801029,109,0.854910178,0.36065193,0.365862054,Fungi,BUDA
SRR13801028,79,0.826921822,0.332663574,0.337873698,Fungi,BUDA
SRR13801031,127,0.869724772,0.375466524,0.380676648,Fungi,BUDA
SRR13801027,89,0.859728672,0.365470424,0.370680548,Fungi,BUDA
SRR13801026,69,0.817186097,0.322927849,0.328137972,Fungi,BUDA
SRR13801025,118,0.900359892,0.406101643,0.411311767,Fungi,BUDA
SRR13801024,137,0.829949543,0.335691294,0.340901418,Fungi,BUDA
SRR13801022,167,0.850232984,0.355974736,0.36118486,Fungi,BUDA
SRR13801021,144,0.833525652,0.339267403,0.344477527,Fungi,BUDA
SRR13801020,165,0.968495587,0.474237339,0.479447463,Fungi,BUDA
SRR13801019,100,0.825625599,0.331367351,0.336577475,Fungi,BUDA
SRR13801193,86,0.97507492,0.480816671,0.486026795,Fungi,BUDA
SRR13801192,138,0.909047951,0.414789703,0.419999827,Fungi,BUDA
SRR13801191,142,0.848598506,0.354340258,0.359550382,Fungi,BUDA
SRR13801194,106,0.819456638,0.32519839,0.330408514,Fungi,BUDA
SRR13801190,89,0.85640223,0.362143982,0.367354106,Fungi,BUDA
SRR13801189,114,0.875610682,0.381352433,0.386562557,Fungi,BUDA
SRR13801188,58,0.975897068,0.481638819,0.486848943,Fungi,BUDA
SRR13801187,70,0.853347128,0.35908888,0.364299004,Fungi,BUDA
SRR13801184,99,0.826193571,0.331935323,0.337145447,Fungi,BUDA
SRR13801183,99,0.954359464,0.460101216,0.46531134,Fungi,BUDA
SRR13801182,108,0.837545244,0.343286996,0.34849712,Fungi,BUDA
SRR13801181,86,0.93459541,0.440337161,0.445547285,Fungi,BUDA
SRR13801365,66,0.831277546,0.337019298,0.342229422,Fungi,BUDA
SRR13801364,123,0.844690793,0.350432545,0.355642669,Fungi,BUDA
SRR13801366,129,0.854671403,0.360413155,0.365623279,Fungi,BUDA
SRR13801362,100,0.853251134,0.358992886,0.36420301,Fungi,BUDA
SRR13801361,143,0.868950163,0.374691915,0.379902039,Fungi,BUDA
SRR13801360,92,0.934400344,0.440142095,0.445352219,Fungi,BUDA
SRR13801358,99,0.946107541,0.451849293,0.457059417,Fungi,BUDA
SRR13801356,100,0.92324659,0.428988341,0.434198465,Fungi,BUDA
SRR13801355,115,0.935691143,0.441432895,0.446643019,Fungi,BUDA
SRR13801354,116,0.871932216,0.377673968,0.382884092,Fungi,BUDA
SRR13801472,185,0.793037376,0.298779128,0.303989251,Fungi,BUDA
SRR13801471,195,0.790937214,0.296678966,0.30188909,Fungi,BUDA
SRR13801470,174,0.822034886,0.327776638,0.332986762,Fungi,BUDA
SRR13801402,154,0.852170852,0.357912604,0.363122728,Fungi,BUDA
SRR13801469,180,0.763043992,0.268785743,0.273995867,Fungi,BUDA
SRR13801468,173,0.834659484,0.340401235,0.345611359,Fungi,BUDA
SRR13801466,193,0.814312381,0.320054132,0.325264256,Fungi,BUDA
SRR13801465,169,0.838310176,0.344051927,0.349262051,Fungi,BUDA
SRR13801464,189,0.875016366,0.380758118,0.385968242,Fungi,BUDA
SRR13801463,167,0.79977947,0.305521222,0.310731346,Fungi,BUDA
SRR13801461,187,0.789658677,0.295400428,0.300610552,Fungi,BUDA
SRR13801542,130,0.936122304,0.441864056,0.44707418,Fungi,BUDA
SRR13801541,95,0.826273911,0.332015663,0.337225787,Fungi,BUDA
SRR13801540,116,0.955961395,0.461703147,0.466913271,Fungi,BUDA
SRR13801543,128,0.925104046,0.430845797,0.436055921,Fungi,BUDA
SRR13801539,137,0.945649948,0.451391699,0.456601823,Fungi,BUDA
SRR13801538,172,0.94815228,0.453894032,0.459104156,Fungi,BUDA
SRR13801537,127,0.91701475,0.422756502,0.427966626,Fungi,BUDA
SRR13801535,164,0.926643455,0.432385207,0.437595331,Fungi,BUDA
SRR13801534,87,0.968398181,0.474139933,0.479350057,Fungi,BUDA
SRR13801533,114,0.963770446,0.469512197,0.474722321,Fungi,BUDA
SRR13801532,87,0.963922073,0.469663825,0.474873949,Fungi,BUDA
SRR13801531,96,0.916481957,0.422223708,0.427433832,Fungi,BUDA
SRR13801143,143,0.826822143,0.332563894,0.337774018,Fungi,BUDA
SRR13801142,130,0.86940145,0.375143202,0.380353326,Fungi,BUDA
SRR13801141,138,0.89418197,0.399923721,0.405133845,Fungi,BUDA
SRR13801144,114,0.941458895,0.447200647,0.452410771,Fungi,BUDA
SRR13801140,125,0.908674486,0.414416238,0.419626362,Fungi,BUDA
SRR13801139,140,0.945338149,0.451079901,0.456290025,Fungi,BUDA
SRR13801138,149,0.915868491,0.421610243,0.426820367,Fungi,BUDA
SRR13801136,123,0.963672648,0.469414399,0.474624523,Fungi,BUDA
SRR13801134,162,0.974235251,0.479977003,0.485187127,Fungi,BUDA
SRR13801133,134,0.954265074,0.460006825,0.465216949,Fungi,BUDA
SRR13801132,158,0.89681204,0.402553791,0.407763915,Fungi,BUDA
SRR13800991,180,0.844809928,0.35055168,0.355761804,Fungi,BUDA
SRR13800990,219,0.836426729,0.342168481,0.347378604,Fungi,BUDA
SRR13800989,187,0.842677795,0.348419546,0.35362967,Fungi,BUDA
SRR13800992,171,0.77929096,0.285032711,0.290242835,Fungi,BUDA
SRR13800988,196,0.764388334,0.270130086,0.27534021,Fungi,BUDA
SRR13800987,154,0.817865825,0.323607577,0.3288177,Fungi,BUDA
