X16S_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
X1351_1481,826,0.585375017,-0.240337654,-0.060805013,Bacteria,BOER
X1351_1482,1030,0.555047456,-0.270665215,-0.091132574,Bacteria,BOER
X1351_1483,843,0.597655223,-0.228057448,-0.048524807,Bacteria,BOER
X1351_1484,812,0.590000596,-0.235712075,-0.056179434,Bacteria,BOER
X1351_1485,910,0.568614528,-0.257098144,-0.077565502,Bacteria,BOER
X1351_1486,1020,0.570356929,-0.255355743,-0.075823102,Bacteria,BOER
X1351_1499,790,0.644559162,-0.181153509,-0.001620868,Bacteria,BOER
X1351_1500,996,0.595027377,-0.230685294,-0.051152653,Bacteria,BOER
X1351_1501,1023,0.60443875,-0.221273921,-0.04174128,Bacteria,BOER
X1351_1490,835,0.64376957,-0.181943101,-0.00241046,Bacteria,BOER
X1351_1491,855,0.629270816,-0.196441855,-0.016909214,Bacteria,BOER
X1351_1492,817,0.57008041,-0.255632262,-0.076099621,Bacteria,BOER
X1351_1493,1054,0.592843026,-0.232869646,-0.053337004,Bacteria,BOER
X1351_1494,970,0.557870779,-0.267841892,-0.088309251,Bacteria,BOER
X1351_1495,760,0.670041041,-0.155671631,0.02386101,Bacteria,BOER
X1351_1496,803,0.581640059,-0.244072613,-0.064539972,Bacteria,BOER
X1351_1497,938,0.593873984,-0.231838688,-0.052306047,Bacteria,BOER
X1351_1498,1061,0.591907328,-0.233805344,-0.054272703,Bacteria,BOER
X1351_1748,1015,0.621743324,-0.203969347,-0.024436706,Bacteria,BOER
X1351_1749,747,0.645683163,-0.180029509,-0.000496868,Bacteria,BOER
X1351_1750,890,0.598572411,-0.227140261,-0.04760762,Bacteria,BOER
X1351_1739,1145,0.574752346,-0.250960326,-0.071427685,Bacteria,BOER
X1351_1740,971,0.611529717,-0.214182955,-0.034650314,Bacteria,BOER
X1351_1741,1276,0.585110113,-0.240602559,-0.061069918,Bacteria,BOER
X1351_1742,938,0.588795897,-0.236916775,-0.057384134,Bacteria,BOER
X1351_1743,1106,0.584194454,-0.241518218,-0.061985577,Bacteria,BOER
X1351_1744,1042,0.58360458,-0.242108091,-0.06257545,Bacteria,BOER
X1351_1745,1037,0.601184314,-0.224528358,-0.044995717,Bacteria,BOER
X1351_1746,861,0.615268166,-0.210444506,-0.030911864,Bacteria,BOER
X1351_1747,1042,0.600124655,-0.225588016,-0.046055375,Bacteria,BOER
X1351_1609,780,0.570168302,-0.25554437,-0.076011729,Bacteria,BOER
X1351_1610,680,0.578701683,-0.247010989,-0.067478348,Bacteria,BOER
X1351_1611,724,0.590956466,-0.234756206,-0.055223565,Bacteria,BOER
X1351_1600,641,0.61888021,-0.206832461,-0.02729982,Bacteria,BOER
X1351_1601,676,0.586145187,-0.239567484,-0.060034843,Bacteria,BOER
X1351_1602,817,0.563796537,-0.261916134,-0.082383493,Bacteria,BOER
X1351_1603,674,0.661808092,-0.163904579,0.015628062,Bacteria,BOER
X1351_1604,581,0.638282056,-0.187430615,-0.007897974,Bacteria,BOER
X1351_1605,725,0.613808844,-0.211903827,-0.032371186,Bacteria,BOER
X1351_1606,781,0.558433487,-0.267279184,-0.087746543,Bacteria,BOER
X1351_1607,665,0.611559111,-0.21415356,-0.034620919,Bacteria,BOER
X1351_1608,749,0.563071033,-0.262641639,-0.083108997,Bacteria,BOER
X1351_1949,893,0.628592205,-0.192232931,-0.045258618,Bacteria,BOGR
X1351_1950,1107,0.580137678,-0.240687458,-0.093713145,Bacteria,BOGR
X1351_1951,860,0.613752498,-0.207072638,-0.060098325,Bacteria,BOGR
X1351_1940,945,0.633586113,-0.187239023,-0.04026471,Bacteria,BOGR
X1351_1941,932,0.594049272,-0.226775864,-0.079801551,Bacteria,BOGR
X1351_1942,937,0.658777834,-0.162047302,-0.01507299,Bacteria,BOGR
X1351_1943,1069,0.599634982,-0.221190155,-0.074215842,Bacteria,BOGR
X1351_1944,1269,0.626742021,-0.194083115,-0.047108802,Bacteria,BOGR
X1351_1945,888,0.744255434,-0.076569702,0.070404611,Bacteria,BOGR
X1351_1946,814,0.621769542,-0.199055594,-0.052081281,Bacteria,BOGR
X1351_1947,910,0.674252199,-0.146572937,0.000401376,Bacteria,BOGR
X1351_1948,1025,0.714610289,-0.106214847,0.040759465,Bacteria,BOGR
X1351_673,751,0.583742511,-0.237082625,-0.090108312,Bacteria,BOGR
X1351_677,1150,0.652714483,-0.168110653,-0.02113634,Bacteria,BOGR
X1351_678,1119,0.608963283,-0.211861853,-0.06488754,Bacteria,BOGR
X1351_1375,995,0.616244421,-0.204580715,-0.057606403,Bacteria,BOGR
X1351_680,828,0.642066396,-0.17875874,-0.031784428,Bacteria,BOGR
X1351_681,1262,0.646290731,-0.174534405,-0.027560092,Bacteria,BOGR
X1351_682,1281,0.629854887,-0.190970249,-0.043995936,Bacteria,BOGR
X1351_683,1028,0.657855237,-0.162969899,-0.015995586,Bacteria,BOGR
X1351_684,1119,0.619357615,-0.201467521,-0.054493208,Bacteria,BOGR
X1351_700,661,0.628144081,-0.192681056,-0.045706743,Bacteria,BOGR
X1351_701,664,0.724684295,-0.096140841,0.050833472,Bacteria,BOGR
X1351_702,640,0.637889926,-0.18293521,-0.035960897,Bacteria,BOGR
X1351_703,506,0.652257918,-0.168567218,-0.021592905,Bacteria,BOGR
X1351_1335,916,0.617677413,-0.203147723,-0.05617341,Bacteria,BOGR
X1351_621,704,0.669261932,-0.151563204,-0.004588891,Bacteria,BOGR
X1351_622,836,0.617226756,-0.20359838,-0.056624067,Bacteria,BOGR
X1351_623,911,0.597846124,-0.222979012,-0.076004699,Bacteria,BOGR
X1351_625,869,0.585654209,-0.235170927,-0.088196614,Bacteria,BOGR
X1351_615,1059,0.618900387,-0.201924749,-0.054950436,Bacteria,BOGR
