"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"SRR13801054",171,0.825744980282357,0.312574337185949,0.317634614636864
"SRR13801053",186,0.771860570941803,0.258689927845395,0.26375020529631
"SRR13801051",178,0.740870498478479,0.227699855382071,0.232760132832986
"SRR13801050",155,0.83452166571383,0.321351022617422,0.326411300068337
"SRR13801049",153,0.785264225810485,0.272093582714077,0.277153860164992
"SRR13801032",118,0.860561127732118,0.347390484635711,0.352450762086625
"SRR13801242",127,0.942757627348874,0.429586984252467,0.434647261703381
"SRR13801549",48,0.783767349646925,0.270596706550518,0.275656984001432
"SRR13801545",42,0.904014560790315,0.390843917693907,0.395904195144821
"SRR13801078",52,0.795006756470557,0.281836113374149,0.286896390825064
