"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU1245",15,16.868,13,21,"NS"
"OTU27199",2,1.872,1,2,"NS"
"OTU317",37,32.484,27,38.525,"NS"
"OTU1027",25,24.714,20,30,"NS"
"OTU4459",4,3.474,2,4,"NS"
"OTU1231",58,45.132,38,51,"Generalists"
"OTU62474",33,20.778,16,25,"Generalists"
"OTU8767",5,4.132,3,5,"NS"
"OTU1852",58,30.434,25,36,"Generalists"
"OTU35215",33,27.98,22,33,"NS"
"OTU1601",5,5.954,4,8,"NS"
"OTU836",50,47.132,42,54,"NS"
"OTU1220",35,25.788,21,31,"Generalists"
"OTU37060",78,74.76,71,78,"NS"
"OTU761",58,33.91,28,40,"Generalists"
"OTU554",27,19.22,15,24,"Generalists"
"OTU868",58,34.414,29,40,"Generalists"
"OTU171",40,48.324,42,55,"Specialists"
"OTU69",73,60.704,55,66,"Generalists"
"OTU1276",74,57.274,51,63.525,"Generalists"
"OTU17671",44,24.582,20,30,"Generalists"
"OTU1749",18,10.314,7,13,"Generalists"
"OTU78",35,32.97,27,39,"NS"
"OTU4293",39,21.282,17,26,"Generalists"
"OTU4682",18,12.732,9,16,"Generalists"
"OTU558",49,46.414,40,52,"NS"
"OTU421",41,26.402,21,32,"Generalists"
"OTU574",65,64.044,58,70,"NS"
"OTU607",25,16.246,12.475,20,"Generalists"
"OTU59",52,33.766,28,39.525,"Generalists"
"OTU908",23,27.234,22,33,"NS"
"OTU51924",61,35.152,29,41,"Generalists"
"OTU236",22,25.418,20,30,"NS"
"OTU3894",38,33.35,27,39,"NS"
"OTU3434",30,19.048,15,24,"Generalists"
"OTU13173",28,17.35,13,22,"Generalists"
"OTU1775",4,3.42,2,4,"NS"
"OTU2125",34,25.738,21,31,"Generalists"
"OTU221",7,12.326,9,16,"Specialists"
"OTU60311",15,17.06,13,21,"NS"
"OTU1326",3,3.448,2,4,"NS"
"OTU36",77,71.98,67.475,76,"Generalists"
"OTU179",67,59.628,54,66,"Generalists"
"OTU2443",5,7.408,5,10,"NS"
"OTU2620",54,42.102,36,48,"Generalists"
"OTU215",58,51.756,45,57.525,"Generalists"
"OTU647",34,23.804,19,29,"Generalists"
"OTU56476",9,11.828,9,15.525,"NS"
"OTU1817",56,30.03,25,36,"Generalists"
"OTU148",67,68.774,63,74,"NS"
"OTU384",53,40.856,35,47,"Generalists"
"OTU419",41,29.75,24.475,35.525,"Generalists"
"OTU48121",21,19.806,15,25,"NS"
"OTU3433",10,14.298,11,18,"Specialists"
"OTU2956",19,15.824,12,20,"NS"
"OTU51482",76,75.714,73,78,"NS"
"OTU84915",34,18.354,14,23,"Generalists"
"OTU12131",9,6.502,4,8,"Generalists"
"OTU1271",68,41.8,36,48,"Generalists"
"OTU716",66,47.232,40.475,53,"Generalists"
"OTU23",77,68.514,63,73.525,"Generalists"
"OTU6615",19,22.902,18,28,"NS"
"OTU401",20,24.616,20,30,"NS"
"OTU67528",77,55.08,50,61,"Generalists"
"OTU35255",28,60.836,55,66,"Specialists"
"OTU83",59,46.114,40,53,"Generalists"
"OTU2319",3,3.436,2,4,"NS"
"OTU5749",78,61.282,55,67,"Generalists"
