"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU6337",3,1.9,1,3,"NS"
"OTU10535",10,3.742,2,6,"Generalists"
"OTU150",1,1.416,1,2,"NS"
"OTU208",6,4.46,2,7,"NS"
"OTU10013",7,3.898,2,6,"Generalists"
"OTU171",10,48.682,42,55,"Specialists"
"OTU866",9,11.87,8,17,"NS"
"OTU8616",6,5.492,3,9,"NS"
"OTU7289",2,3.308,1,6,"NS"
"OTU261",8,22.042,17,28,"Specialists"
"OTU9051",2,2.342,1,4,"NS"
"OTU955",2,18.176,13.475,23,"Specialists"
"OTU10966",8,9.812,6,14,"NS"
"OTU128",5,30.822,25,37,"Specialists"
"OTU11211",3,19.266,14,25,"Specialists"
"OTU43",1,29.802,23,37,"Specialists"
"OTU660",5,31.28,25,38,"Specialists"
"OTU7390",1,1.404,1,2,"NS"
"OTU219",2,17.862,13,23,"Specialists"
"OTU1349",7,12.946,8,18,"Specialists"
"OTU7878",2,1.652,1,3,"NS"
"OTU2142",7,6.678,4,10,"NS"
"OTU274",3,25.968,20,32.525,"Specialists"
"OTU251",4,2.488,1,4,"NS"
"OTU5065",3,9.45,6,13.525,"Specialists"
"OTU8629",2,1.374,1,2,"NS"
"OTU1870",8,14.92,10,20,"Specialists"
"OTU5613",14,8.82,5,13,"Generalists"
"OTU1281",11,12.492,9,17,"NS"
"OTU17",4,1.892,1,3,"Generalists"
"OTU169",7,2.712,1,5,"Generalists"
"OTU70",3,1.696,1,3,"NS"
"OTU3170",7,4.672,2,8,"NS"
"OTU6797",3,2.808,1,5,"NS"
"OTU8311",2,1.85,1,3,"NS"
"OTU1149",6,10.804,7,15,"Specialists"
"OTU2781",2,1.344,1,2,"NS"
"OTU2498",9,4.902,2,8,"Generalists"
"OTU2099",3,10.162,6,14,"Specialists"
"OTU10381",4,1.846,1,3,"Generalists"
"OTU4026",3,5.758,3,9,"NS"
"OTU217",11,38.596,31,46,"Specialists"
"OTU199",5,2.564,1,4,"Generalists"
"OTU11321",2,10.648,6,15,"Specialists"
"OTU490",8,9.826,6,14,"NS"
"OTU7056",6,2.7,1,5,"Generalists"
"OTU5178",1,1.372,1,2,"NS"
"OTU209",10,28.646,23,35,"Specialists"
"OTU558",4,6.564,4,10,"NS"
"OTU4759",2,1.382,1,2,"NS"
"OTU511",4,3.208,1,5,"NS"
"OTU586",27,24.084,18.475,30,"NS"
"OTU7317",3,1.88,1,3,"NS"
"OTU1916",4,4.262,2,7,"NS"
"OTU3187",8,6.294,4,9,"NS"
"OTU3810",2,2.154,1,4,"NS"
"OTU386",6,6.42,3,10,"NS"
"OTU2556",10,4.476,2,7,"Generalists"
"OTU775",1,1.826,1,3,"NS"
"OTU1922",3,3.044,1,5,"NS"
"OTU610",1,1.43,1,2,"NS"
"OTU4465",9,6.776,4,10,"NS"
"OTU2656",28,11.3,7,16,"Generalists"
"OTU1621",23,11.54,7,16,"Generalists"
"OTU5325",1,3.828,2,6,"Specialists"
"OTU2524",4,2.616,1,4.52499999999998,"NS"
"OTU3827",19,9.738,6,14,"Generalists"
"OTU1177",8,14.548,10,19,"Specialists"
"OTU530",2,2.082,1,3.52499999999998,"NS"
"OTU1282",23,8.56,5,12,"Generalists"
"OTU329",50,34.394,28,41,"Generalists"
"OTU8724",2,2.228,1,4,"NS"
"OTU9550",7,4.272,2,7,"NS"
"OTU1225",2,1.66,1,3,"NS"
"OTU1081",6,3.246,1,6,"NS"
"OTU1120",1,1.408,1,2,"NS"
"OTU6028",1,1.654,1,3,"NS"
"OTU1392",3,9.152,6,13,"Specialists"
"OTU12152",6,24.03,19,30,"Specialists"
"OTU1980",1,1.388,1,2,"NS"
"OTU777",24,16.41,11,21,"Generalists"
"OTU1204",8,4.218,2,7,"Generalists"
"OTU272",2,1.404,1,2,"NS"
"OTU793",3,1.866,1,3,"NS"
