"","rich_current_names","sobs","chao","shannonH","simpson_inv","simpsonD","simpsoneven","shannoneven"
"SRR13801338","SRR13801338",174,231.5,3.25734668713373,0.930786623682484,0.0692133763175163,0.0830349094720747,0.631384332637346
"SRR13801337","SRR13801337",153,200.045454545455,2.27995105462127,0.760058567747385,0.239941432252615,0.0272397628498654,0.453231128233499
"SRR13801336","SRR13801336",138,161.619047619048,2.18225307892579,0.7674134449246,0.2325865550754,0.0311556134843868,0.442894402920553
"SRR13801335","SRR13801335",192,248.4,3.12224763719161,0.887888199534666,0.112111800465334,0.0464566023533251,0.593865979189132
"SRR13801330","SRR13801330",163,217.05,2.73420928873732,0.823257215118387,0.176742784881613,0.0347112858341727,0.536777262517558
"SRR13801329","SRR13801329",189,232,3.30976260728193,0.921308394001665,0.0786916059983355,0.0672372259261961,0.631423568854604
"SRR13801328","SRR13801328",149,188.055555555556,2.68574188875993,0.845600250225107,0.154399749774893,0.0434677478801491,0.536724761728329
"SRR13801327","SRR13801327",183,239.894736842105,2.75306868144796,0.771699824151351,0.228300175848649,0.0239355088273765,0.528472214087054
"SRR13801320","SRR13801320",197,285.666666666667,3.32532271733911,0.913419107041592,0.0865808929584084,0.0586288955742021,0.62941406163291
"SRR13801319","SRR13801319",167,208.130434782609,3.19238195592127,0.926322159978649,0.0736778400213514,0.0812730659633958,0.623756509469832
"SRR13801318","SRR13801318",159,194.454545454545,2.47863366320693,0.806450218978239,0.193549781021761,0.0324945248860474,0.4889880661231
"SRR13801321","SRR13801321",197,262.619047619048,3.16091010238568,0.890048880983752,0.109951119016248,0.0461672621197203,0.598294191305157
"SRR13801317","SRR13801317",210,267.115384615385,3.69473863511817,0.955753473233622,0.0442465267663783,0.107622114319789,0.690978929055203
"SRR13801316","SRR13801316",208,276.142857142857,3.64355412965728,0.946535432165997,0.0534645678340033,0.0899229621123885,0.68262822208496
"SRR13801315","SRR13801315",179,215.12,3.05674648796221,0.868106985461333,0.131893014538667,0.0423569981951785,0.589265306721635
"SRR13801314","SRR13801314",179,260.052631578947,3.26310712097478,0.92570367212068,0.0742963278793203,0.0751933822065239,0.629046545429621
