rich_current_bac_names,sobs,chao,shannonH,simpson_inv,simpsonD,simpsoneven,shannoneven,rich_current_bac_names
X1351_1454,1337,2133.194805,5.914147006,0.992147978,0.007852022,0.09525485,0.821616585,X1351_1454
X1351_1455,1244,2019.504902,5.598025903,0.981481367,0.018518633,0.043408093,0.785567969,X1351_1455
X1351_1456,1218,2181.232044,5.539439781,0.985235342,0.014764658,0.05560698,0.779657526,X1351_1456
X1351_1457,1380,2277.404348,5.934562677,0.992332181,0.007667819,0.094503754,0.820843017,X1351_1457
X1351_1458,1436,2319.117409,5.821546149,0.98529395,0.01470605,0.047353219,0.800805097,X1351_1458
X1351_1459,1235,2120.166667,5.652247392,0.984907979,0.015092021,0.053651965,0.793985861,X1351_1459
X1351_1460,1238,2186.8,5.753886542,0.990935098,0.009064902,0.08910791,0.807988002,X1351_1460
X1351_1461,1208,1916.5,5.744738119,0.991342054,0.008657946,0.09561328,0.80949185,X1351_1461
X1351_1462,1360,2359.004484,5.70067898,0.986547579,0.013452421,0.054658868,0.790088618,X1351_1462
X1351_1463,1357,2323.07109,5.923589486,0.992606115,0.007393885,0.099666105,0.821234367,X1351_1463
X1351_1464,1162,1908.2,5.618419816,0.989748016,0.010251984,0.083943287,0.796047189,X1351_1464
X1351_1465,1279,1995.275862,5.717823241,0.98896066,0.01103934,0.070824959,0.799266994,X1351_1465
X1351_1466,811,1304.282443,4.770828542,0.960592407,0.039407593,0.031289544,0.712248077,X1351_1466
X1351_1467,858,1476.604651,4.770065451,0.964846245,0.035153755,0.033154386,0.706194676,X1351_1467
X1351_1468,1093,1920.735294,5.429762443,0.987090098,0.012909902,0.070869093,0.776048253,X1351_1468
X1351_1469,832,1456.111111,4.292203917,0.937775547,0.062224453,0.019315928,0.638356764,X1351_1469
X1351_1470,813,1337.069444,4.964924421,0.982253456,0.017746544,0.069309961,0.740952642,X1351_1470
X1351_1471,1051,1631.723757,5.357782233,0.984801341,0.015198659,0.06260255,0.770073195,X1351_1471
X1351_1472,994,1842.097902,5.00309225,0.976797023,0.023202977,0.043358066,0.724903325,X1351_1472
X1351_1473,1248,2086.980488,5.582246391,0.985049136,0.014950864,0.053594363,0.783000899,X1351_1473
X1351_1474,1012,1596.556213,5.311263556,0.983312548,0.016687452,0.059214691,0.767558702,X1351_1474
X1351_1475,1098,1833.874286,5.387017027,0.98523947,0.01476053,0.0617015,0.769436943,X1351_1475
X1351_1476,888,1601.38843,5.274707446,0.986687319,0.013312681,0.084590483,0.776952335,X1351_1476
X1351_1478,920,1468.306122,5.295898753,0.984585282,0.015414718,0.0705142,0.776027077,X1351_1478
X1351_1479,742,1217.774194,4.578872138,0.967638529,0.032361471,0.041645477,0.692787137,X1351_1479
X1351_1480,964,1750.419118,5.04180835,0.972551222,0.027448778,0.037792007,0.733771119,X1351_1480
X1351_1481,846,1443.528,5.052930961,0.982624035,0.017375965,0.068026905,0.749635257,X1351_1481
X1351_1482,1052,1679.686747,5.229155784,0.96939361,0.03060639,0.031057905,0.751483016,X1351_1482
X1351_1483,858,1438.95082,5.117376967,0.982291957,0.017708043,0.065817617,0.757613162,X1351_1483
X1351_1484,828,1395.231405,5.049572016,0.980757578,0.019242422,0.0627639,0.751534772,X1351_1484
X1351_1485,923,1756.568,4.984216926,0.975149751,0.024850249,0.0435981,0.730006969,X1351_1485
X1351_1486,1043,1802,5.39527053,0.984663312,0.015336688,0.06251498,0.776313952,X1351_1486
X1351_1487,1057,1733.761628,5.131040737,0.971778645,0.028221355,0.03352333,0.736880761,X1351_1487
X1351_1488,1005,1681.917722,5.247848161,0.979012073,0.020987927,0.047409393,0.759155707,X1351_1488
X1351_1489,1100,1723.4689,5.240714486,0.976926991,0.023073009,0.039400621,0.74834578,X1351_1489
X1351_1490,855,1368.911111,5.135825759,0.985111286,0.014888714,0.078555517,0.760738938,X1351_1490
X1351_1491,885,1485.734266,5.16069248,0.9847999,0.0152001,0.0743379,0.760537296,X1351_1491
X1351_1492,832,1262.680851,4.862371451,0.971304458,0.028695542,0.041885358,0.723154762,X1351_1492
X1351_1493,1081,1733.978723,5.366829613,0.98180382,0.01819618,0.050838659,0.768265788,X1351_1493
X1351_1494,992,1655.425806,5.162592369,0.975556024,0.024443976,0.041239793,0.748231819,X1351_1494
X1351_1495,798,1449.75,4.408251284,0.96194019,0.03805981,0.032925357,0.659709614,X1351_1495
