"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU5162",4,4.988,4,6,"NS"
"OTU1176",41,31.148,26,37,"Generalists"
"OTU921",69,40.838,35,47,"Generalists"
"OTU22167",19,25.148,20,30,"Specialists"
"OTU430",50,55.424,49,62,"NS"
"OTU73",78,75.668,72,79,"NS"
"OTU374",28,29.332,24,35,"NS"
"OTU1341",33,28.638,23,33,"NS"
"OTU15809",70,47.902,41,54,"Generalists"
"OTU220",34,32.334,27,38,"NS"
"OTU1360",26,20.434,16,25,"Generalists"
"OTU1477",19,15.01,11,19,"NS"
"OTU3509",18,14.324,11,17.525,"Generalists"
"OTU22652",3,3.53,2,4,"NS"
"OTU968",42,29.412,24,35,"Generalists"
"OTU691",47,37.76,32,44,"Generalists"
"OTU848",68,42.042,36,48,"Generalists"
"OTU16209",32,27.542,22,33,"NS"
"OTU1901",16,16.842,13,21,"NS"
"OTU4097",10,7.892,6,10,"NS"
"OTU649",32,27.048,22,32,"NS"
"OTU8396",4,3.568,2,4,"NS"
"OTU70293",24,18.114,14,22,"Generalists"
"OTU1402",33,25.096,20,31,"Generalists"
"OTU87",79,77.472,75,79,"NS"
"OTU44",79,73.184,69,77,"Generalists"
"OTU3583",43,33.798,28,39,"Generalists"
"OTU3575",33,18.884,15,23,"Generalists"
"OTU1216",75,44.17,38,50,"Generalists"
"OTU3931",21,17.26,13,21,"NS"
"OTU967",44,35.862,30,41,"Generalists"
"OTU330",62,33.458,28,39,"Generalists"
"OTU1690",25,29.888,25,35,"NS"
"OTU1782",37,23.786,19,28,"Generalists"
"OTU546",60,55.716,49.475,62,"NS"
"OTU21967",11,9.836,7,12,"NS"
"OTU56655",5,5.642,4,7,"NS"
"OTU2060",38,26.556,21.475,31.525,"Generalists"
"OTU927",42,39.074,33,45,"NS"
"OTU973",40,26.466,21,32,"Generalists"
"OTU990",42,32.202,26.475,38,"Generalists"
"OTU7334",12,10.416,8,13,"NS"
"OTU750",79,71.492,66,76,"Generalists"
"OTU435",78,59.484,53,65.525,"Generalists"
"OTU11580",66,38.5,32.475,44,"Generalists"
"OTU14444",8,6.292,4,8,"NS"
"OTU442",72,64.772,59,70,"Generalists"
"OTU562",60,36.87,31,43,"Generalists"
"OTU49620",65,59.818,53.475,66,"NS"
"OTU1050",33,37.356,32,43.525,"NS"
"OTU502",55,39.048,33,45,"Generalists"
"OTU19479",70,54.718,49,61,"Generalists"
"OTU1084",35,28.164,22,33,"Generalists"
"OTU8191",44,30.076,24,35.525,"Generalists"
"OTU5258",12,11.046,8,14,"NS"
"OTU4770",17,12.638,9,16,"Generalists"
"OTU9845",6,4.99,3,6,"NS"
"OTU97829",73,58.148,52,64,"Generalists"
"OTU1711",8,8.468,6,11,"NS"
"OTU8249",2,4.296,3,5,"Specialists"
"OTU6176",34,22.466,18,27,"Generalists"
"OTU1995",78,56.22,49,63,"Generalists"
"OTU3103",50,35.962,30,42,"Generalists"
"OTU2544",8,8.506,6,11,"NS"
"OTU28925",76,59.028,53,66,"Generalists"
"OTU253",50,47.85,41,54,"NS"
"OTU399",61,49.51,43,56,"Generalists"
"OTU6487",14,15.124,12,19,"NS"
"OTU72",79,76.746,73,79,"NS"
"OTU6664",1,1.916,1,2,"NS"
"OTU2081",11,12.602,9,16,"NS"
"OTU3759",43,45.504,39,52,"NS"
"OTU1029",20,17.134,13,21,"NS"
"OTU810",35,26.42,21.475,31,"Generalists"
"OTU289",59,43.748,38,49,"Generalists"
"OTU15897",24,21.168,17,25,"NS"
"OTU2532",46,28.44,23,34,"Generalists"
"OTU5388",7,7.466,5,10,"NS"
"OTU22046",36,27.504,23,33,"Generalists"
"OTU3203",8,11.572,9,15,"Specialists"
"OTU1039",43,25,20,30,"Generalists"
"OTU1338",22,17.648,13,21,"Generalists"
"OTU40272",15,10.416,8,13,"Generalists"
"OTU356",44,32.91,27.475,39,"Generalists"
"OTU9690",8,7.432,5,10,"NS"
"OTU155",54,49.766,43.475,56,"NS"
"OTU1568",19,22.07,18,26,"NS"
"OTU2634",10,9.04,7,11,"NS"
"OTU1547",30,34.428,29,40,"NS"
"OTU4106",7,6.832,5,9,"NS"
"OTU3708",2,1.94,1,2,"NS"
"OTU130",64,67.478,62,73,"NS"
"OTU991",38,23.28,19,28,"Generalists"
"OTU711",53,37.748,32,43,"Generalists"
"OTU462",65,42.874,37,49,"Generalists"
"OTU514",70,57.484,51,64,"Generalists"
"OTU118",39,47.814,42,54,"Specialists"
"OTU39408",35,21.028,16,25,"Generalists"
"OTU630",56,44.616,38,51,"Generalists"
"OTU487",55,35.324,29.475,41,"Generalists"
"OTU56",63,62.762,56.475,68.525,"NS"
"OTU1177",41,32.66,27,38,"Generalists"
"OTU4510",26,18.224,14,23,"Generalists"
"OTU1107",25,20.534,16,25,"NS"
"OTU2693",17,14.932,12,18,"NS"
"OTU89",70,65.618,59.475,71,"NS"
"OTU14",78,76.174,73,79,"NS"
"OTU1923",1,1.926,1,2,"NS"
"OTU2446",2,7.434,5,9,"Specialists"
"OTU974",59,40.358,34,47,"Generalists"
"OTU3121",16,11.996,9,15,"Generalists"
"OTU695",48,43.826,38,50,"NS"
"OTU3622",9,6.818,5,9,"NS"
"OTU83489",6,6.884,5,9,"NS"
"OTU56811",24,39.976,33.475,46,"Specialists"
"OTU449",75,59.348,53,65.525,"Generalists"
"OTU288",26,31.352,26,37,"NS"
"OTU7233",6,9.48,7,12,"Specialists"
"OTU6217",7,10.75,8,14,"Specialists"
"OTU52323",62,52.258,46,58,"Generalists"
"OTU5139",2,1.922,1,2,"NS"
"OTU11832",2,3.554,2,4,"NS"
"OTU3165",24,19.608,15.475,24,"NS"
"OTU69171",44,31.248,26,37,"Generalists"
"OTU535",18,18.74,15,23,"NS"
"OTU4949",6,6.316,4,8,"NS"
"OTU4568",14,10.438,7,13,"Generalists"
"OTU389",72,57.63,51,64,"Generalists"
"OTU1885",16,15.24,12,19,"NS"
"OTU112",78,72.842,68,77,"Generalists"
"OTU2916",37,24.09,19,29,"Generalists"
"OTU10919",36,44.234,38,51,"Specialists"
"OTU1616",50,27.498,22.475,33,"Generalists"
"OTU126",52,73.532,69,77,"Specialists"
"OTU379",51,41.054,35.475,47,"Generalists"
"OTU6578",6,5.7,4,7,"NS"
"OTU63",44,34.828,29.475,40.525,"Generalists"
"OTU2696",22,16.088,12,20,"Generalists"
"OTU4869",3,2.762,2,3,"NS"
"OTU2769",32,23.964,19,29,"Generalists"
"OTU44620",25,19.172,15,23,"Generalists"
"OTU1445",43,22.7,18,28,"Generalists"
"OTU1659",58,40.84,34,47,"Generalists"
"OTU14751",4,5.016,4,6,"NS"
"OTU6055",18,20.08,16,24,"NS"
"OTU4380",37,27.536,22,33,"Generalists"
"OTU2132",30,21.268,17,25,"Generalists"
"OTU2044",14,11.248,8,14,"NS"
"OTU25570",23,19.26,15,24,"NS"
"OTU2804",5,9.898,7,12,"Specialists"
"OTU1200",21,16.986,13,21,"NS"
"OTU10070",8,9.008,7,11,"NS"
"OTU1975",17,23.974,19,28,"Specialists"
"OTU145",51,44.108,38,50,"Generalists"
"OTU1663",21,20.602,16,25,"NS"
"OTU725",14,17.224,13,21,"NS"
"OTU1319",29,26.502,22,31.525,"NS"
"OTU18",24,25.038,20,30,"NS"
"OTU429",28,19.21,15,23,"Generalists"
"OTU144",75,61.736,55.475,68,"Generalists"
"OTU361",65,43.284,37,49,"Generalists"
"OTU21464",4,3.542,2,4,"NS"
"OTU10508",7,6.744,5,9,"NS"
"OTU18682",2,1.912,1,2,"NS"
"OTU1649",19,15.464,12,19,"NS"
"OTU24738",5,5.65,4,7,"NS"
"OTU20150",7,6.306,4,8,"NS"
"OTU3328",50,33.41,28,39,"Generalists"
