"","SRR13801030","SRR13801029","SRR13801028","SRR13801031","SRR13801027","SRR13801026","SRR13801025","SRR13801024","SRR13801021","SRR13801020","SRR13801019","SRR13801193","SRR13801192","SRR13801191","SRR13801194","SRR13801190","SRR13801189","SRR13801188","SRR13801187","SRR13801184","SRR13801183","SRR13801182","SRR13801181","SRR13801365","SRR13801364","SRR13801366","SRR13801362","SRR13801361","SRR13801360","SRR13801358","SRR13801356","SRR13801355","SRR13801354","SRR13801472","SRR13801471","SRR13801470","SRR13801402","SRR13801469","SRR13801468","SRR13801466","SRR13801465","SRR13801464","SRR13801463","SRR13801461","SRR13801542","SRR13801541","SRR13801540","SRR13801543","SRR13801539","SRR13801538","SRR13801537","SRR13801535","SRR13801534","SRR13801533","SRR13801532","SRR13801531","SRR13801143","SRR13801142","SRR13801141","SRR13801144","SRR13801140","SRR13801139","SRR13801138","SRR13801136","SRR13801134","SRR13801133","SRR13801132","SRR13800991","SRR13800990","SRR13800989","SRR13800992","SRR13800988","SRR13800987","SRR13800986","SRR13800984","SRR13801271","SRR13801270","SRR13801269","SRR13801268"
"OTU430",0,0,0,0,0,0,0,0,0,9.89707046714173e-05,0,0,0,0,0,0,0,0.00019780437147661,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158321789036216,0,0,0.000593354430379747,9.89119683481701e-05,0,0.00019790223629527,0.00019782393669634,0,0,0,0,0,0,0,0,0,0,0,0,9.89902989507028e-05,0,0,0,0,9.8941327792619e-05,0,0,0,0.00019782393669634,0,0.000296794618124258,0.000890383854372774,9.89021857383048e-05,0.00118670886075949
"OTU1677",0.000494755590738175,0,0,0.000197784810126582,0,0.000296677215189873,0.00019780437147661,0.000494510928691524,9.8941327792619e-05,0,9.89315393747527e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0.000989315393747527,0.000890560063328716,0.00187932739861523,0.000197726149283243,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,9.89902989507028e-05,9.89902989507028e-05,0,0,0.000494755590738175,0,9.89021857383048e-05,0.000989021857383048,0,0.000791295746785361,9.8872849515523e-05,0.000395726157499011,0.00108824693312228,9.89021857383048e-05,0
"OTU3009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0.000296853354442905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197921820880752,0.000494364247577615,0.00306596775788745,0.000890119671644743,0,9.89021857383048e-05,0.000197921820880752,0,9.89902989507028e-05,0.000494951494753514,0.0020769459005044,0,0,0,0,0,0,0,0,0,0,0,0
"OTU4512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197882655585238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89511181476351e-05,0,0,9.88924050632911e-05,0,0,0,0,9.88630746416214e-05,0,0,0,0,0,0,0.00019780437147661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU3903",0,0,0,0,9.89119683481701e-05,0,0,9.89021857383048e-05,0,0,0,0,9.8960910440376e-05,0.000692657827033445,9.8872849515523e-05,0,0.00148338607594937,0,0,0.00039564787339268,0,0,0,9.8872849515523e-05,0,0,0,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197843505786923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,0,0,0,0,0,0
"OTU8406",9.89511181476351e-05,0.000296647878967665,9.89119683481701e-05,0,0,0,0,0.00019780437147661,0,0.000692794932699921,0.00316580925999209,0,0,0.00267168018998615,0.000197745699031046,0,0.00118670886075949,0,0.00019780437147661,0,0,0,0,0,0,0,0,0,0,0,0,0.000593471810089021,0,0,0,0,0,0,0,0.000296794618124258,0,0,0,0,0,0.00019776525264511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,9.8872849515523e-05,0,0,0,0
"OTU7954",0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0.00019782393669634,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU136",0.000494755590738175,0,0,0,0,0,0,0,0.000296823983377857,0,0,0,0,0.000296853354442905,9.8872849515523e-05,0,0.000494462025316456,0,0,0,0,9.8941327792619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395569620253165,9.89119683481701e-05,9.89315393747527e-05,0.00079160894518108,0,0,0,0,0.00178023934328949,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0.000395608742953219,0.000890560063328716,0,0.000791217485906439,0.000890119671644743,0.00227407553885703,0.00019782393669634,0.00168083844176389,0.000494657696873763,0.000989315393747527,0.000692315300168134,9.88924050632911e-05
"OTU11817",0,0,0,0,0,0,0,0,9.8941327792619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,9.89511181476351e-05,0,0,0,0,0.00108792404312135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395726157499011,9.89315393747527e-05,0,0
"OTU412",0,9.88826263225551e-05,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0,0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019782393669634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU134",0,0.000296647878967665,9.89119683481701e-05,0,0.000593471810089021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108846229962399,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0,0.000692383778437191,0.000494608764467306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0
"OTU7223",0,0.000395530505290221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019780437147661,0,0,0,0,9.89902989507028e-05,0,0,0,0,0,0,0,0,0.00029673590504451,0,0,0,0,0
"OTU10747",0,0,0,0.000197784810126582,0,0,0,0.000296706557214914,9.8941327792619e-05,0.000494853523357086,0,0,9.8960910440376e-05,0,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU4567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019790223629527,0,0,0,9.89119683481701e-05,0,0,9.89119683481701e-05,9.88630746416214e-05,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU5994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0.000296765258680384,0,0,0,9.89119683481701e-05,0.000296706557214914,0,0,0,0,0,9.89217528934613e-05,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296706557214914,0,0,0,0,0.000296970896852108,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0
"OTU384",0,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019780437147661,0,0,0,9.89021857383048e-05,0,0,9.8872849515523e-05,0,0,0,9.88924050632911e-05
"OTU13072",0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019790223629527,0,9.89021857383048e-05,0,9.8872849515523e-05,0,0,0.000197863078749505,0,9.89021857383048e-05,0.000494462025316456
"OTU10845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019780437147661,0.00019790223629527,0,9.89021857383048e-05,0,0,9.89119683481701e-05,0.000197745699031046,0.000197863078749505,9.89315393747527e-05,0.000296706557214914,0
"OTU5013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395491398062092,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0.000593413114429829,0,9.89119683481701e-05,9.8872849515523e-05,0.000296794618124258,0,9.89021857383048e-05,9.88924050632911e-05
"OTU7387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8941327792619e-05,9.89021857383048e-05,0.00019780437147661,0,9.89119683481701e-05,0,0,9.89315393747527e-05,0,9.88924050632911e-05
"OTU10723",0,0,0,0,0,0,0,0,0,0.000296912114014252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,9.89511181476351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,9.8872849515523e-05,0,0,0,0
"OTU2290",0,0,0,0,0,0,0,0,0,0.00247426761678543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296618548546569,9.88924050632911e-05,0,0.00079137402314769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0,0,9.8960910440376e-05,0,0,0,0,9.89021857383048e-05,0.00296706557214914,0,0,0,0,0,0,0,0.00019780437147661,0,0,0,0,0,0,0,0,0,0,0
"OTU7568",0,0,0,0,0,0,0,0,0,9.89707046714173e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0
"OTU4540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593237097093138,0.00138449367088608,0,0.000890295776041151,9.88924050632911e-05,0.00039580447259054,9.88924050632911e-05,0.00128585558852621,0.00247255464345762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692726373082632,0,0.00148353278607457,0.00019780437147661,0.00029673590504451,0.00019780437147661,9.8960910440376e-05,0,0,0.00108889328845773,0.00019780437147661,0,0,0,0,0,0,0,0,0,0,0,0
"OTU5548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296618548546569,0.000791139240506329,0,0.000494608764467306,0,0.000296853354442905,0.000296677215189873,0.0019782393669634,0.00257145682919593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197921820880752,0,0.000395608742953219,9.89021857383048e-05,9.89119683481701e-05,0,0.000197921820880752,0,0,0.000197980597901406,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0.000593530517360768,0,0,9.88924050632911e-05,0.00019782393669634,0.00019780437147661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0.000197980597901406,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU5641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296677215189873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197921820880752,0,0,0,9.8872849515523e-05,0.00019780437147661,0,0,0,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU11033",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059370670888581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89511181476351e-05,9.88826263225551e-05,0,0,0,0,9.89511181476351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0.000197863078749505,0,0
