"","SRR13801399","SRR13801186","SRR13801171","SRR13801400","SRR13801525","SRR13800997","SRR13801246","SRR13801475","SRR13801023","SRR13801012","SRR13801398","SRR13801333","SRR13801401","SRR13801146","SRR13801135","SRR13801476","SRR13801546","SRR13801070","SRR13801059","SRR13801489","SRR13801478","SRR13801335","SRR13801330","SRR13801329","SRR13801328","SRR13801279","SRR13801282","SRR13801277","SRR13801276","SRR13801274","SRR13801207","SRR13801203","SRR13801202","SRR13801200","SRR13801105","SRR13800981","SRR13800980","SRR13800978","SRR13800935","SRR13800930","SRR13800929","SRR13800928","SRR13800926","SRR13800925","SRR13800924","SRR13801157","SRR13801153","SRR13801152","SRR13801373","SRR13801372","SRR13801371","SRR13801410","SRR13801409","SRR13801408","SRR13801407","SRR13800940","SRR13800938","SRR13800937","SRR13800936","SRR13801151","SRR13801150","SRR13801149","SRR13801147","SRR13801145","SRR13801375","SRR13801445","SRR13801444","SRR13801441","SRR13801499","SRR13801054","SRR13801053","SRR13801051","SRR13801050","SRR13801049","SRR13801549"
"OTU2",0.00118706103472154,0.000494462025316456,0,0.0010878164556962,9.8941327792619e-05,0.000692452270254229,0.000197961001682669,0,0.000296765258680384,0.00039580447259054,0.000494510928691524,0.000692520775623269,0,0.000395608742953219,0,0,0.00138517858909667,0.000494462025316456,0,9.8941327792619e-05,0,0.000395687011573845,0.000791061010580441,0.000494462025316456,0.0010878164556962,0.00019782393669634,0.00029655990510083,0,0.000296706557214914,0.000593589236248516,0,0.000494462025316456,0.00069286350588934,0.00039564787339268,0.000692794932699921,0.00079137402314769,0.000494364247577615,0.00148309274273285,0.000197863078749505,0.000494657696873763,0.000791139240506329,0.000791295746785361,0.000593295757935331,0.000494510928691524,0.00128547414219322,0.000197784810126582,9.89315393747527e-05,0,9.89119683481701e-05,0,9.89217528934613e-05,0.000395569620253165,0,0.000692041522491349,0.000296794618124258,9.89707046714173e-05,0.000197980597901406,0,0.000296912114014252,0.000395569620253165,0.000593237097093138,0,9.89707046714173e-05,0,0.000395452298566485,0,0,0.00039564787339268,0.00138463060033627,0.000692452270254229,0.00108813928182807,0.000791452314998021,0.000197863078749505,0.000989217528934613,0.000395530505290221
"OTU12011",0.000593530517360768,0.000197784810126582,0,0.000197784810126582,0.000494706638963095,0.000395687011573845,0.000197961001682669,0.000296823983377857,0.000296765258680384,0.00039580447259054,0.000989021857383048,0.000494657696873763,9.89119683481701e-05,0,0,0.000593295757935331,0.00217670921143762,0.00128560126582278,0,0,0.000494608764467306,0.00138490454050846,0.000692178384257886,0.000988924050632911,0.000494462025316456,0.00138476755687438,0.000494266508501384,9.88630746416214e-05,0.0019780437147661,0.00118717847249703,0,0,0.000494902504206671,0.000890207715133531,0,0,0,0,0.000197863078749505,0.000593589236248516,0.00138449367088608,0.000593471810089021,0.000395530505290221,0.00187914152902779,0.00217541777909621,0.000197784810126582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0.000197843505786923,0.000296765258680384,9.89315393747527e-05,0,0,0
"OTU187",0.00405579186863191,0.00237341772151899,0.000494657696873763,0.010185917721519,0.00692589294548333,0.00385794836284499,0.00207859051766802,0.00316612248936381,0.0117716885943219,0.0056402137344152,0.0136485016318861,0.00207756232686981,0,0,0,0,0.000395765311170476,9.88924050632911e-05,0,0,9.89217528934613e-05,0.00801266198437036,0.0057351923267082,0.00771360759493671,0.00613132911392405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138504155124654,0.0147407993668381,0.00356012658227848,0.00692383778437191,0.0169089291011569,0.0114726535456434,0.00830614061109463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00919790327366235,0.00207735681076269,0.00524285290335345,0.00385833003561535,0.00158290462999604,0.00168166979918884,0
"OTU205",0.001285982787615,0.000692246835443038,9.89315393747527e-05,0.00158227848101266,0.00148411991688928,0.000692452270254229,0.000296941502524003,9.8941327792619e-05,0.00257196557522999,0.000692657827033445,0.00306596775788745,0.000593589236248516,0,0,0,0,0,0,0,0,0,0.00296765258680384,0.00266983091070899,0.0021756329113924,0.00237341772151899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435298773248912,0.00524337158686189,0.000988924050632911,0.00128585558852621,0.00444971818451498,0.00168133715755118,0.00187876990012855,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118682622885966,0.000197843505786923,0.000494608764467306,0.00158290462999604,0.000395726157499011,9.89217528934613e-05,0
"OTU25",0.0048471658917796,0.00712025316455696,0.000791452314998021,0.034315664556962,0.0098941327792619,0.00652883569096844,0.00296941502524003,0.00949836746809142,0.0215649421307746,0.0107856718780922,0.0192859262189694,0.0054412346656114,0.0245301681503462,0.00128572841459796,0.0284810126582278,0,0,0,0,0,0,0.0226530814126026,0.0196776426381885,0.0107792721518987,0.0116693037974684,0,0,0,0,0,0,0,0,0.000791295746785361,0,0,0,0,0.0288880094974278,0.0335377918480412,0.00741693037974684,0.00979228486646884,0.0347078018392169,0.025318959549006,0.0184910511223178,9.88924050632911e-05,0.000494657696873763,0,0.00029673590504451,0.00326312666864432,0.00227520031654961,0,0,0,0.0120696478037198,0.0198931116389549,0.00247475747376757,0.00168166979918884,0.00455265241488519,0.00356012658227848,0.0012853470437018,0.00672934190994557,0.0245447347585115,0.00296970896852109,0,0,0,0,0.0169122737612501,0.00227520031654961,0.00652883569096844,0.00662841313810843,0.0018796992481203,0.0181026807795034,0
"OTU1529",0.000296765258680384,0,0.000197863078749505,0,9.8941327792619e-05,0.000197843505786923,9.89805008413343e-05,0,0.000197843505786923,0,0,0,0,0,0.00089003164556962,0.00919608424799763,0.00187988522805976,0.00702136075949367,0,0.00672801028989809,0.00108813928182807,0.0219606291423484,0.000395530505290221,0.00632911392405063,0.000395569620253165,0.00128585558852621,0,0,0.0062308377015132,0,0.00316580925999209,0.000988924050632911,0.000494902504206671,0.00613254203758655,0,0,0,0,9.89315393747527e-05,9.89315393747527e-05,0.000197784810126582,0.00029673590504451,0,9.89021857383048e-05,0,0.00197784810126582,0.00455085081123862,0.00207797348110034,0.004648862512364,0.00959161475328785,0.000890295776041151,0,0,0,0.0114760585674713,0,0.000296970896852108,0,0,0.000197784810126582,9.8872849515523e-05,0,0.000197941409342835,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2316",0.000692452270254229,9.88924050632911e-05,0,0,0,0,0,9.8941327792619e-05,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0,0,0.00138558986539984,0,0,0,0,0.00188081568006335,0,0,0,0,0,0.000197843505786923,0,0.000692520775623269,0,0,0
"OTU423",0.000989217528934613,0.00138449367088608,0.000395726157499011,0.00168117088607595,0.002077767883645,0.00108813928182807,0.000791844006730674,0.00128623726130405,0.00346226135127114,0.00128636453591926,0.00296706557214914,0.00158290462999604,0,0,0,0,0,0,0,0,0,0.00336333959837768,0.00375753980025709,0.00148338607594937,0.00306566455696203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056390977443609,0.00593589236248516,0.00168117088607595,0.00247279920870425,0.00662513596361119,0.00346157650084067,0.00494413131612776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227475027198101,0.000395687011573845,0.00118706103472154,0.00118717847249703,0.000593589236248516,0.000395687011573845,0
"OTU526",0.0030665743396973,0.0119659810126582,0.00108824693312228,0.00850474683544304,0.00217670921143762,0.00187951330497576,0,0.00435341842287524,0.000593530517360768,0.00108846229962399,0.000890119671644743,0,0,0.00267035901493423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296677215189873,9.9009900990099e-05,0.00187839841819081,0.00247328848436882,0,0,0,0,0,0,0,0.00425574030087094,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1509",0.00138490454050846,0.00089003164556962,0.000197863078749505,0.00296677215189873,0.0015830612446819,0.001285982787615,0.00069286350588934,0.00148411991688928,0.00474824413888614,0.00237482683554324,0.00435169617248541,0.000989315393747527,0,0,0,0,0,9.88924050632911e-05,0,0,0,0.00366010485705807,0.00346089192128943,0.00197784810126582,0.00138449367088608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306687772061733,0.00435298773248912,0.000395569620253165,0.000791295746785361,0.00504301394245031,0.00237365245771932,0.00148323939483833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257145682919593,0.000692452270254229,0.00148382629340192,0.000989315393747527,9.89315393747527e-05,0.000197843505786923,0
