"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU51",22,4.21,2,7,"Generalists"
"OTU12561",51,7.824,5,11,"Generalists"
"OTU22",50,9.244,6,13,"Generalists"
"OTU129",9,2.712,1,5,"Generalists"
"OTU34",11,40.59,33,49,"Specialists"
"OTU5042",34,5.664,3,8,"Generalists"
"OTU1513",1,1.446,1,2,"NS"
"OTU632",12,3.4,2,5,"Generalists"
"OTU663",25,38.828,30,46,"Specialists"
"OTU508",22,10.76,7,15,"Generalists"
"OTU4278",1,3.874,2,6,"Specialists"
"OTU401",11,25.678,20,32,"Specialists"
"OTU1084",3,6.276,3,9.52499999999998,"NS"
"OTU2427",3,6.8,4,10,"Specialists"
"OTU725",16,7.25,4,11,"Generalists"
"OTU6299",17,3.996,2,7,"Generalists"
"OTU4163",1,3.266,2,5,"Specialists"
"OTU1515",5,5.616,3,9,"NS"
"OTU8294",18,6.346,4,9.52499999999998,"Generalists"
"OTU7742",1,2.19,1,4,"NS"
"OTU4689",17,3.912,2,6,"Generalists"
"OTU3830",7,4.51,2,7,"NS"
"OTU5723",10,12.028,8,16.525,"NS"
"OTU11825",2,2.216,1,4,"NS"
"OTU628",7,2.638,1,4,"Generalists"
"OTU11083",4,2.312,1,4,"NS"
"OTU6184",3,2.336,1,4,"NS"
"OTU2913",9,4.614,2,7,"Generalists"
"OTU3771",6,3.808,2,6,"NS"
"OTU2410",14,9.2,5,13,"Generalists"
"OTU4562",11,5.184,3,8,"Generalists"
"OTU10199",49,7.904,5,12,"Generalists"
"OTU5983",3,1.784,1,3,"NS"
"OTU4402",1,1.702,1,3,"NS"
"OTU12148",15,4.03,2,6,"Generalists"
"OTU12842",13,8.082,5,11,"Generalists"
"OTU717",3,2.472,1,4,"NS"
"OTU1372",7,10.724,7,15,"NS"
"OTU12547",4,2.434,1,4,"NS"
"OTU12520",2,1.428,1,2,"NS"
"OTU3071",4,1.966,1,3,"Generalists"
"OTU277",9,49.282,41,57.525,"Specialists"
"OTU117",84,57.162,49,66,"Generalists"
"OTU2562",7,7.478,4,11,"NS"
"OTU801",4,24.29,18,31,"Specialists"
"OTU3004",4,2.366,1,4,"NS"
"OTU9505",6,2.73,1,5,"Generalists"
"OTU6623",3,1.75,1,3,"NS"
"OTU10663",2,10.256,7,15,"Specialists"
"OTU3180",6,3.224,2,5,"Generalists"
"OTU1523",18,11.352,7,16,"Generalists"
"OTU2584",1,1.93,1,3,"NS"
"OTU2543",17,4.146,2,7,"Generalists"
"OTU9554",3,2.168,1,4,"NS"
"OTU192",7,3.2,2,5,"Generalists"
"OTU692",4,21.744,16,28,"Specialists"
"OTU495",11,11.57,7,16,"NS"
"OTU1715",3,1.766,1,3,"NS"
"OTU1348",5,11.026,7,15,"Specialists"
"OTU5893",25,13.032,9,18,"Generalists"
"OTU2025",6,5.768,3,9,"NS"
"OTU2759",13,5.56,3,9,"Generalists"
"OTU419",1,1.48,1,2,"NS"
"OTU7554",34,5.834,3,9,"Generalists"
"OTU1880",2,14.058,10,19,"Specialists"
"OTU10034",8,2.584,1,4,"Generalists"
"OTU4",11,3.866,2,6,"Generalists"
"OTU620",24,21.886,16,29,"NS"
"OTU10699",2,1.406,1,2,"NS"
"OTU10184",2,1.452,1,2,"NS"
"OTU3856",7,7.902,5,12,"NS"
"OTU8080",35,7.758,4,12,"Generalists"
"OTU5316",4,3.206,2,5,"NS"
"OTU5174",1,2.728,1,5,"NS"
"OTU8895",6,2.474,1,4,"Generalists"
"OTU6",75,9.862,6,14,"Generalists"
"OTU7274",53,16.962,12,22,"Generalists"
"OTU4021",2,2.464,1,4,"NS"
"OTU10659",3,3.712,2,6,"NS"
"OTU2235",6,3.49,2,6,"NS"
"OTU478",3,2.19,1,4,"NS"
"OTU516",2,11.958,8,16,"Specialists"
"OTU5715",1,2.488,1,4,"NS"
"OTU339",12,33.774,26,42,"Specialists"
"OTU2554",1,8.942,5,13,"Specialists"
"OTU1852",8,4.672,2,7.52499999999998,"Generalists"
"OTU7501",3,2.546,1,4,"NS"
"OTU8200",1,1.966,1,3,"NS"
"OTU997",1,12.654,8.475,17,"Specialists"
"OTU4041",2,2.636,1,5,"NS"
"OTU697",9,21.672,16,28,"Specialists"
"OTU1953",2,2.806,1,5,"NS"
"OTU347",11,28.678,22,36,"Specialists"
"OTU4027",1,2.47,1,4,"NS"
"OTU633",6,5.08,3,8,"NS"
"OTU4174",2,3.334,1,5,"NS"
"OTU6119",7,3.958,2,6,"Generalists"
"OTU2869",1,4.016,2,7,"Specialists"
"OTU4123",17,3.918,2,6,"Generalists"
"OTU7685",2,1.76,1,3,"NS"
"OTU352",3,3.642,2,6,"NS"
"OTU1046",1,1.43,1,2,"NS"
"OTU4563",1,3.452,2,6,"Specialists"
"OTU1506",5,24.206,18,31,"Specialists"
"OTU4976",2,3.394,2,6,"NS"
"OTU2637",9,5.588,3,9,"NS"
"OTU12401",4,3.88,2,6,"NS"
"OTU4408",3,3.088,2,5,"NS"
"OTU4001",9,5.974,3,9,"NS"
"OTU12156",5,5.664,3,9,"NS"
"OTU485",2,19.668,14,26,"Specialists"
"OTU12362",8,2.742,1,5,"Generalists"
"OTU5027",8,4.04,2,6,"Generalists"
"OTU3580",2,1.722,1,3,"NS"
"OTU3450",7,2.45,1,4,"Generalists"
"OTU6688",2,1.97,1,3,"NS"
"OTU607",9,21.446,16,28,"Specialists"
"OTU2635",20,9.72,6,14,"Generalists"
"OTU3715",2,4.708,2,7,"NS"
"OTU10491",1,1.446,1,2,"NS"
"OTU5298",3,3.168,1.475,5,"NS"
"OTU2441",6,7.616,4,12,"NS"
"OTU1828",6,15.68,11,21,"Specialists"
"OTU8426",9,7.914,5,11.525,"NS"
"OTU2636",6,5.952,3,9,"NS"
"OTU12365",2,1.46,1,2,"NS"
"OTU2987",4,11.616,8,16,"Specialists"
"OTU10953",5,3.296,2,5,"NS"
"OTU850",1,1.94,1,3,"NS"
"OTU363",2,1.946,1,3,"NS"
"OTU12466",2,1.414,1,2,"NS"
"OTU4746",5,4.45,2,7,"NS"
"OTU28",6,2.542,1,4,"Generalists"
"OTU701",3,2.366,1,4,"NS"
"OTU11615",12,3.124,2,5,"Generalists"
"OTU894",8,4.192,2,7,"Generalists"
"OTU2832",4,4.246,2,7,"NS"
"OTU2031",37,9.622,6,14,"Generalists"
"OTU1319",4,18.862,13,24,"Specialists"
"OTU1194",1,1.432,1,2,"NS"
"OTU1385",4,2.044,1,3,"Generalists"
"OTU3296",15,7.72,4,12,"Generalists"
"OTU4669",3,3.004,1,5,"NS"
"OTU5291",13,6.412,3.475,10,"Generalists"
"OTU10293",7,8.49,5,12,"NS"
"OTU2005",20,12.576,8,17,"Generalists"
"OTU7937",2,1.97,1,3,"NS"
"OTU6333",1,3.262,2,6,"Specialists"
"OTU7006",4,1.938,1,3,"Generalists"
"OTU44",15,33.09,27,41,"Specialists"
"OTU3501",1,3.792,2,6,"Specialists"
"OTU9749",5,3.202,1,5,"NS"
"OTU281",15,4.03,2,7,"Generalists"
"OTU4904",6,3.42,1,6,"NS"
"OTU11980",51,8.286,5,12,"Generalists"
"OTU12225",24,4.8,2,7.52499999999998,"Generalists"
"OTU27",25,4.762,2,7.52499999999998,"Generalists"
"OTU1731",3,1.932,1,3,"NS"
"OTU220",3,2.464,1,4,"NS"
"OTU16",22,7.32,4,11,"Generalists"
"OTU188",19,3.986,2,7,"Generalists"
"OTU42",25,51.172,42,59.525,"Specialists"
"OTU248",55,25.78,20,32.525,"Generalists"
"OTU856",3,1.74,1,3,"NS"
"OTU2782",13,4.54,2,7,"Generalists"
"OTU1612",4,19.444,14,25,"Specialists"
"OTU6796",2,1.454,1,2,"NS"
"OTU1491",22,27.492,22,34,"NS"
"OTU592",2,3.418,2,6,"NS"
"OTU29",55,80.422,71,90,"Specialists"
"OTU841",40,30.664,24,37,"Generalists"
"OTU11",2,1.45,1,2,"NS"
"OTU4606",6,2.382,1,4,"Generalists"
"OTU5998",23,4.478,2,7,"Generalists"
"OTU2422",2,11.1,7,15,"Specialists"
"OTU8872",16,3.756,2,6,"Generalists"
"OTU2820",3,9.864,6,14,"Specialists"
"OTU327",10,31.084,25,38,"Specialists"
"OTU638",38,17.392,12,23,"Generalists"
"OTU1864",1,1.44,1,2,"NS"
"OTU565",4,1.962,1,3,"Generalists"
"OTU189",5,2.508,1,4,"Generalists"
"OTU5571",7,3.78,2,6,"Generalists"
"OTU7275",2,2.218,1,4,"NS"
"OTU45",6,3.37,2,5,"Generalists"
"OTU6812",21,4.602,2,8,"Generalists"
"OTU7561",8,10.738,7,15,"NS"
"OTU3125",8,4.674,2.475,7,"Generalists"
"OTU303",3,1.762,1,3,"NS"
"OTU8516",7,3.35,1,5,"Generalists"
"OTU4005",22,6.292,3,10,"Generalists"
"OTU62",9,3.004,1,5,"Generalists"
"OTU9896",3,1.974,1,3,"NS"
"OTU1572",15,18.454,13,24,"NS"
"OTU4107",27,8.4,5,13,"Generalists"
"OTU12247",12,3.584,1.475,6,"Generalists"
"OTU6573",5,5.774,3,9,"NS"
"OTU671",17,16.834,12,22,"NS"
"OTU5652",19,3.844,2,6.52499999999998,"Generalists"
"OTU12423",20,4.976,2,8,"Generalists"
"OTU1231",14,7.272,4,11,"Generalists"
"OTU756",4,2.992,1,5,"NS"
"OTU103",16,4.188,2,7,"Generalists"
"OTU6951",2,7.518,4,11,"Specialists"
"OTU55",3,1.724,1,3,"NS"
"OTU97",6,2.442,1,4,"Generalists"
"OTU7090",11,8.074,5,12,"NS"
"OTU6337",6,8.688,5,13,"NS"
"OTU10535",18,4.228,2,7,"Generalists"
"OTU556",3,1.772,1,3,"NS"
"OTU150",7,43.458,36,51,"Specialists"
"OTU8521",3,2.87,1,5,"NS"
"OTU208",10,15.356,11,21,"Specialists"
"OTU1033",6,13.35,9,18,"Specialists"
"OTU171",13,4.79,2,8,"Generalists"
"OTU5834",1,1.77,1,3,"NS"
"OTU8616",4,5.242,3,8,"NS"
"OTU11641",1,1.438,1,2,"NS"
"OTU10930",5,2.856,1,5,"NS"
"OTU5620",1,2.572,1,4,"NS"
"OTU7289",5,3.928,2,6.52499999999998,"NS"
"OTU6507",1,1.986,1,3,"NS"
"OTU112",5,5.628,3,9,"NS"
"OTU261",6,3.104,1,5,"Generalists"
"OTU1990",18,11.336,7,16,"Generalists"
"OTU955",2,1.388,1,2,"NS"
