"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU236",53,48.38,42,55,"NS"
"OTU3894",39,35.358,30,41,"NS"
"OTU3434",12,15.158,11,19,"NS"
"OTU8598",25,36.614,31,43,"Specialists"
"OTU13173",44,37.296,31,43,"Generalists"
"OTU1775",9,13.584,10,17,"Specialists"
"OTU2125",34,24.226,19,29.525,"Generalists"
"OTU221",87,106.302,97,117,"Specialists"
"OTU1932",9,17.36,13,22,"Specialists"
"OTU60311",33,26.134,21,31,"Generalists"
"OTU1326",32,30.64,25,37,"NS"
"OTU36",154,147.824,142,153,"Generalists"
"OTU179",105,92.628,83,102,"Generalists"
"OTU2443",4,5.108,4,6,"NS"
"OTU2620",68,50.618,44,57,"Generalists"
"OTU215",81,86.202,78,96,"NS"
"OTU647",77,48.778,42,56,"Generalists"
"OTU10921",20,20.696,16,25,"NS"
"OTU56476",28,39.97,33,46,"Specialists"
"OTU1817",49,31.338,26,37,"Generalists"
"OTU148",70,84.798,76,94,"Specialists"
"OTU384",68,50.164,43,58,"Generalists"
"OTU419",78,46.454,39.475,53.525,"Generalists"
"OTU48121",98,57.158,50,65,"Generalists"
"OTU3433",5,5.838,4,7,"NS"
"OTU2956",18,14.692,11,18,"NS"
"OTU51482",138,131.382,123,139,"NS"
"OTU84915",22,19.014,15,23.525,"NS"
"OTU12131",7,5.868,4,7,"NS"
"OTU1271",104,52.986,46,60.525,"Generalists"
"OTU2187",9,10.812,8,13,"NS"
"OTU6078",1,1.914,1,2,"NS"
"OTU716",111,69.94,61.475,79,"Generalists"
"OTU23",157,127.314,119,135,"Generalists"
"OTU6615",86,61.314,54,69.525,"Generalists"
"OTU77487",4,5.818,4,7,"NS"
"OTU401",72,51.108,44,59,"Generalists"
"OTU67528",156,130.806,123,138,"Generalists"
"OTU35255",30,42.328,35,49,"Specialists"
"OTU83",137,123.822,116,132,"Generalists"
"OTU2319",8,9.418,7,12,"NS"
"OTU5749",140,107.042,99,116.525,"Generalists"
"OTU31976",103,70.782,62,80,"Generalists"
"OTU1261",24,20.268,16,25,"NS"
"OTU5462",39,31.2,26,37,"Generalists"
"OTU2160",51,39.946,34,46.525,"Generalists"
"OTU2751",9,10.488,8,13,"NS"
"OTU21794",6,8.852,6,11,"NS"
"OTU1707",55,41.952,36,48,"Generalists"
"OTU3288",12,11.348,8,14,"NS"
"OTU1820",44,35.976,30,42,"Generalists"
"OTU14489",16,13.472,10,16,"NS"
"OTU166",148,122.684,115,131,"Generalists"
"OTU117",139,138,131,144.525,"NS"
"OTU230",103,82.544,74,91,"Generalists"
"OTU92",115,105.476,96,114,"Generalists"
"OTU12884",85,51.57,45,60,"Generalists"
"OTU62593",15,25.396,20,31,"Specialists"
"OTU5166",80,62.344,54.475,70,"Generalists"
"OTU29705",49,87.686,79,96,"Specialists"
"OTU1019",46,41.948,36,48,"NS"
"OTU302",83,64.926,57,73,"Generalists"
"OTU33907",42,26.412,21,31,"Generalists"
"OTU184",133,82.246,73,91,"Generalists"
"OTU196",88,88.234,79,97,"NS"
"OTU18990",71,46.796,40,55,"Generalists"
"OTU57515",126,116.722,108.475,125,"Generalists"
"OTU978",23,21.072,17,26,"NS"
"OTU9978",2,3.586,2,4,"NS"
"OTU158",113,88.334,79,97,"Generalists"
"OTU1061",68,47.992,41,55.525,"Generalists"
"OTU3150",13,13.594,10.475,17,"NS"
"OTU355",98,66.03,58,74.525,"Generalists"
"OTU376",86,50.098,43,57,"Generalists"
"OTU26181",5,8.808,6,11,"Specialists"
"OTU98",100,112.344,104,121.525,"Specialists"
"OTU35",115,110.992,102,119.525,"NS"
"OTU2438",75,49.582,42,57.525,"Generalists"
"OTU4988",70,54.954,47,63,"Generalists"
