"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU632",10,3.324,1,6,"Generalists"
"OTU663",3,5.61,3,9,"NS"
"OTU401",5,21.878,17,27,"Specialists"
"OTU1084",2,1.618,1,3,"NS"
"OTU725",1,3.626,2,6,"Specialists"
"OTU6299",11,3.638,2,6,"Generalists"
"OTU3928",1,1.374,1,2,"NS"
"OTU8294",5,2.37,1,4,"Generalists"
"OTU4689",16,13.626,9,19,"NS"
"OTU628",2,1.372,1,2,"NS"
"OTU2913",6,6.632,4,10,"NS"
"OTU2410",2,2.522,1,4,"NS"
"OTU4562",1,1.394,1,2,"NS"
"OTU10199",11,3.522,2,6,"Generalists"
"OTU5983",5,1.996,1,3,"Generalists"
"OTU12148",8,2.938,1,5,"Generalists"
"OTU12842",3,3.598,2,6,"NS"
"OTU1372",7,9.468,6,14,"NS"
"OTU3071",11,6.034,3,9,"Generalists"
"OTU117",35,37.338,31,43,"NS"
"OTU5026",3,2.222,1,4,"NS"
"OTU3180",17,6.118,4,9,"Generalists"
"OTU1935",1,2.57,1,4,"NS"
"OTU2543",7,2.61,1,4,"Generalists"
"OTU9554",3,1.938,1,3,"NS"
"OTU192",6,3.174,1,5,"Generalists"
"OTU495",1,12.338,8,17,"Specialists"
"OTU1715",1,1.394,1,2,"NS"
"OTU1348",2,4.94,2,8,"NS"
"OTU5893",6,2.85,1,5,"Generalists"
"OTU419",1,1.948,1,4,"NS"
"OTU7554",8,2.442,1,4,"Generalists"
"OTU10034",2,1.402,1,2,"NS"
"OTU4",8,2.584,1,4,"Generalists"
"OTU620",2,1.616,1,3,"NS"
"OTU8080",13,4.132,2,7,"Generalists"
"OTU6",23,4.384,2,7,"Generalists"
"OTU7274",15,3.664,2,6,"Generalists"
"OTU10659",2,1.996,1,3,"NS"
"OTU2235",2,2.236,1,4,"NS"
"OTU516",3,12.47,8,17,"Specialists"
"OTU339",3,1.85,1,3,"NS"
"OTU2554",1,4.538,2,7,"Specialists"
"OTU1852",2,5.538,3,9,"Specialists"
"OTU7501",2,1.628,1,3,"NS"
"OTU997",2,5.876,3,9,"Specialists"
"OTU697",4,7.57,4,12,"NS"
"OTU1953",6,6.13,3,9.52499999999998,"NS"
"OTU347",6,34.46,29,41,"Specialists"
"OTU4123",8,2.444,1,4,"Generalists"
"OTU4408",2,2.432,1,4,"NS"
"OTU13117",1,1.612,1,3,"NS"
"OTU3580",1,5.114,2.475,8,"Specialists"
"OTU607",5,3.896,2,6,"NS"
"OTU2635",31,10.218,6,15,"Generalists"
"OTU3715",2,3.626,2,6,"NS"
"OTU2441",2,3.888,2,6,"NS"
"OTU8426",1,1.586,1,3,"NS"
"OTU3508",1,1.336,1,2,"NS"
"OTU363",4,3.27,1,6,"NS"
"OTU28",3,1.618,1,3,"NS"
"OTU11615",4,1.848,1,3,"Generalists"
"OTU2031",22,10.478,7,15,"Generalists"
"OTU8607",1,1.984,1,3,"NS"
"OTU44",22,45.36,38,52,"Specialists"
"OTU3501",2,3.798,2,6,"NS"
"OTU9749",16,7.996,5,12,"Generalists"
"OTU281",4,2.226,1,4,"NS"
"OTU11980",15,3.11,1,5,"Generalists"
"OTU12225",3,1.78,1,3,"NS"
"OTU27",7,2.404,1,4,"Generalists"
"OTU220",1,1.85,1,3,"NS"
"OTU16",4,1.8,1,3,"Generalists"
"OTU188",5,2.142,1,4,"Generalists"
"OTU248",27,33.856,28,40,"Specialists"
"OTU856",2,1.368,1,2,"NS"
"OTU2782",12,10.134,6,14,"NS"
"OTU1491",24,16.91,12,22,"Generalists"
"OTU592",3,4.448,2,7,"NS"
"OTU29",17,33.094,27,39,"Specialists"
"OTU841",14,14.69,10,20,"NS"
"OTU11",2,2.222,1,4,"NS"
"OTU2018",2,9.096,6,13,"Specialists"
"OTU5998",9,2.836,1,5,"Generalists"
"OTU8872",3,3.658,2,6,"NS"
"OTU327",3,20.456,15,26,"Specialists"
"OTU638",11,3.092,1,5,"Generalists"
"OTU189",2,1.342,1,2,"NS"
"OTU5571",3,1.578,1,3,"NS"
"OTU45",9,3.93,2,6,"Generalists"
"OTU6812",3,1.826,1,3,"NS"
"OTU3125",26,12.318,8,17,"Generalists"
"OTU303",3,1.658,1,3,"NS"
"OTU8516",12,4.594,2,7,"Generalists"
"OTU4005",3,1.608,1,3,"NS"
"OTU62",2,1.374,1,2,"NS"
"OTU4107",40,21.7,17,27,"Generalists"
"OTU12247",5,1.93,1,3,"Generalists"
"OTU6573",2,2.046,1,4,"NS"
"OTU9368",3,1.794,1,3,"NS"
"OTU5652",18,7.872,5,12,"Generalists"
"OTU12423",4,1.97,1,3.52499999999998,"Generalists"
"OTU1231",31,14.652,10,20,"Generalists"
"OTU103",12,3.574,2,6,"Generalists"
"OTU97",8,2.73,1,5,"Generalists"
"OTU7090",3,3.116,1,5,"NS"
"OTU6337",6,2.21,1,4,"Generalists"
"OTU10535",6,2.34,1,4,"Generalists"
"OTU5463",2,15.93,11,21,"Specialists"
"OTU150",3,10.664,7,15,"Specialists"
"OTU208",4,6.118,3,9,"NS"
"OTU10013",1,3.412,2,6,"Specialists"
"OTU1033",8,19.434,15,25,"Specialists"
"OTU7039",1,18.076,13.475,23,"Specialists"
"OTU8616",1,4.686,2,7,"Specialists"
"OTU7289",3,8.398,5,12,"Specialists"
"OTU112",18,40.666,34,47,"Specialists"
"OTU261",4,20.852,16,27,"Specialists"
"OTU9051",1,1.406,1,2,"NS"
"OTU11211",5,8.258,5,12,"NS"
"OTU43",2,25.46,20,32,"Specialists"
"OTU219",5,11.834,8,16,"Specialists"
"OTU1349",13,12.55,8,17.525,"NS"
"OTU7878",6,2.214,1,4,"Generalists"
"OTU2142",2,1.572,1,3,"NS"
"OTU274",1,5.69,3,8.52499999999998,"Specialists"
"OTU251",9,4.644,2,8,"Generalists"
"OTU5065",4,12.5,8,17,"Specialists"
"OTU2059",4,4.306,2,7,"NS"
"OTU2182",7,20.046,14.475,25.525,"Specialists"
"OTU5613",20,10.008,6,14,"Generalists"
"OTU1281",2,3.868,2,7,"NS"
"OTU17",14,14.226,10,18,"NS"
