"Genus","Family","Order","Class","Phylum","Domain","global_relative_abundance","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","SFA","UHC","BLM_BOGR","BLM_SCSC","BNP_BOER","BNP_BOGR","CAD_ANGE","CAD_BOGR","CAD_BUDA","CAD_SCSC","CNF_BOER","CNF_BOGR","CNF_SCSC","CPR_BOER","CPR_BOGR_E","DMT_BOER","DMT_BOGR","DMT_SCSC","FCP_BOGR","FCP_BUDA","FCP_SCSC","FMT_BOER","FMT_BOGR","FSA_SCSC","GMT_BOER","GMT_BOGR","GNF_BOGR","GNF_SCSC","HAR_ANGE","HAR_BOCU_E","HAR_BOGR","HAR_BOGR_E","HAR_BUDA","HAR_BUDA_E","HAR_SCSC","HAR_SCSC_E","HPG_BOGR","HPG_BUDA","KAE_ANGE","KAE_BUDA","KAE_SCSC","KNZ_ANGE","KNZ_ANGE_E","KNZ_BOCU_E","KNZ_BOGR","KNZ_BUDA","KNZ_SCSC","KNZ_SCSC_E","LAR_ANGE","LAR_BOGR","LAR_SCSC","LBJ_ANGE","LBJ_BUDA","LBJ_SCSC","NWP_ANGE","NWP_SCSC","ONF_ANGE","ONF_SCSC","RNF_BOGR","SCP_ANGE","SCP_BOGR","SCP_SCSC","SEV_BOER","SEV_BOER_E_A","SEV_BOER_E_B","SEV_BOGR","SEV_BOGR_E_A","SFA_SCSC","UHC_ANGE","UHC_SCSC"
"uncl_Neodevriesiaceae","Neodevriesiaceae","Capnodiales","Dothideomycetes","Ascomycota","Fungi",0.001,0.001,0.004,0,0,0.001,0.001,0,0.001,0,0,0,0,0.001,0.001,0,0.002,0,0,0.001,0,0,0,0.001,0.004,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0,0.001,0.002,0,0,0.003,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0.006,0.007,0,0,0,0,0.001,0,0,0,0,0,0,0,0.004,0.001,0,0.005,0,0,0
"Clitopilus","Entolomataceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.122,0.164,0.028,0.004,0.052,0.136,0.306,0.216,0.025,0.054,0.914,0.01,0,0.022,0.006,0.264,0,0,0.393,0.005,0.287,0.702,0.007,0.001,0,0.005,0.001,0,0.384,0,0.123,0,0.007,0.101,0.003,0.666,1.509,0.007,0,0.01,0.021,0,0,0,0.031,0.002,0,0.026,0.001,0.018,0.39,0.238,0,0,0,0,0.864,0.04,0,0.02,0.064,0.041,0.945,0.007,0.395,0.017,0.324,0.035,0.944,0,0.011,0.011,0.004,0,0.004,0,0.004,0,0,0,0,0.001,0.008,0.001,0.006,0,0.003,0.001,0,0.384,0,0,0,0.614,0.069,0,0.135,0.004,0,0,0.013
"Striaticonidium","Stachybotryaceae","Hypocreales","Sordariomycetes","Ascomycota","Fungi",0.06,0,0,0.068,1.021,0,0.003,0.002,0.028,0.01,0.001,0.024,0,0,0,0.012,0,0.106,0,0.004,0.336,0,0.078,0.007,0.103,0.005,0,0,0,0,0,0.023,0,0.009,0.012,0,0.002,0,0.007,0,0.091,0,0,0.001,0,0,0,0,0,0,0.002,0.027,0,0,0.106,0,0.001,0,0.004,0.48,1.277,0.005,0.004,0.003,0.002,0.007,0,0,0,0.225,0.001,0.003,0.003,0.02,0,0.001,0.002,0.001,0.009,0.028,0.004,0.218,0.003,0.006,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0
"Rhizophlyctis","Rhizophlyctidaceae","Rhizophlyctidales","Rhizophlyctidomycetes","Chytridiomycota","Fungi",0.003,0.002,0.006,0,0,0.004,0.009,0,0.001,0.017,0,0,0,0,0.006,0,0.026,0,0,0,0,0,0,0,0,0,0.006,0,0.096,0,0.003,0,0,0.021,0.012,0,0,0,0,0,0,0,0,0,0,0,0.011,0.008,0,0,0,0,0.018,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0.096,0,0,0,0,0,0.004,0,0.008,0,0,0
"uncl_Chaetomiaceae","Chaetomiaceae","Sordariales","Sordariomycetes","Ascomycota","Fungi",0.348,0.112,0.426,0.711,0.528,0.766,0.173,0.182,0.055,0.003,2.256,0.388,0.239,0.008,0.259,0.107,1.963,0.01,0.031,0,0.177,0.009,2.82,0.005,0.052,0.061,0.015,0.012,0,0.008,0.206,0.013,0.003,0.002,0.004,3.194,0.006,0.003,0.637,0.913,0.006,0.032,1.261,0.002,0.012,0,0.403,0.405,0,0.036,0.192,0.046,3.019,0.028,0.01,0.016,0.047,0,0,0.02,0.66,0.063,0.033,0.152,0.009,0.001,0.005,0,0.013,7.48,0.077,0.781,0.002,0.006,0,0,0.002,0.023,0,0.004,0.109,0.077,0.064,0.036,0.085,0.025,0.006,0.013,0.012,0,0.04,0,0,0.255,0.164,0.026,0.122,0.496,0.013,0.003,0.004
"uncl_Ploettnerulaceae","Ploettnerulaceae","Helotiales","Leotiomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Tremellodendropsidales","uncl_Tremellodendropsidales","Tremellodendropsidales","Agaricomycetes","Basidiomycota","Fungi",0.066,0,0,0.105,0.001,0,0.002,0.27,0.035,0,0,0.003,0,0.019,0.004,0.729,0,0,0,0,0.033,0,0.464,0.027,0.012,0,0.068,0.004,0,0.004,0,0,0.017,0,0,0,0,0,0,0,0.012,0,0,0,0,0.059,0,0,0.012,0,1.702,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0.289,0.009,0,0.002,0,0,1.073,0.073,0.242,0,0,0,0,0,0,0.122,0.021,0,0.007,0,0,0,0.022,0.114,0.001,0.007,0,0.02,0,0,0,0,0,0,0,0,0.001,0.032
"uncl_Cuniculitremaceae","Cuniculitremaceae","Tremellales","Tremellomycetes","Basidiomycota","Fungi",0,0,0,0,0,0,0.001,0,0.001,0.002,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.008,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.006,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"Eremiomyces","Pezizaceae","Pezizales","Pezizomycetes","Ascomycota","Fungi",0.011,0,0,0,0,0.025,0.03,0.002,0.001,0,0.133,0,0,0.167,0,0,0,0,0,0.019,0.015,0.011,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.451,0,0,0,0,0,0,0,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.017,0,0,0.232,0,0,0,0,0,0,0.014,0,0,0,0.003,0,0,0.023,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Helminthosphaeriaceae","Helminthosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Fungi",0.002,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Magnaporthaceae","Magnaporthaceae","Magnaporthales","Sordariomycetes","Ascomycota","Fungi",0.039,0,0.002,0.003,0.033,0.005,0.156,0.036,0.003,0.001,0,0.038,0.002,0.001,0,0.017,0.001,0.004,0.053,0.991,0.037,0.028,0.024,0,0,0.006,0.005,0.001,1.583,0,0.001,0.01,0.002,0.001,0.001,0,0,0.001,0,0.123,0.002,0.002,0.004,0.001,0,0.002,0,0,0,0,0.015,0.027,0.001,0,0.004,0.044,0.063,7.869,0.008,0.022,0.042,0,0.099,0,0.029,0,0.012,0.037,0.025,0,0.065,0,0.001,0,0,0.002,0.001,0,0,0,0,0,0,0.016,0,0.01,0,0,0.002,1.583,0,0,0,0,0.001,0,0,0.002,0.01,0.002,0.002
"uncl_Hygrophoraceae","Hygrophoraceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.109,0,0,0.007,0,0,0,0,0.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0.003,0,9.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.04,0,0,0.001,1.81,0.011,0,0,0,0,0,0,0,0,0,0.005,0,0,0.015,24.308,0,0,0,0,0,0,0,0
"Kamienskia","Glomeraceae","Glomerales","Glomeromycetes","Glomeromycota","Fungi",0.134,0.587,0.654,0.012,0.016,0.475,0.133,0.112,0.044,0,0.645,0.267,0.187,0,0.438,0.335,0.003,0.001,0.092,0.005,0.038,0,0.008,0.002,0.025,0,0.003,0.001,0,0,0.607,0,0,0,0,0.888,0.063,0.01,0.552,0.451,0.128,0.476,0,0,0,0,0.979,0.089,0,0.119,0.209,0.572,0.004,0,0.001,0.077,0.11,0,0.006,0.045,0.02,0.033,0.011,0.084,0.096,0.037,0,0,0,0,0.021,0,0.002,0,0,0.003,0.01,0.001,0,0.061,0,0,0,0,0.001,0.007,0,0,0.002,0,0,0,0,0.544,0.34,0.705,0.02,0.8,0,0.001,0
"uncl_Boletales","uncl_Boletales","Boletales","Agaricomycetes","Basidiomycota","Fungi",0.002,0,0,0.005,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0.018,0,0,0,0,0,0,0,0,0,0.007,0,0
"Ascotricha","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Lasiosphaeriaceae","Lasiosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Fungi",0.131,0.002,0,0.069,1.764,0.025,0.153,0.004,0.058,0.019,0.041,0.003,0,0.654,0.012,0.006,0.001,0.133,0.001,0.011,0.693,0,0.015,0.038,0,0.002,0.001,0.243,0,0.006,0.001,0.079,0,0.001,0.04,0,0.14,0.002,0,0.003,0.005,0,0,0,0.23,1.586,0,0,0.033,0.002,0.01,0.003,0,0.002,0.133,0,0.003,0.089,0,0.003,2.193,0.02,0.548,0,0.009,0.727,0,0,0,0.04,0.002,0,0.006,0.139,0.049,0.002,0.005,0.003,0.007,0,0,0.001,0.001,0.004,0.001,0,0.003,0.479,0.046,0,0,0,0.015,0,0.001,0.003,0,0,0.079,0.001,0
"uncl_Mortierellomycetes","uncl_Mortierellomycetes","uncl_Mortierellomycetes","Mortierellomycetes","Mortierellomycota","Fungi",0.013,0.043,0.001,0.019,0,0.016,0.016,0.008,0.009,0,0,0.004,0.01,0,0.003,0.008,0.056,0.006,0.005,0.001,0.006,0.04,0.015,0.001,0.049,0.008,0.073,0.001,0,0.002,0.03,0,0.001,0,0,0,0,0,0.014,0.003,0.002,0.008,0,0.016,0,0,0.002,0.012,0,0.002,0.012,0.006,0,0.158,0.006,0,0.011,0,0.001,0.033,0,0,0.004,0.002,0.001,0.013,0.002,0.141,0.003,0.001,0.036,0.002,0.002,0.002,0.002,0.001,0,0,0,0.023,0.03,0.084,0.019,0.002,0.003,0.135,0.01,0.001,0.001,0,0,0,0.005,0.125,0.052,0.002,0,0.001,0,0.001,0.001
"Cladophialophora","Herpotrichiellaceae","Chaetothyriales","Eurotiomycetes","Ascomycota","Fungi",0.186,0,0,0.48,0.118,0,0.051,0.01,0.295,0.196,0.01,0.035,0.03,0.002,0.213,0.014,0,0.011,0,0.028,0.072,0.016,0.258,0.415,0.288,0.063,1.815,0.41,0.01,0.004,0,0.056,0.004,0.372,0.003,0,0.034,0.005,0,0.001,0.134,0.002,0,0.069,0,0.006,0,0,0.595,0.002,0.023,0.01,0,0,0.011,0,0,0,0.032,0.028,0.129,0.002,0.083,0,0.003,0.137,0.119,0.012,0.018,0.283,0.007,0.562,0.124,1.24,0.075,0.018,0.03,0.088,0.438,0.424,0.002,0.27,0.001,0,0.192,1.628,2.003,0.54,0.302,0.01,0,0,0.01,0,0,0,0,0,0.056,0.007,0.001
"Diaporthe","Diaporthaceae","Diaporthales","Sordariomycetes","Ascomycota","Fungi",0.005,0,0,0.026,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preussia","Sporormiaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.06,0.001,0,0.038,0.003,0.11,0.101,0.105,0.003,0,0,0.002,0,0.723,0.001,0.031,0.012,0.004,0,0.005,0.091,0.005,0.001,0.083,0.337,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.002,0,0,0,0,1.052,0,0.002,0,0,0,0.048,0.026,0.004,0.025,0.004,0,0,0.04,0,0,0.004,0.007,0.381,0.004,0.049,0,0,0,0.007,0.002,0,0,0.002,0,0,0,0.672,0,0,0.367,1.038,0.016,0.001,0.07,0.004,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
"uncl_Cantharellales","uncl_Cantharellales","Cantharellales","Agaricomycetes","Basidiomycota","Fungi",0.016,0,0,0.001,0,0.097,0,0,0.001,0,0,0.001,0.058,0,0.007,0,0.505,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.146,0,0,0,0,0.012,0,0.007,0,0.001,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.004,0.001,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wallemia","Wallemiaceae","Wallemiales","Wallemiomycetes","Basidiomycota","Fungi",0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0
"Lecythophora","Coniochaetaceae","Coniochaetales","Sordariomycetes","Ascomycota","Fungi",0.002,0.001,0.002,0.004,0,0.001,0.002,0.001,0.004,0.001,0,0,0,0.002,0,0.005,0,0,0,0,0,0,0.032,0,0.004,0,0,0,0.026,0.002,0.001,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.002,0.004,0,0,0.001,0,0.001,0.013,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.045,0.001,0.056,0,0,0,0,0.001,0,0,0.002,0.002,0.006,0,0.001,0,0,0,0,0,0.026,0,0.005,0,0.004,0,0,0.01,0,0,0,0
"uncl_Onygenales","uncl_Onygenales","Onygenales","Eurotiomycetes","Ascomycota","Fungi",0.052,0.115,0.162,0.008,0.011,0.132,0.043,0.114,0.017,0.002,0.008,0.017,0.001,0.002,0.1,0.043,0.476,0.021,0.002,0.015,0.072,0,0.002,0.073,0.002,0.017,0,0,0,0.051,0.13,0.007,0,0.001,0.003,0.002,0.022,0,0,0.05,0.008,0.002,0,0.001,0.003,0,0.129,0.166,0.026,0,0.1,0.002,0.736,0,0.021,0.002,0.001,0.049,0.01,0.005,0.002,0.143,0.015,0.303,0.011,0.192,0.007,0,0,0,0.005,0,0.037,0.006,0.045,0.052,0.446,0.014,0.007,0.002,0,0.004,0.022,0.027,0.001,0,0,0,0,0,0,0.114,0.015,0.426,0.04,0.006,0.053,0.188,0.007,0,0
"Physalacria","Physalacriaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.001,0,0,0,0,0,0.004,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mortierella","Mortierellaceae","Mortierellales","Mortierellomycetes","Mortierellomycota","Fungi",0.108,0,0,0.404,0.012,0,0.003,0.007,0.116,0,0,0.001,0,0.002,0.153,0,0,0.007,0,0,0.079,0.001,0.9,0.084,0.001,0.402,0.351,0.018,0.008,0.249,0,0,0.011,0.001,0,0,0,0,0,0,0.003,0,0,0,0.001,0.004,0,0,0.428,0,0,0,0,0,0.007,0,0,0,0,0.705,0.002,0,0.002,0,0.002,0,0.002,0.002,0,2.547,0.01,0.075,0.041,0.237,0.049,0.022,0.03,0.009,0.067,0.001,0,0.002,0.211,0.016,1.014,0.381,0.321,0.016,0.019,0.008,0.9,0,0.173,0,0,0,0,0,0,0.024,0
"Marasmius","Marasmiaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.513,0.078,0,0.889,0.673,0.027,0.421,0.392,0.653,0,0,0,1.477,0.247,0.005,0.159,0.009,0.001,0,0,0.408,0,0.354,0,7.454,0.376,0.252,0.001,0,0,0.055,0,0,0,0.001,0,0,0,0,0,0,0,0,3.446,0,0.791,0,0,0.013,0,0.004,0.401,0,0.025,0.001,0,0,0,0,0,0.842,0,0.043,0.78,1.164,0.001,0,0,0,0,0.945,0,0,0,0,0,0,0,0,7.72,9.945,6.149,0.754,0.373,0,0.39,0.113,0,0.002,0,0,0,0,0,0,0.145,0,0,0,0,0
"Olpidium","Olpidiaceae","Olpidiales","Olpidiomycetes","Olpidiomycota","Fungi",0.006,0,0,0.001,0,0,0.002,0,0.018,0,0,0,0.079,0,0,0.001,0,0.008,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0.038,0.001,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0.002,0,0,0,0.008,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.007,0.042,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073
"Cutaneotrichosporon","Trichosporonaceae","Trichosporonales","Tremellomycetes","Basidiomycota","Fungi",0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0
"Atractiella","Hoehnelomycetaceae","Atractiellales","Atractiellomycetes","Basidiomycota","Fungi",0.429,0,0,1.336,0.012,0,0.001,0.001,0.662,0,0,0,0,0,0,0,0,4.537,0,0,0.005,0,1.65,0,0,0.716,7.608,0.015,0,0,0,1.905,0.62,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.537,0,0,0,0,0,0.015,0,0.004,0,0.008,0.001,0,0,0,2.148,0,3.241,0,0,0,0,0,0,0,0,0,0,0,0,2.213,13.182,2.033,0.002,0.026,0,0,0,0,0,0,0,0,0,1.905,0.218,0.985
"uncl_Cladochytriales","uncl_Cladochytriales","Cladochytriales","Cladochytriomycetes","Chytridiomycota","Fungi",0.07,0,0,0.171,0.001,0,0.002,0.003,0.134,0,0,0,0,0,0,0.001,0,0.709,0,0,0.003,0,0,0.001,0,0.293,0.042,0,0,0,0,0.722,1.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.709,0,0,0,0,0,0.001,0.003,0.011,0,0.002,0,0,0,0,0.001,0,0,0,0.002,0,0.001,0.002,0,0,0,0,0,0.177,0.022,0.705,0.018,0.066,0,0,0,0,0,0,0,0,0,0,0,0.722,1.804,0.838
"Magnaporthe","Magnaporthaceae","Magnaporthales","Sordariomycetes","Ascomycota","Fungi",0.058,0,0,0.047,0.102,0.004,0.151,0.095,0.006,0,0,0.019,0,0.024,0,0.004,0,0.003,0,0.022,0.089,0,0.105,0.279,0,0,0,0,0,0.002,0,0,0,0.001,0,0,0,0.067,0,0,0.003,0,0,0.001,0.035,0,0,0,0,0,0.008,0,0,0,0.003,0,0,0.178,0,0.043,0.128,0.245,0.076,0.065,0.048,0.085,0.005,0,0,0,0.28,0,0.351,0.008,0,1.828,0.363,0.001,0.001,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
"uncl_Massarinaceae","Massarinaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.052,0,0,0.06,0.001,0,0.098,0.024,0.064,0.519,0.001,0.001,0,0.001,0,0,0,0.004,0,0,0.001,0.196,0.207,0.098,0.015,0.005,0.119,0.018,0,0,0,0,0.002,0.995,0,0,0.002,0.003,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.004,0,0.001,0,0,0.003,0.001,0,0.001,0,0,0.004,0,0.188,0.2,0,0,0.736,0,0.313,0,0,0,0.004,0.122,0.003,0,0.034,0,0,0.015,0.031,0.208,0.032,0.006,0,0,0,0,0,0,0,0,0,0,0.004,0
"Sphaerobolus","Sphaerobolaceae","Geastrales","Agaricomycetes","Basidiomycota","Fungi",0.054,0,0,0,0.011,0,0,0.018,0.181,0,0.001,0,0,0,0.044,0,0,0,0,3.974,0.003,0,0,0.018,0,0.013,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.001,0,0,0,0,0,0,4.542,0,0.014,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.148,0,0,0,0,0,0.003,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coniochaeta","Coniochaetaceae","Coniochaetales","Sordariomycetes","Ascomycota","Fungi",0.092,0,0,0.009,0,0,0.336,0.059,0.054,1.881,0.001,0,0,0,0,0,0,0,0,0.048,0.059,0,0.311,0.012,0,0.001,0,0,0,0,0,0,0.001,3.605,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,0,0,0,0,0,0.535,0,0,0,0,0,0.004,0,1.101,0,0.05,0,0.005,0,0,0,0,0,0,0,0,0.002,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.002
"Ceratobasidium","Ceratobasidiaceae","Cantharellales","Agaricomycetes","Basidiomycota","Fungi",0.065,0,0,0.345,0,0,0,0.003,0.01,0,0,0.005,0,0,0,0,0,0,0,0,0.013,0,1.249,0.011,0.002,0.006,0,0,0,0,0,0,0.006,0,0.001,0,0,0.008,0,0.001,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.091,0,0,0,3.621,0.012,0,0.043,0,0,0,0,0.037,0.002,0,0,0.006,0.011,0.007,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011
"Bipolaris","Pleosporaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.042,0,0,0.194,0.002,0,0,0.024,0.011,0.001,0,0,0,0,0,0.005,0.001,0,0,0,0.004,0,0.768,0.011,0.02,0.011,0.008,0,0,0,0,0.003,0.001,0.002,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0.011,0.001,0.001,0,0,0,0,0,0,0.031,0.002,0,0,0,0,0.003,0,0,0,1.961,0.149,0.136,0.011,0.04,0,0,0,0,0,0.001,0,0.049,0.001,0.022,0.008,0.007,0.01,0,0,0,0,0,0,0,0,0,0,0,0.003,0.001,0.001
"Coniosporium","Coniosporiaceae","Coniosporiales","Dothideomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Geastraceae","Geastraceae","Geastrales","Agaricomycetes","Basidiomycota","Fungi",0.026,0,0,0,0,0,0.128,0,0,0,0,0,0,1.044,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,3.337,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
"Johnalcornia","Pleosporaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.024,0,0,0.092,0,0.002,0.011,0.023,0.007,0.024,0,0.001,0.024,0.007,0.008,0,0,0,0.001,0,0,0.133,0,0.001,0.42,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0.003,0,0.134,0,0.007,0.006,0.014,0.008,0,0,0.001,0,0,0,0,0,0.003,0,0,0.001,0,0,0,0,0,0,0.002,0,0.182,0,0,0,0,0,0,0.005,0.002,0,0,0.899,0.125,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wojnowiciella","Phaeosphaeriaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.007,0,0,0.003,0,0,0,0.002,0.021,0,0,0.005,0.032,0,0,0.001,0,0,0,0,0.001,0,0.001,0.001,0.098,0.006,0.001,0.007,0,0,0,0,0,0,0.001,0,0,0.003,0,0.009,0.005,0,0,0.076,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.001,0.001,0,0,0,0,0.002,0.001,0.001,0,0,0.003,0,0,0,0,0,0.236,0.013,0.001,0.004,0.002,0,0.015,0.001,0,0,0,0,0,0,0,0,0,0,0,0
