"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU10921",19,18.9,14,23,"NS"
"OTU56476",8,7.016,5,9,"NS"
"OTU1817",15,12.074,9,15,"NS"
"OTU148",52,54.676,48,61,"NS"
"OTU384",34,27.628,22.475,33,"Generalists"
"OTU419",27,19.104,15,24,"Generalists"
"OTU48121",64,37.772,32,44,"Generalists"
"OTU51482",70,80.478,74,86,"Specialists"
"OTU84915",10,9.16,6.475,12,"NS"
"OTU1271",55,29.136,24,35,"Generalists"
"OTU716",65,44.922,38,52,"Generalists"
"OTU23",93,72.24,65,79,"Generalists"
"OTU6615",46,39.354,33,47,"NS"
"OTU401",34,26.592,21,32,"Generalists"
"OTU67528",94,85.464,80,90,"Generalists"
"OTU35255",9,20.502,16,25,"Specialists"
"OTU83",79,74.562,68,81,"NS"
"OTU5749",79,55.288,48.475,62,"Generalists"
"OTU31976",59,46.744,40,53,"Generalists"
"OTU1261",20,16.136,12,20,"NS"
"OTU5462",19,20.676,16,25,"NS"
"OTU2160",28,19.7,15,24,"Generalists"
"OTU21794",7,5.412,4,7,"NS"
"OTU1707",12,9.988,7,13,"NS"
"OTU3288",1,1.914,1,2,"NS"
"OTU1820",16,16.508,13,21,"NS"
"OTU14489",10,11.328,8,15,"NS"
"OTU166",87,74.514,68,81,"Generalists"
"OTU117",79,75.908,70,82,"NS"
"OTU230",57,44.016,38,50,"Generalists"
"OTU92",56,55.056,49,61.525,"NS"
"OTU12884",52,31.028,26,36.525,"Generalists"
"OTU62593",9,15.014,11,19,"Specialists"
"OTU5166",29,27.052,21,32,"NS"
"OTU29705",17,49.39,43,57,"Specialists"
"OTU1019",25,17.612,13,22,"Generalists"
"OTU302",39,28.964,23.475,34,"Generalists"
"OTU33907",9,7.898,5,10,"NS"
"OTU184",76,44.604,38,51,"Generalists"
"OTU196",41,57.482,51,65,"Specialists"
"OTU18990",24,27.08,22,33,"NS"
"OTU57515",64,53.044,47,59.525,"Generalists"
"OTU978",7,7.998,6,10,"NS"
"OTU158",61,50.026,43.475,57,"Generalists"
"OTU1061",55,37.406,31,44,"Generalists"
"OTU3150",4,4.146,3,5,"NS"
"OTU355",51,33.994,28,40,"Generalists"
"OTU376",33,17.276,13.475,21,"Generalists"
"OTU98",46,60.518,53,67,"Specialists"
"OTU35",57,65.32,58,72.525,"Specialists"
"OTU2438",15,11.444,8,15,"NS"
"OTU4988",23,23.834,19,29,"NS"
"OTU2262",21,18.64,15,23,"NS"
"OTU284",10,7.482,5,10,"NS"
"OTU1648",18,10.954,8,14,"Generalists"
"OTU879",6,6.478,4,9,"NS"
"OTU5217",6,5.958,4,8,"NS"
"OTU803",21,17.154,13,22,"NS"
"OTU371",22,24.446,19.475,29,"NS"
"OTU3291",7,7.486,5,10,"NS"
"OTU7360",37,31.846,26,37,"NS"
"OTU11373",74,43.916,38,51,"Generalists"
"OTU172",53,61.092,54,67,"Specialists"
"OTU48037",4,3.418,2,4,"NS"
"OTU1697",28,17.522,13.475,22,"Generalists"
"OTU88539",11,10.686,8,14,"NS"
"OTU981",40,28.944,24,34,"Generalists"
"OTU1085",10,13.912,10,18,"NS"
"OTU674",40,26.304,21,32,"Generalists"
"OTU354",53,39.246,33,46,"Generalists"
"OTU48233",40,19.716,15.475,24,"Generalists"
"OTU7416",1,1.87,1,2,"NS"
"OTU81",82,78.238,73,84,"NS"
"OTU1171",45,23.204,18,29,"Generalists"
"OTU1274",2,1.894,1,2,"NS"
"OTU544",68,70.156,64,77,"NS"
"OTU8072",27,17.992,14,22,"Generalists"
"OTU79182",70,36.766,31,43,"Generalists"
"OTU2880",17,18.066,14,23,"NS"
"OTU520",70,48.008,41,55,"Generalists"
"OTU656",46,28.34,23,34,"Generalists"
"OTU984",8,8.766,6,12,"NS"
"OTU8771",2,1.88,1,2,"NS"
"OTU2437",18,15.714,12,19,"NS"
"OTU1575",3,2.722,2,3,"NS"
"OTU3359",4,3.424,2,4,"NS"
"OTU13340",17,12.252,9,16,"Generalists"
"OTU192",56,67.908,61,74.525,"Specialists"
"OTU153",92,57.796,51,65,"Generalists"
"OTU22187",11,14.498,11,19,"NS"
"OTU1018",32,19.068,15,23,"Generalists"
"OTU938",29,20.638,16,25,"Generalists"
"OTU1176",63,41.854,35,48.525,"Generalists"
"OTU921",44,29.468,24,35,"Generalists"
"OTU22167",39,30.838,25,37,"Generalists"
"OTU430",29,26.706,21,32.525,"NS"
"OTU73",94,89.534,85,93,"Generalists"
"OTU374",6,4.856,3,6,"NS"
"OTU1341",43,30.422,25,36,"Generalists"
"OTU15809",26,15.358,12,20,"Generalists"
"OTU220",33,25.232,21,30,"Generalists"
"OTU1360",16,15.84,12,20,"NS"
"OTU1477",23,14.72,11,18,"Generalists"
"OTU3509",2,1.892,1,2,"NS"
"OTU968",27,21.478,17,26,"Generalists"
"OTU691",38,30.866,25,36,"Generalists"
"OTU848",67,37.994,32,44,"Generalists"
"OTU16209",30,26.624,21,32,"NS"
"OTU1901",13,9.888,7,13,"NS"
"OTU4097",2,1.92,1,2,"NS"
"OTU649",26,17.484,13,22,"Generalists"
"OTU8396",3,4.098,3,5,"NS"
"OTU70293",14,10.842,8,14,"NS"
"OTU1402",43,38.728,32,44,"NS"
"OTU87",94,91.214,87.475,94.525,"NS"
"OTU44",82,81.942,76,88,"NS"
"OTU3583",70,43.202,37,50,"Generalists"
"OTU3575",11,8.352,6,11,"NS"
"OTU1216",50,28.18,23,33,"Generalists"
"OTU3931",7,8.368,6,11,"NS"
"OTU967",22,15.984,12,20,"Generalists"
"OTU330",53,31.776,26,37,"Generalists"
"OTU1690",50,43.27,37,50.525,"NS"
"OTU1782",32,21.574,16.475,26.525,"Generalists"
"OTU546",80,57.058,50,64,"Generalists"
"OTU21967",6,5.49,4,7,"NS"
"OTU56655",1,2.726,2,3,"Specialists"
"OTU2060",14,10.998,8,14.525,"NS"
"OTU927",60,33.696,27,40,"Generalists"
"OTU973",41,24.412,20,29,"Generalists"
"OTU990",35,29.24,24,34,"Generalists"
"OTU7334",20,15.556,12,19.525,"Generalists"
"OTU750",86,77.548,71,83,"Generalists"
"OTU435",61,56.02,49,63,"NS"
"OTU11580",41,33.69,28,40,"Generalists"
"OTU442",91,71.012,64,77.525,"Generalists"
"OTU562",23,15.228,11,19,"Generalists"
"OTU49620",77,66.644,60,73,"Generalists"
"OTU1050",45,33.892,29,40,"Generalists"
"OTU502",65,37.484,32,44,"Generalists"
"OTU19479",63,42.264,36,48,"Generalists"
"OTU1084",8,7.922,5,10,"NS"
"OTU8191",28,23.758,19,29,"NS"
"OTU5258",1,1.892,1,2,"NS"
"OTU4770",15,11.078,8,14,"Generalists"
"OTU9845",2,2.676,2,3,"NS"
"OTU97829",62,51.616,45,58,"Generalists"
"OTU1711",3,3.462,2,4,"NS"
"OTU6176",30,22.04,17,27,"Generalists"
"OTU1995",68,51.034,45,58,"Generalists"
"OTU12738",2,1.916,1,2,"NS"
"OTU3103",58,39.558,33,46,"Generalists"
"OTU2544",6,7.522,5,10,"NS"
"OTU28925",61,54.844,48,61.525,"NS"
"OTU253",23,18.608,14,23,"NS"
"OTU399",29,20.214,16,25,"Generalists"
"OTU6487",8,7.904,5,10,"NS"
"OTU72",82,75.836,69,82,"NS"
"OTU2081",23,19.224,15,24,"NS"
"OTU3759",30,20.592,16,26,"Generalists"
"OTU1029",20,21.81,17,27,"NS"
"OTU10041",2,1.9,1,2,"NS"
"OTU810",25,24.008,19,30,"NS"
"OTU289",20,16.794,13,21,"NS"
"OTU15897",12,9.584,7,12,"NS"
"OTU2532",27,22.156,17,27,"NS"
"OTU5388",11,9.958,7,13,"NS"
"OTU22046",57,38.364,33,44,"Generalists"
"OTU3203",6,9.096,6,12,"NS"
"OTU1039",32,23.154,18,28,"Generalists"
"OTU1338",5,4.156,3,5,"NS"
"OTU40272",20,12.788,9,16.525,"Generalists"
"OTU356",37,25.946,21,31,"Generalists"
"OTU9690",4,4.116,2.475,5,"NS"
"OTU155",18,16.67,13,21,"NS"
"OTU1568",2,3.452,2,4,"NS"
"OTU1547",10,14.13,10,18,"NS"
"OTU3708",3,3.466,2,4,"NS"
"OTU130",44,29.752,24,35,"Generalists"
"OTU991",25,15.39,12,19,"Generalists"
"OTU711",47,29.148,24,35,"Generalists"
"OTU462",48,30.06,25,35,"Generalists"
"OTU514",61,66.56,59.475,74,"NS"
"OTU118",60,69.844,64,76,"Specialists"
"OTU39408",14,11.974,9,15,"NS"
"OTU630",69,56.754,50,63,"Generalists"
"OTU487",44,25.324,20,30,"Generalists"
"OTU56",54,79.018,72.475,85,"Specialists"
"OTU1177",11,9.586,6,13,"NS"
"OTU4510",13,9.584,7,12,"Generalists"
"OTU1107",18,12.026,8,16,"Generalists"
"OTU2693",3,2.694,2,3,"NS"
"OTU89",64,51.794,45,59,"Generalists"
"OTU14",84,86.878,81.475,92,"NS"
"OTU974",50,35.872,30,42,"Generalists"
"OTU3121",3,2.726,2,3,"NS"
"OTU695",34,27.636,22,33,"Generalists"
"OTU3622",2,1.914,1,2,"NS"
"OTU83489",9,7.032,5,9,"NS"
"OTU56811",19,23.27,19,29,"NS"
"OTU449",74,48.954,42,55,"Generalists"
"OTU288",5,5.336,4,7,"NS"
"OTU7233",1,4.866,3,6,"Specialists"
"OTU6217",9,23.8,19,29,"Specialists"
"OTU52323",52,61.754,55.475,69,"Specialists"
"OTU5139",2,4.834,3,6,"Specialists"
"OTU3165",5,6.496,5,8,"NS"
"OTU69171",46,33.058,28,38,"Generalists"
"OTU535",25,23.954,19,29.525,"NS"
"OTU4949",10,11.766,9,15,"NS"
"OTU4568",3,2.72,2,3,"NS"
"OTU389",42,30.194,24,36,"Generalists"
"OTU1885",2,1.896,1,2,"NS"
