OTU,observed,mean.simulated,lowCI,uppCI,Sign
OTU13149,2,1.98,2,2,NS
OTU4257,16,23.53,20,27,Specialists
OTU7947,17,14.95,12,17.525,NS
OTU263,381,347.19,332.475,361.525,Generalists
OTU5967,16,14.1,11.475,16.525,NS
OTU6445,31,28.69,24.475,33,NS
OTU227,232,249.59,232.475,265,Specialists
OTU36314,49,39.29,33.475,45.525,Generalists
OTU6356,46,44.67,38.475,51,NS
OTU67576,6,5.6,4,6,NS
OTU2800,66,48.11,40.95,56,Generalists
OTU1479,135,78.63,71,85.525,Generalists
OTU4346,54,44.88,40,50,Generalists
OTU12154,113,66.3,58.475,74.525,Generalists
OTU15029,56,41.18,36,46,Generalists
OTU11809,81,66.1,59,75,Generalists
OTU1035,70,64.96,56,73,NS
OTU2732,117,97.77,87,107,Generalists
OTU452,187,177.78,165,191.525,NS
OTU1186,221,129.71,118,141.05,Generalists
OTU98607,15,17.58,15,21,NS
OTU8090,12,12.74,10,15,NS
OTU1848,60,73.63,65.475,81.525,Specialists
OTU19019,9,8.75,7,10,NS
OTU17395,6,5.64,4,6,NS
OTU3564,181,103.7,90.475,114,Generalists
OTU84191,3,2.96,2,3,NS
OTU1095,174,147.48,135,158,Generalists
OTU26948,23,19.24,16,22,Generalists
OTU32,297,384.23,367.95,398,Specialists
OTU3228,32,29.17,24.475,34,NS
OTU41446,254,282.81,269.475,296.525,Specialists
OTU2145,112,93.29,84,103.525,Generalists
OTU195,139,193.51,182,204.525,Specialists
OTU83900,19,21.36,17.475,25,NS
OTU10183,7,6.62,5.475,7,NS
OTU8719,55,39.3,33,44,Generalists
OTU4420,77,63.49,55.475,71,Generalists
OTU682,117,98.9,89.475,110.05,Generalists
OTU1236,134,105.27,96.475,117,Generalists
OTU3058,57,40.72,34.475,46.525,Generalists
OTU939,229,112.68,99.475,126,Generalists
OTU89106,264,142.6,132.475,155,Generalists
OTU36691,95,73.84,64,83,Generalists
OTU12102,17,20.98,17,24,NS
OTU856,199,139.19,127,151.05,Generalists
OTU18668,150,95.82,86.475,105.525,Generalists
OTU3300,65,47.49,41.475,54,Generalists
OTU1051,267,159.23,142.475,173.05,Generalists
OTU687,213,128.53,117.475,141,Generalists
OTU9146,33,24.6,20.475,29,Generalists
OTU8930,205,117.84,108,128.525,Generalists
OTU47137,15,12.46,10,14,Generalists
OTU25569,11,14.2,11.475,16,Specialists
OTU4000,94,69.28,61.475,78.525,Generalists
OTU3133,150,87.33,76,97,Generalists
OTU22638,7,7.31,6,8,NS
OTU5280,37,49.43,41.475,56.525,Specialists
