"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU2787",21,14.1,10,19,"Generalists"
"OTU432",8,58,45.95,68.525,"Specialists"
"OTU876",181,43.73,34.475,52.525,"Generalists"
"OTU10471",19,10.49,7,14.525,"Generalists"
"OTU9657",58,15.25,10,20,"Generalists"
"OTU2222",36,16.36,12,21,"Generalists"
"OTU15",129,14.45,9,19,"Generalists"
"OTU673",186,49.72,39.95,58.525,"Generalists"
"OTU2017",3,26.37,21,33,"Specialists"
"OTU182",200,81.15,69.475,92.05,"Generalists"
"OTU2641",109,16.61,12,21.525,"Generalists"
"OTU8542",82,16.02,11,21,"Generalists"
"OTU2125",34,13.98,9.475,18.525,"Generalists"
"OTU12935",52,10.53,6.475,14,"Generalists"
"OTU73",157,110.59,96,126,"Generalists"
"OTU1642",183,31.72,24.475,39.525,"Generalists"
"OTU2285",124,14.86,11,18.525,"Generalists"
"OTU6345",70,17.21,12.475,22,"Generalists"
"OTU636",114,46.71,38.475,56.05,"Generalists"
"OTU6063",20,6.38,4,9,"Generalists"
"OTU154",23,60.23,52.475,70.05,"Specialists"
"OTU2642",123,16.11,11.475,21,"Generalists"
"OTU396",17,57.34,46.475,67.525,"Specialists"
"OTU1210",3,25.46,19,34.05,"Specialists"
"OTU1815",148,39.99,33.475,46.525,"Generalists"
"OTU3466",7,13.81,9.475,19,"Specialists"
"OTU2794",190,31.91,25.475,39,"Generalists"
"OTU3523",76,16.81,11,22,"Generalists"
"OTU682",8,3.88,2,6,"Generalists"
"OTU929",23,35.74,29.475,42.525,"Specialists"
"OTU3109",162,111.25,100.475,122.575,"Generalists"
"OTU1448",176,55.19,46,66,"Generalists"
"OTU422",69,82.56,69.475,92,"Specialists"
"OTU287",144,77.23,66.475,88,"Generalists"
"OTU776",13,36.21,27.475,44,"Specialists"
"OTU2467",49,13.97,9,18,"Generalists"
"OTU1643",55,31.16,25,38,"Generalists"
"OTU1156",15,34.78,28.475,42,"Specialists"
"OTU7766",197,34.08,25.95,41,"Generalists"
"OTU148",31,108.84,94.475,122,"Specialists"
"OTU4217",21,11.44,8,15,"Generalists"
"OTU10931",218,29.6,22,36,"Generalists"
"OTU1294",2,2.35,1,4,"NS"
"OTU13030",55,9.03,5,12.525,"Generalists"
"OTU5402",17,59.16,50.475,69,"Specialists"
"OTU1809",56,20.38,14.475,26.525,"Generalists"
"OTU14",225,155.72,142,169,"Generalists"
"OTU176",43,7.97,5,12,"Generalists"
"OTU223",16,5.91,3,9.52499999999999,"Generalists"
"OTU12045",137,16.67,12,22,"Generalists"
"OTU520",158,46.19,39,56,"Generalists"
"OTU9",98,12.85,8,17,"Generalists"
"OTU2378",4,20.74,14.475,26.525,"Specialists"
"OTU1291",4,34.44,26.475,44.525,"Specialists"
"OTU4911",8,5.32,3,8,"NS"
"OTU1383",77,27.67,22,34,"Generalists"
"OTU3283",3,3.6,2,6,"NS"
"OTU12746",2,1.6,1,2,"NS"
"OTU880",1,1.98,1,3,"NS"
"OTU143",119,104.98,90.475,117,"Generalists"
"OTU4228",4,4.12,2,6,"NS"
"OTU7437",10,4.16,2,6,"Generalists"
"OTU120",172,51.6,41,61,"Generalists"
"OTU163",22,92.95,80.475,105,"Specialists"
"OTU7840",76,12.73,9.475,17.525,"Generalists"
"OTU10521",27,6.31,4,9,"Generalists"
"OTU5041",3,5.34,3,8,"NS"
"OTU5716",18,8.57,5,12.525,"Generalists"
"OTU1284",95,59.49,50.475,68.575,"Generalists"
"OTU3988",5,6.78,4,10,"NS"
"OTU12189",168,19.57,14.475,26,"Generalists"
"OTU131",109,189.28,173,203.525,"Specialists"
"OTU476",48,78.12,66,88.575,"Specialists"
"OTU13013",60,9.7,6,14,"Generalists"
"OTU183",121,132.93,117.9,145.525,"NS"
"OTU9703",37,7.67,5,11,"Generalists"
"OTU3359",69,28.02,22,34,"Generalists"
"OTU4198",8,7.5,4,11,"NS"
"OTU7264",9,10.73,8,14,"NS"
"OTU7451",26,12.24,8.475,16,"Generalists"
"OTU5399",73,9.71,6,13.525,"Generalists"
"OTU11860",52,8.24,5,12,"Generalists"
"OTU5665",12,6.63,4,9,"Generalists"
"OTU115",76,48.25,39,56.525,"Generalists"
"OTU279",24,107.35,95.425,120,"Specialists"
"OTU709",41,40.38,32.475,49,"NS"
"OTU4381",29,35.32,29,44.05,"NS"
"OTU364",29,81.86,69.475,92,"Specialists"
"OTU11196",13,4.08,2,7.04999999999998,"Generalists"
"OTU7416",4,2.69,1,4,"NS"
"OTU186",37,78.27,68,89,"Specialists"
"OTU2521",35,19.04,14.475,25,"Generalists"
"OTU127",122,94.65,82.475,105,"Generalists"
"OTU2208",16,57.31,48.475,65,"Specialists"
"OTU5602",20,11.93,7.475,16,"Generalists"
"OTU933",2,2.41,1,4,"NS"
"OTU13039",207,26.31,19.475,32.525,"Generalists"
"OTU10922",79,12.88,9,17.525,"Generalists"
"OTU11279",11,3.7,2,6,"Generalists"
"OTU7784",2,3.62,2,6,"NS"
"OTU229",26,6.21,4,9,"Generalists"
"OTU9161",2,3.27,2,5,"NS"
"OTU51",82,12.73,8,17.525,"Generalists"
"OTU12561",123,16.06,11,21,"Generalists"
"OTU22",138,19.06,14,24.525,"Generalists"
"OTU129",33,6.64,4,10,"Generalists"
"OTU34",31,73.43,62.95,83.575,"Specialists"
"OTU5042",116,51.53,43.475,60,"Generalists"
"OTU1513",4,19.19,13,24,"Specialists"
"OTU632",59,43.63,35,50.525,"Generalists"
"OTU2171",5,13.35,9,18,"Specialists"
"OTU2947",1,9.66,6,13.525,"Specialists"
"OTU663",59,64.76,55.475,73.525,"NS"
"OTU508",39,37.7,31,44.525,"NS"
"OTU4278",2,7.4,5,11,"Specialists"
"OTU5302",1,4.97,3,7.52499999999999,"Specialists"
"OTU4052",2,5.84,3,9,"Specialists"
"OTU401",21,56.28,45.475,67,"Specialists"
"OTU2691",5,10.21,6.475,14,"Specialists"
"OTU1084",20,25.42,19,32.525,"NS"
"OTU2427",11,19.08,14,26,"Specialists"
"OTU725",30,33.71,27.475,42,"NS"
"OTU757",3,3.17,1.475,5.52499999999999,"NS"
"OTU7638",2,2.81,1,5,"NS"
"OTU6299",49,9.97,6.475,14.525,"Generalists"
"OTU4265",3,4.71,3,8,"NS"
"OTU7244",3,2.89,1,4,"NS"
"OTU4163",4,8.15,5,12.525,"Specialists"
"OTU3928",7,8.5,5,13.05,"NS"
"OTU527",3,3.08,1,5,"NS"
"OTU1515",31,26,19,32,"NS"
"OTU8294",46,11.82,7,16,"Generalists"
"OTU7742",2,2.99,1,5,"NS"
"OTU4689",71,31.53,25,38.525,"Generalists"
"OTU3830",12,9.46,6,13,"NS"
"OTU5723",26,31.82,25,38.525,"NS"
"OTU11825",7,4.65,2,7,"NS"
"OTU628",32,62.55,52,72,"Specialists"
"OTU11083",12,9.99,7,14,"NS"
"OTU6184",5,3.32,2,5,"NS"
"OTU2913",26,14.75,11,19.525,"Generalists"
"OTU3771",14,8.29,5,12,"Generalists"
"OTU2410",40,23.56,18,31,"Generalists"
"OTU4562",14,6.95,4,11,"Generalists"
"OTU10199",131,16.75,11,21.525,"Generalists"
"OTU5983",15,5.48,3,8.52499999999999,"Generalists"
"OTU4402",3,6.63,3,10,"NS"
"OTU12148",57,17.06,13,21,"Generalists"
"OTU12842",29,16.33,12,20.525,"Generalists"
"OTU717",10,50.03,41.475,58.525,"Specialists"
"OTU1372",27,22.21,16,28,"NS"
"OTU12547",12,4.4,2,6.52499999999999,"Generalists"
"OTU12520",3,1.86,1,3,"NS"
"OTU3071",42,18.56,13,24.05,"Generalists"
"OTU8027",1,1.92,1,3,"NS"
"OTU277",14,74.7,65,83,"Specialists"
"OTU8974",8,6.97,4,10.525,"NS"
"OTU7431",3,3.45,2,5,"NS"
"OTU117",221,136.31,123.425,152.15,"Generalists"
"OTU2562",15,14.96,10,20.525,"NS"
"OTU801",4,35.24,29,44,"Specialists"
"OTU5026",12,6.77,4,10,"Generalists"
"OTU3004",20,8.49,5,12,"Generalists"
"OTU9505",9,3.9,2,6,"Generalists"
"OTU6623",4,2.26,1,4,"NS"
"OTU10663",3,13.46,9,19,"Specialists"
"OTU3180",40,14.91,9.475,20,"Generalists"
"OTU1935",9,23.71,17,29.525,"Specialists"
"OTU1773",3,13.64,9,18.525,"Specialists"
"OTU6655",3,3.58,2,5,"NS"
"OTU1523",34,25,19,31.525,"Generalists"
"OTU6619",2,3.64,2,6,"NS"
"OTU2584",8,10.43,7,15,"NS"
"OTU2543",56,8.66,5.475,13,"Generalists"
"OTU9554",7,3.94,2,6,"Generalists"
