"","X1351_1662","X1351_1663","X1351_1664","X1351_1653","X1351_1654","X1351_1655","X1351_1656","X1351_1657","X1351_1658","X1351_1659","X1351_1660","X1351_1661","X1351_1911","X1351_1912","X1351_1913","X1351_1902","X1351_1904","X1351_1905","X1351_1906","X1351_1907","X1351_1908","X1351_1909","X1351_1910","X1351_1722","X1351_1723","X1351_1724","X1351_1713","X1351_1714","X1351_1716","X1351_1717","X1351_1718","X1351_1719","X1351_1720","X1351_1721","X1351_1487","X1351_1488","X1351_1489","X1351_1478","X1351_1479","X1351_1480","X1351_1481","X1351_1482","X1351_1483","X1351_1484","X1351_1485","X1351_1486","X1351_1499","X1351_1501","X1351_1490","X1351_1491","X1351_1492","X1351_1493","X1351_1494","X1351_1495","X1351_1496","X1351_1497","X1351_1498","X1351_1748","X1351_1749","X1351_1750","X1351_1739","X1351_1740","X1351_1741","X1351_1742","X1351_1743","X1351_1744","X1351_1745","X1351_1746","X1351_1747","X1351_1609","X1351_1610","X1351_1611","X1351_1600","X1351_1602","X1351_1604","X1351_1605","X1351_1606","X1351_1607"
"OTU138",0.0002220495170423,0.000110938540048813,0.00177383592017738,0.00443115099147003,0.000110901630253965,0,0.000110901630253965,0.000666518551433015,0.00166352445380947,0,0,0.000444444444444444,0.00421145960323617,0.00199225235196458,0.00798491737828546,0.00232429441062535,0.00354767184035477,0.00122032394053694,0.00232764353801818,0.000554139421478444,0.00321971799711336,0.00132934529744101,0.000221680336954112,0,0,0.000111408199643494,0,0,0,0.000111074086415639,0,0,0,0,0.000886819643055094,0.0024368630926008,0.000665705092643959,0.000554016620498615,0.000885543502324552,0.00155245065424706,0.000553832521045636,0.000664819944598338,0.00066423115244105,0.000885837670246927,0.00199247288023024,0.000886524822695035,0.000110778774786751,0.000887902330743618,0,0.000554508151269824,0.000553587245349867,0.0057649667405765,0.0032136524822695,0,0.000110778774786751,0.000997782705099778,0.00110963160230803,0.000777000777000777,0,0.00310696848646249,0.00133288903698767,0.000111135807957324,0.00299833425874514,0.000221483942414175,0.000443803395095972,0.000997782705099778,0.00222222222222222,0.00255073749584119,0.000776311411777753,0.00033215234720992,0.000885543502324552,0.00154798761609907,0.00210130502101305,0.00520026554547466,0.000442624764855594,0.00365488979953483,0.00620292423571112,0.00121762231569626
"OTU904",0.000333074275563451,0.000887508320390504,0.000776053215077605,0.00166168162180126,0.0018853277143174,0.000997450958661199,0.000554508151269824,0.000111086425238836,0.000332704890761894,0.00077536552946389,0.000110840168477056,0.000222222222222222,0.00243821345450515,0.00110680686220255,0.000332704890761894,0.0012174875484228,0.000665188470066519,0.00110938540048813,0.00243848370649523,0.00121910672725258,0.0013322971022538,0.000997008973080758,0.00221680336954112,0.000555185431934266,0.000221901697547986,0.000668449197860963,0.000442722744881018,0.00399822301199467,0.000111172873818788,0.000111074086415639,0.000332667997338656,0.000888296691094826,0.000443754160195252,0.00266163912609515,0.000775967187673207,0.00077536552946389,0.000665705092643959,0.000664819944598338,0,0.000332667997338656,0.000332299512627382,0.000110803324099723,0.000442820768294033,0.000775107961466061,0,0.000997340425531915,0,0.000110987791342952,0.00022158209616663,0.000332704890761894,0.00033215234720992,0.000110864745011086,0.000221631205673759,0,0,0.000110864745011086,0,0.000222000222000222,0,0.00155348424323125,0.00144396312340331,0.000333407423871972,0.000666296501943365,0.000553709856035437,0.000887606790191945,0.000332594235033259,0,0.000110901630253965,0.000887213042031718,0.000110717449069973,0.000553464688952845,0.00154798761609907,0,0.000110643947776057,0,0,0.000332299512627382,0
"OTU77",0.00266459420450761,0.000887508320390504,0.000665188470066519,0.00121856652265426,0.000998114672285683,0.00121910672725258,0.000110901630253965,0.000555432126194179,0.00133081956304758,0,0.000665041010862337,0.00177777777777778,0.00908788651224648,0.000221361372440509,0.000443606521015859,0.00276701715550636,0.00177383592017738,0.00277346350122032,0.0105298160053203,0.00221655768591378,0.000888198068169202,0.00299102691924227,0.000997561516293505,0.00177659338218965,0.000332852546321979,0.00245098039215686,0.0024349750968456,0.00255442025766326,0.00177876598110061,0.00455403754304121,0.00121978265690841,0.00510770597379525,0.00177501664078101,0.00221803260507929,0.0016627868307283,0.00642445724412938,0.00343947631199379,0.00986149584487535,0.00475979632499447,0.00133067198935462,0.00188303057155516,0.00398891966759003,0.00166057788110262,0.00265751301074078,0.00188177994243967,0.00310283687943262,0.000110778774786751,0.000554938956714761,0.00022158209616663,0.00199622934457137,0.00343224092116918,0.000221729490022173,0.00288120567375887,0,0.000110778774786751,0.000110864745011086,0.00133155792276964,0,0.000221336874723329,0.00033288948069241,0.000999666777740753,0.00100022227161591,0.000555247084952804,0.000553709856035437,0.000554754243869966,0.000554323725055432,0.000111111111111111,0.000110901630253965,0.000443606521015859,0.00741806908768822,0.00188177994243967,0.00442282176028306,0.00011059500110595,0.00508962159769861,0.000885249529711187,0.00188282201794219,0.00587062472308374,0.000774850564533983
"OTU83440",0.00421894082380371,0.00366097182161083,0.00454545454545455,0.00465270854104354,0.00365975379838084,0.00221655768591378,0.00698680270599978,0.0027771606309709,0.00232893423533326,0.0012184315463004,0.00243848370649523,0.00588888888888889,0.00365732018175773,0.00199225235196458,0.00266163912609515,0.0012174875484228,0.00199556541019956,0.00388284890170845,0.00310352471735757,0.00520891056189737,0.00544021316753636,0.00188323917137476,0.0017734426956329,0.00288696424605818,0.00110950848773993,0.00657308377896613,0.00177089097952407,0.00777432252332297,0.00222345747637576,0.00433188937020993,0.000887114659569749,0.00199866755496336,0.000887508320390504,0.00365975379838084,0.0049883604921849,0.00398759415152858,0.00244091867302785,0.00398891966759003,0.00431702457383219,0.00310490130849412,0.00232609658839167,0.00398891966759003,0.00686372190855751,0.0042077289336729,0.00431702457383219,0.00221631205673759,0.00343414201838928,0.00377358490566038,0.00409926877908265,0.00421426194965066,0.00254650132860939,0.00354767184035477,0.00277039007092199,0.00122127234373265,0.00398803589232303,0.00155210643015521,0.00421660008877053,0.00266400266400266,0.00143868968570164,0.00565912117177097,0.00410974119737865,0.00411202489442098,0.00477512493059411,0.00221483942414175,0.00355042716076778,0.00454545454545455,0.00444444444444444,0.00199622934457137,0.00310524564711101,0.00177147918511957,0.0017710870046491,0.00364882795223352,0.0015483300154833,0.00232352290329719,0.000553280956069492,0.00199357625429173,0.00287992910943731,0.00166039406685853
"OTU2301",0.0002220495170423,0.000110938540048813,0.000110864745011086,0.000221557549573502,0,0,0,0.000111086425238836,0.000110901630253965,0.000110766504209127,0.000110840168477056,0.000333333333333333,0,0,0.000110901630253965,0,0.000110864745011086,0.000110938540048813,0,0,0.0002220495170423,0.000110778774786751,0,0.000222074172773706,0.000110950848773993,0,0,0,0,0,0,0.000111037086386853,0,0.000110901630253965,0.000554262276909434,0.000221533008418254,0.000443803395095972,0.000554016620498615,0.000221385875581138,0.000221778664892437,0,0.000332409972299169,0.000221410384147017,0.000664378252685195,0.000332078813371707,0.000221631205673759,0.000110778774786751,0.000110987791342952,0.000553955240416574,0.000110901630253965,0.000221434898139947,0.000221729490022173,0.000221631205673759,0.0011102475852115,0.000553893873933754,0.000221729490022173,0.000221926320461607,0,0.000774679061531651,0.00033288948069241,0.000666444518493835,0,0.000777345918933926,0,0.000443803395095972,0,0.000111111111111111,0.000332704890761894,0.000665409781523788,0.000885739592559787,0.000110692937790569,0.000110570544007077,0.0002211900022119,0.00033193184332817,0.000110656191213898,0.00011075423634954,0.000443066016836509,0.000332078813371707
"OTU1294",0,0,0,0,0,0,0,0.000333259275716507,0.000110901630253965,0,0.000110840168477056,0,0,0,0,0,0.000110864745011086,0,0.000110840168477056,0,0.00011102475852115,0,0,0,0.000110950848773993,0,0,0,0,0,0,0,0,0.000221803260507929,0,0,0,0,0.000110692937790569,0,0,0,0,0,0,0.000110815602836879,0,0,0,0,0,0,0,0,0.000110778774786751,0,0,0.000111000111000111,0,0,0,0,0,0,0,0.000110864745011086,0,0.000110901630253965,0,0,0,0,0,0,0,0,0,0
"OTU846",0,0,0,0,0,0,0.000665409781523788,0.000444345700955343,0,0.000332299512627382,0,0.000333333333333333,0.00121910672725258,0.00154952960708356,0.000554508151269824,0.000553403431101273,0.000776053215077605,0.000443754160195252,0.00155176235867879,0.000221655768591378,0.00255356944598646,0.000443115099147003,0.000997561516293505,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0.000110766504209127,0.000110950848773993,0.000332409972299169,0,0.000110889332446219,0,0,0.000110705192073508,0,0,0,0.000775451423507256,0.00110987791342952,0.000553955240416574,0,0.000110717449069973,0.000886917960088692,0.000332446808510638,0.000444099034084601,0.000221557549573502,0.000665188470066519,0.000887705281846427,0,0.000442673749446658,0.000221926320461607,0.000111074086415639,0,0,0.000110741971207087,0.000221901697547986,0,0,0,0.000665409781523788,0.000553587245349867,0.000442771751162276,0,0.00099535500995355,0.000885151582208453,0.000221312382427797,0.000553771181747702,0.000996898537882144,0
"OTU46",0.0002220495170423,0.000443754160195252,0,0.000110778774786751,0,0.000332483652887066,0.00110901630253965,0.000666518551433015,0.000554508151269824,0.000332299512627382,0.000221680336954112,0.00122222222222222,0.00964202593372493,0.00309905921416713,0.00166352445380947,0.000442722744881018,0.000332594235033259,0.00310627912136676,0.00343604522278874,0.00188407403302671,0.00266459420450761,0.0200509582364019,0.000665041010862337,0.00532978014656895,0.00366137800954177,0.00757575757575758,0.00520199225235196,0.00955131052865393,0.00744858254585881,0.00888592691325114,0.00144156132180084,0.0033311125916056,0.00621255824273353,0.00421426194965066,0.000221704910763773,0.000443066016836509,0.000554754243869966,0.00332409972299169,0.000332078813371707,0.000776225327123531,0.000553832521045636,0.000443213296398892,0.000774936344514558,0.000332189126342598,0.000110692937790569,0.000443262411347518,0.000332336324360253,0.000221975582685905,0.000775537336583204,0,0.000442869796279894,0,0.000332446808510638,0.000333074275563451,0.000332336324360253,0,0.00033288948069241,0.000444000444000444,0.000664010624169987,0.000443852640923213,0.000555370432078196,0.00244498777506112,0.000444197667962243,0.000996677740863787,0.00443803395095973,0.000221729490022173,0.000333333333333333,0.000221803260507929,0.00465786847066652,0.00221434898139947,0.00332078813371707,0.00154798761609907,0.00099535500995355,0.00033193184332817,0,0.000443016945398161,0.00166149756313691,0.000221385875581138
"OTU53",0.0124347729543688,0.00543598846239183,0.0152993348115299,0.00686828403677855,0.00321614727736498,0.00642801728914995,0.00243983586558722,0.00833148189291269,0.0191859820339359,0.0024368630926008,0.019729549988916,0.00522222222222222,0.0171783220658318,0.00531267293857222,0.0108683597648885,0.00907581627006088,0.0143015521064302,0.0107610383847349,0.0159609842606961,0.00864457497506373,0.00888198068169202,0.0228204276060707,0.015739303923742,0.00033311125916056,0.00110950848773993,0.00189393939393939,0.000221361372440509,0.00266548200799645,0.00155642023346304,0.00222148172831278,0.000332667997338656,0.00233177881412392,0.00155313956068338,0.000554508151269824,0.0109743930828068,0.00487372618520159,0.00277377121934983,0.00609418282548476,0.00409563869825105,0.00487913062763362,0.00952591936198494,0.00886426592797784,0.0172700099634673,0.00431845864245377,0.00841266327208324,0.00387854609929078,0.000221557549573502,0.00155382907880133,0.00232661200974961,0.00266163912609515,0.00110717449069973,0.0016629711751663,0.00310283687943262,0.000777173309648051,0.000886230198294007,0.000443458980044346,0.0033288948069241,0.012987012987013,0.00708277999114653,0.00732356857523302,0.0102188159502388,0.00655701266948211,0.0159911160466408,0.0184939091915836,0.0183068900477089,0.0141906873614191,0.013,0.0108683597648885,0.00909393368082511,0.00476085031000886,0.00276732344476422,0.0181335692171605,0.00210130502101305,0.00354060632883381,0.00376231050127255,0.00265810167238897,0.0117412494461675,0.00298870932034536
"OTU116",0.000444099034084601,0,0.000110864745011086,0.000110778774786751,0,0,0,0.000777604976671851,0,0,0,0,0.000554139421478444,0,0,0.000110680686220255,0.000554323725055432,0.00144220102063457,0,0.000554139421478444,0.0002220495170423,0.000110778774786751,0.000110840168477056,0.000222074172773706,0,0,0.000442722744881018,0.000999555752998667,0,0.00211040764189715,0.000221778664892437,0.00210970464135021,0.00188595518082982,0.00221803260507929,0.000221704910763773,0.000886132033673017,0.000110950848773993,0,0.000110692937790569,0,0,0.00155124653739612,0,0,0,0.00110815602836879,0.000553893873933754,0.000443951165371809,0,0.000110901630253965,0,0,0.000110815602836879,0,0.000332336324360253,0.000110864745011086,0,0.000555000555000555,0.00210270030987162,0.00144252108300044,0.000888592691325114,0,0.000222098833981122,0,0.00133141018528792,0.000554323725055432,0,0.00121991793279361,0.000665409781523788,0.000775022143489814,0.000110692937790569,0.000221141088014153,0,0.00243416685107325,0,0.000443016945398161,0.00077536552946389,0.000664157626743414
