"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA"
"1215","OTU12548","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.018348623853211,0.027027027027027,0.0625,0,0,0.0566037735849057,0.0461538461538462,0,0,0,0,0,0.178571428571429,0,0.0357142857142857,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0.0377358490566038,0,0
"1244","OTU6175","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0214067278287462,0.027027027027027,0.0625,0,0.04,0.0377358490566038,0.0307692307692308,0.0333333333333333,0.0108108108108108,0.0434782608695652,0,0,0.0714285714285714,0,0.0714285714285714,0.0357142857142857,0,0,0.0454545454545455,0,0.021978021978022,0.0666666666666667,0,0.0112359550561798,0,0,0.05,0,0,0,0.0377358490566038,0,0
"1258","OTU2612","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.018348623853211,NA,NA,0,0.04,0,0,0.0111111111111111,0.0540540540540541,0,0,0,0,0,0,0,0,1,0,0,0.021978021978022,0,0,0,0,0,0,0,0,0,0,0,1
"1354","OTU788","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00917431192660551,NA,NA,0.0338983050847458,0,0.00943396226415094,0,0,0.00540540540540541,0,0.0588235294117647,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0.0112359550561798,0,0,0,0.0454545454545455,0,0,0,0.0952380952380952,0
"1385","OTU6557","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0122324159021407,0.027027027027027,0,0.00847457627118644,0.04,0.0566037735849057,0,0,0,0,0.0588235294117647,0,0,0,0.107142857142857,0,0.0588235294117647,0,0,0,0.010989010989011,0,0,0,0,0.0294117647058824,0,0,0,0,0.0188679245283019,0,0
"1441","OTU1050","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia","uncl_Daldinia",0.00458715596330275,NA,NA,0,0,0.00943396226415094,0.00769230769230769,0.0111111111111111,0,0,0.0588235294117647,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0
"1463","OTU1077","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia","uncl_Daldinia",0.00305810397553517,NA,NA,0,0,0.00943396226415094,0.00769230769230769,0,0,0,0.0588235294117647,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1514","OTU8266","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00305810397553517,NA,NA,0,0,0.00943396226415094,0.00769230769230769,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1555","OTU13","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0214067278287462,0.108108108108108,0.125,0,0,0.0943396226415094,0.0307692307692308,0,0,0,0.117647058823529,0,0.0714285714285714,0,0.0357142857142857,0,0,0,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,0.113207547169811,0,0
"1582","OTU585","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.0122324159021407,NA,NA,0.0254237288135593,0.08,0,0,0,0.0162162162162162,0,0,0,0,0,0,0,0,0,0,0,0.010989010989011,0,0,0.0112359550561798,0,0,0,0.136363636363636,0,0,0,0.142857142857143,0
