"","Domain","Sign","Phylum","Class","Order","Family","Genus","X1351_667"
"OTU29705","Bacteria","Specialists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","0.000331564986737401"
"OTU184","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncl_Caulobacteraceae","0.000442086648983201"
"OTU57515","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","uncl_Sphingomonadaceae","0.00320512820512821"
"OTU978","Bacteria","NS","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncl_Gemmatimonadaceae","0.000663129973474801"
"OTU3150","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp16","uncl_Acidobacteria_Gp16","uncl_Acidobacteria_Gp16","Gp16","0.000331564986737401"
"OTU376","Bacteria","Generalists","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola","0.000442086648983201"
"OTU35","Bacteria","Specialists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","0.00674182139699381"
"OTU4988","Bacteria","Generalists","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus","0.0002210433244916"
"OTU284","Bacteria","NS","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","uncl_Methylobacteriaceae","0.000994694960212202"
"OTU371","Bacteria","Generalists","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","uncl_Chitinophagaceae","0.0019893899204244"
"OTU11373","Bacteria","Generalists","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","0.000442086648983201"
"OTU172","Bacteria","NS","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","0.0001105216622458"
"OTU1697","Bacteria","Generalists","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","uncl_Polyangiaceae","0.000331564986737401"
"OTU81","Bacteria","Generalists","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","0.000331564986737401"
"OTU544","Bacteria","Generalists","Actinobacteria","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales","uncl_Solirubrobacterales","0.0001105216622458"
"OTU2819","Bacteria","Generalists","Planctomycetes","Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia","0.0001105216622458"
"OTU192","Bacteria","Generalists","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter","0.0001105216622458"
"OTU153","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Labrys","0.000663129973474801"
"OTU921","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","Gp3","0.0001105216622458"
"OTU15809","Bacteria","Generalists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lentzea","0.0012157382847038"
"OTU1477","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncl_Caulobacteraceae","0.0001105216622458"
"OTU691","Bacteria","Generalists","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","0.0002210433244916"
"OTU848","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp16","uncl_Acidobacteria_Gp16","uncl_Acidobacteria_Gp16","Gp16","0.0002210433244916"
"OTU1402","Bacteria","Generalists","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","uncl_Oxalobacteraceae","0.0012157382847038"
"OTU87","Bacteria","Generalists","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","uncl_Micromonosporaceae","0.0013262599469496"
"OTU44","Bacteria","Generalists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","0.0001105216622458"
"OTU1216","Bacteria","Generalists","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","WPS-1_genera_incertae_sedis","0.000663129973474801"
"OTU3931","Bacteria","Generalists","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Roseisolibacter","0.0001105216622458"
"OTU1782","Bacteria","Generalists","Actinobacteria","Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","0.0001105216622458"
"OTU7334","Bacteria","NS","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Modestobacter","0.0001105216622458"
"OTU750","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","0.000884173297966401"
"OTU435","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales","uncl_Rhizobiales","0.0012157382847038"
"OTU442","Bacteria","Generalists","Actinobacteria","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium","0.000552608311229001"
"OTU49620","Bacteria","Generalists","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","uncl_Gammaproteobacteria_incertae_sedis","Acidibacter","0.0001105216622458"
"OTU1050","Bacteria","Generalists","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis","0.0002210433244916"
"OTU19479","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga","0.000552608311229001"
"OTU8191","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales","uncl_Rhizobiales","0.000442086648983201"
"OTU97829","Bacteria","Generalists","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","uncl_Steroidobacteraceae","0.000663129973474801"
"OTU1711","Bacteria","Specialists","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","0.0001105216622458"
"OTU1995","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6","0.0001105216622458"
"OTU28925","Bacteria","Generalists","Actinobacteria","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales","uncl_Solirubrobacterales","0.000331564986737401"
"OTU253","Bacteria","Generalists","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","uncl_Fulvivirgaceae","0.000552608311229001"
"OTU399","Bacteria","Generalists","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","uncl_Polyangiaceae","0.000331564986737401"
"OTU72","Bacteria","Generalists","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","uncl_Polyangiaceae","0.0211096374889478"
"OTU289","Bacteria","Generalists","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","uncl_Blastocatellaceae","0.000331564986737401"
