"","Domain","Sign","Phylum","Class","Order","Family","Genus","X1351_1609","X1351_1610","X1351_1611","X1351_1600","X1351_1602","X1351_1604","X1351_1605","X1351_1606","X1351_1607","X1351_667"
"OTU7206","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","Gp4","0.0001105216622458","0","0","0","0","0","0","0","0","0"
"OTU4478","Bacteria","Generalists","Verrucomicrobia","Subdivision3","uncl_Subdivision3","uncl_Subdivision3","Subdivision3_genera_incertae_sedis","0","0","0","0","0","0","0","0.0001105216622458","0","0"
"OTU837","Bacteria","Generalists","Acidobacteria","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea","0.000663129973474801","0.0001105216622458","0","0","0","0","0","0","0","0"
"OTU8735","Bacteria","Generalists","Actinobacteria","Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","0.0001105216622458","0.0001105216622458","0","0.0001105216622458","0","0","0.0002210433244916","0.0001105216622458","0","0.0001105216622458"
"OTU4867","Bacteria","Generalists","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","uncl_Micrococcaceae","0","0.000994694960212202","0.0002210433244916","0","0.0002210433244916","0","0","0.0002210433244916","0","0"
"OTU88013","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6","0","0","0","0","0","0","0.0001105216622458","0.0001105216622458","0","0"
"OTU7114","Bacteria","Generalists","Actinobacteria","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales","uncl_Solirubrobacterales","0.0001105216622458","0","0","0.000552608311229001","0.0002210433244916","0.0001105216622458","0.0001105216622458","0","0.0002210433244916","0"
"OTU4456","Bacteria","Generalists","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","uncl_Polyangiaceae","0","0.0002210433244916","0","0","0","0","0","0.0001105216622458","0","0.0002210433244916"
"OTU7942","Bacteria","Specialists","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","uncl_Sphingomonadaceae","0.000442086648983201","0.000552608311229001","0.0012157382847038","0.000331564986737401","0.000442086648983201","0.002763041556145","0.000884173297966401","0.000331564986737401","0.0015473032714412","0.000773651635720601"
"OTU1799","Bacteria","Generalists","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","uncl_Chitinophagaceae","0","0.0001105216622458","0","0","0.0002210433244916","0","0","0","0","0"
"OTU1818","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales","uncl_Rhizobiales","0.0001105216622458","0","0.000331564986737401","0","0","0","0","0","0","0"
"OTU3055","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","uncl_Acetobacteraceae","0.000331564986737401","0.0002210433244916","0.000331564986737401","0.0002210433244916","0.000442086648983201","0.0002210433244916","0.0001105216622458","0.000331564986737401","0","0"
"OTU1605","Bacteria","Generalists","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncl_Comamonadaceae","0","0.0001105216622458","0","0","0","0","0.0001105216622458","0","0","0"
"OTU263","Bacteria","Generalists","Actinobacteria","Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","0","0","0.0001105216622458","0.000331564986737401","0.000331564986737401","0.000552608311229001","0.0019893899204244","0.000331564986737401","0.0019893899204244","0.0001105216622458"
"OTU1479","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp16","uncl_Acidobacteria_Gp16","uncl_Acidobacteria_Gp16","Gp16","0.0002210433244916","0","0.0002210433244916","0.0001105216622458","0.0001105216622458","0","0","0","0","0"
"OTU4346","Bacteria","Generalists","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","0","0","0.0001105216622458","0","0.0001105216622458","0","0","0","0","0"
"OTU12154","Bacteria","Generalists","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","0","0","0.0001105216622458","0","0","0","0","0.0001105216622458","0.0001105216622458","0"
"OTU2732","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Belnapia","0.000884173297966401","0.000663129973474801","0","0.000331564986737401","0.000442086648983201","0.000442086648983201","0.000773651635720601","0.000331564986737401","0","0.000331564986737401"
"OTU3564","Bacteria","Generalists","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","uncl_Gemmataceae","0.0002210433244916","0","0","0","0.0001105216622458","0","0","0","0","0"
"OTU32","Bacteria","Specialists","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga","0.0001105216622458","0","0.000663129973474801","0.0001105216622458","0","0.000884173297966401","0.0028735632183908","0","0.00508399646330681","0"
"OTU41446","Bacteria","Specialists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","uncl_Brucellaceae","0.001657824933687","0.0002210433244916","0","0.0002210433244916","0.0001105216622458","0.000331564986737401","0","0","0.0002210433244916","0.0012157382847038"
"OTU2145","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","uncl_Pleomorphomonadaceae","0","0","0","0","0.0001105216622458","0","0","0","0","0"
"OTU8719","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales","uncl_Rhizobiales","0","0","0.0001105216622458","0","0","0","0","0","0","0"
"OTU682","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","0.0001105216622458","0","0","0","0","0","0","0","0.0002210433244916","0"
"OTU1236","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","Gp3","0.0001105216622458","0","0","0","0","0","0","0","0","0"
"OTU3058","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncl_Caulobacteraceae","0.0001105216622458","0.0001105216622458","0.0001105216622458","0","0","0","0","0","0","0"
"OTU939","Bacteria","Generalists","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","WPS-1_genera_incertae_sedis","0.0001105216622458","0","0.0001105216622458","0","0.0002210433244916","0.0001105216622458","0","0","0","0"
"OTU89106","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella","0.0001105216622458","0.000331564986737401","0.000552608311229001","0.0002210433244916","0.0001105216622458","0.0001105216622458","0.0001105216622458","0.0001105216622458","0.0001105216622458","0"
"OTU36691","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","Gp4","0","0","0","0","0.0002210433244916","0.0001105216622458","0","0","0","0"
"OTU856","Bacteria","Generalists","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","0","0","0","0","0","0","0.0001105216622458","0","0","0"
"OTU18668","Bacteria","Generalists","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","0.0001105216622458","0","0","0","0.000552608311229001","0.0002210433244916","0","0","0","0.0001105216622458"
"OTU1051","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6","0","0","0","0","0","0","0","0.0001105216622458","0","0.0001105216622458"
"OTU687","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncl_Rhodospirillales","uncl_Rhodospirillales","0","0","0.0001105216622458","0","0","0.0013262599469496","0.000331564986737401","0.0001105216622458","0.0002210433244916","0"
"OTU8930","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","0","0.0001105216622458","0.0001105216622458","0","0","0.0001105216622458","0","0","0","0.0002210433244916"
"OTU3133","Bacteria","Generalists","Actinobacteria","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales","uncl_Solirubrobacterales","0","0","0","0","0","0","0.000442086648983201","0.0001105216622458","0.0002210433244916","0"
"OTU5280","Bacteria","Specialists","Acidobacteria","Acidobacteria_Gp10","uncl_Acidobacteria_Gp10","uncl_Acidobacteria_Gp10","Gp10","0.000663129973474801","0","0.0001105216622458","0","0","0","0","0.0001105216622458","0","0"
"OTU152","Bacteria","Specialists","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","0.000773651635720601","0.000442086648983201","0.0002210433244916","0","0.0002210433244916","0","0","0","0","0.00309460654288241"
"OTU6375","Bacteria","Specialists","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae","Longimicrobium","0","0","0","0","0","0","0","0","0","0.000994694960212202"
"OTU987","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","Gp3","0","0","0","0","0","0","0","0.0001105216622458","0","0"
"OTU22063","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncl_Rhodospirillaceae","0","0","0","0","0","0","0.0001105216622458","0","0","0"
"OTU25","Bacteria","Specialists","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","0","0.0012157382847038","0","0","0","0","0","0","0","0"
"OTU3421","Bacteria","Specialists","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","0","0","0","0","0","0","0","0.0001105216622458","0","0"
"OTU3820","Bacteria","Generalists","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","0.000552608311229001","0.000331564986737401","0.0002210433244916","0.000552608311229001","0.000663129973474801","0.0024314765694076","0.0018788682581786","0.000663129973474801","0.000773651635720601","0.000442086648983201"
"OTU353","Bacteria","Generalists","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","Ohtaekwangia","0","0","0.0002210433244916","0","0","0","0.00629973474801061","0.0002210433244916","0","0"
"OTU9654","Bacteria","Specialists","Gemmatimonadetes","uncl_Gemmatimonadetes","uncl_Gemmatimonadetes","uncl_Gemmatimonadetes","uncl_Gemmatimonadetes","0","0","0.000442086648983201","0","0","0","0","0","0","0"
"OTU197","Bacteria","Generalists","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","0","0","0","0","0","0","0.0001105216622458","0","0","0"
"OTU176","Bacteria","Generalists","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","0.0002210433244916","0.0012157382847038","0.00419982316534041","0","0.0001105216622458","0","0","0.000331564986737401","0","0.001105216622458"
"OTU5211","Bacteria","Generalists","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncl_Comamonadaceae","0","0","0","0","0","0","0","0","0.0001105216622458","0"
"OTU81400","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","uncl_Erythrobacteraceae","0","0.0002210433244916","0","0","0","0","0","0.0001105216622458","0","0.000331564986737401"
"OTU668","Bacteria","Generalists","Actinobacteria","Acidimicrobiia","uncl_Acidimicrobiia","uncl_Acidimicrobiia","uncl_Acidimicrobiia","0","0","0.0001105216622458","0.0001105216622458","0","0","0.000331564986737401","0","0.000331564986737401","0"
"OTU3025","Bacteria","Specialists","Actinobacteria","Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","0","0","0","0","0","0","0","0.0001105216622458","0","0"
"OTU3621","Bacteria","Generalists","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","0","0","0.0001105216622458","0","0","0","0","0","0","0"
