"","Domain","Sign","Phylum","Class","Order","Family","Genus","Species","SRR13801399","SRR13801186","SRR13801171","SRR13801400","SRR13801525","SRR13800997","SRR13801246","SRR13801475","SRR13801023","SRR13801012","SRR13801398","SRR13801333","SRR13801401","SRR13801146","SRR13801135","SRR13801476","SRR13801546","SRR13801070","SRR13801059","SRR13801489","SRR13801478","SRR13801335","SRR13801330","SRR13801329","SRR13801328","SRR13801279","SRR13801282","SRR13801277","SRR13801276","SRR13801274","SRR13801207","SRR13801203","SRR13801202","SRR13801200","SRR13801105","SRR13800981","SRR13800980","SRR13800978","SRR13800935","SRR13800930","SRR13800929","SRR13800928","SRR13800926","SRR13800925","SRR13800924","SRR13801157","SRR13801153","SRR13801152","SRR13801373","SRR13801372","SRR13801371","SRR13801410","SRR13801409","SRR13801408","SRR13801407","SRR13800940","SRR13800938","SRR13800937","SRR13800936","SRR13801151","SRR13801150","SRR13801149","SRR13801147","SRR13801145","SRR13801375","SRR13801445","SRR13801444","SRR13801441","SRR13801499","SRR13801054","SRR13801053","SRR13801051","SRR13801050","SRR13801049","SRR13801549"
"OTU1273","Fungi","Specialists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.0117635429023329","0","0.015717674970344","0.00108738631870304","0.00029655990510083","0","0","0.0972716488730724","0","0.0160142348754448","0.0114669829972321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0275800711743772","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU3638","Fungi","NS","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","uncl_Cladophialophora","0.00197706603400554","0.00790826413602214","0.00138394622380388","0.00306445235270858","0.000395413206801107","0.00474495848161329","9.88533017002768e-05","0.00187821273230526","0.0180901542111507","0.00207591933570581","0.000395413206801107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.88533017002768e-05","0","0","0","0","0","0","0","0","0","0","0","0","9.88533017002768e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU1894","Fungi","Specialists","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","0.0355871886120996","0.00464610517991301","0","0","9.88533017002768e-05","0","0.000889679715302491","0","0","0.00029655990510083","9.88533017002768e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000197706603400554","0","0","0","0","0"
"OTU67","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","0.00375642546461052","0.0025701858442072","0.00029655990510083","0.0106761565836299","0.00860023724792408","0.00662317121391854","0.00237247924080664","0.00533807829181495","0.0141360221431396","0.00504151838671412","0.0143337287465401","0.00336101225780941","0","0","0.00375642546461052","0.000691973111901938","0","0.000197706603400554","0","0.000395413206801107","0.000395413206801107","0.0134440490312376","0.0134440490312376","0.00741399762752076","0.00820482404112297","0","0.00118623962040332","0","0","0","0","0.000395413206801107","0","9.88533017002768e-05","9.88533017002768e-05","0","0","0","0.0141360221431396","0.0202649268485567","0.00573349149861605","0.00691973111901938","0.0181890075128509","0.0153222617635429","0.0134440490312376","9.88533017002768e-05","0","0","0.000494266508501384","0.000889679715302491","0","0","0","0","0","0.00029655990510083","9.88533017002768e-05","0.00029655990510083","0","9.88533017002768e-05","0.00108738631870304","9.88533017002768e-05","0.000593119810201661","0","0","0.000197706603400554","0.0170027678924476","0.000790826413602214","0.011071569790431","0.00217477263740609","0.00365757216291024","0.00603005140371688","0.00177935943060498","0.00276789244760775","0"
"OTU6679","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","0.0170027678924476","0.0151245551601423","0.00385527876631079","0.0505140371688414","0.0428034796362199","0.0328192961644919","0.0134440490312376","0.0277777777777778","0.0560498220640569","0.0329181494661922","0.0688018979833926","0.0223408461842626","0","0","9.88533017002768e-05","0","0.000197706603400554","0","0.000988533017002768","0.000395413206801107","9.88533017002768e-05","0.0592131277184658","0.0530842230130486","0.0340055357848952","0.0356860419137999","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0540727560300514","0.0651443258204824","0.0227362593910637","0.0306445235270858","0.0629695531830763","0.0544681692368525","0.0474495848161329","0","9.88533017002768e-05","0.000790826413602214","0","0.000197706603400554","0","0.00612890470541716","0.0025701858442072","0.00771055753262159","0.0133451957295374","0.00800711743772242","0.00029655990510083","0.000691973111901938","0.00177935943060498","0.000988533017002768","0.00177935943060498","0.00306445235270858","0.00326215895610913","0.000691973111901938","0","0","0","0.000889679715302491","0.0421115065243179","0.011071569790431","0.0226374060893634","0.0278766310794781","0.00741399762752076","0.0134440490312376","0"
"OTU2407","Fungi","NS","Ascomycota","Eurotiomycetes","Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales","0.000494266508501384","0.00217477263740609","0","9.88533017002768e-05","0","9.88533017002768e-05","0","0","0.000197706603400554","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00029655990510083","0","9.88533017002768e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU102","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0.00276789244760775","0.00187821273230526","0.000395413206801107","0.00494266508501384","0.00326215895610913","0.00217477263740609","0.000395413206801107","0.0042506919731119","0.0116646896006327","0.00336101225780941","0.00612890470541716","0.00276789244760775","0.0133451957295374","0.00118623962040332","0.00899565045472519","0","0","0","0","0","0","0.0068208778173191","0.00988533017002768","0.00395413206801107","0.00355871886120996","0","0","0","0","0","0.00247133254250692","0","0.00909450375642546","0.000197706603400554","0","0.00168050612890471","0","0","0.0100830367734282","0.00948991696322657","0.00207591933570581","0.00345986555950969","0.0085013839462238","0.00622775800711744","0.00514037168841439","0.00197706603400554","0","0","0.000494266508501384","0.000790826413602214","0.00118623962040332","0","0","0","0.00444839857651246","0.00691973111901938","0.00029655990510083","0","0.00721629102412021","0.00029655990510083","0.00563463819691578","9.88533017002768e-05","0.00227362593910637","9.88533017002768e-05","0.00464610517991301","0.0189798339264531","0.00721629102412021","0.00177935943060498","0.00434954527481218","0.00029655990510083","0.00168050612890471","0.00197706603400554","0.000593119810201661","0.000691973111901938","0"
"OTU75","Fungi","Generalists","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales","0.00345986555950969","0","0","0","0.00138394622380388","0","9.88533017002768e-05","0","0","0.00029655990510083","0","0","0","0","0.00247133254250692","0.354487939897193","0","0.191577698695136","0.00197706603400554","0.00306445235270858","0.0206603400553578","0","0.000197706603400554","0.00869909054962436","0","0","9.88533017002768e-05","0","0","0.000889679715302491","0.0012850929221036","9.88533017002768e-05","9.88533017002768e-05","0","0","0","0","0","0","0.0029655990510083","0","0.00187821273230526","0","0","0","0.000593119810201661","0","0","0","0.00316330565440886","0","0","0","0","0","0.000395413206801107","9.88533017002768e-05","0","0","0","0","0.00029655990510083","0.000197706603400554","0","0.000494266508501384","0.000197706603400554","0","0.000889679715302491","9.88533017002768e-05","9.88533017002768e-05","0.00168050612890471","0","0","0","0.0055357848952155"
"OTU5","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","uncl_Periconia","0.0172004744958482","0.0129497825227363","0.00603005140371688","0.054270462633452","0.033214709371293","0.0124555160142349","0.0103795966785291","0.0337089758797944","0.0783906682483195","0.0718663503361012","0.0636615262949782","0.0134440490312376","0","0.0012850929221036","0.000395413206801107","0","0.000197706603400554","0.00879794385132463","9.88533017002768e-05","0.000494266508501384","0","0.0452748121787268","0.0548635824436536","0.0227362593910637","0.0201660735468565","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0362791617240016","0.0691973111901937","0.013938315539739","0.0196718070383551","0.0733491498616054","0.042506919731119","0.0390470541716093","0.00345986555950969","9.88533017002768e-05","0.000988533017002768","0.00108738631870304","0.00187821273230526","0.00138394622380388","0","0","0","9.88533017002768e-05","9.88533017002768e-05","9.88533017002768e-05","0","9.88533017002768e-05","0","0","0","0.0307433768287861","0.00207591933570581","0","0","9.88533017002768e-05","0","0.022143139580862","0.0055357848952155","0.0152234084618426","0.0106761565836299","0.00474495848161329","0.00504151838671412","0"
"OTU12","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","0.0170027678924476","0.0130486358244365","0.0029655990510083","0.0444839857651246","0.036081455120601","0.0247133254250692","0.0123566627125346","0.0199683669434559","0.0486358244365362","0.0282720442862792","0.0506128904705417","0.0168050612890471","0.0400355871886121","0.00168050612890471","0.00217477263740609","0.02500988533017","0","0","0.00464610517991301","0","0","0.0520956899960459","0.0510083036773428","0.0295571372083828","0.0307433768287861","9.88533017002768e-05","0.242586002372479","0","9.88533017002768e-05","0","0","0","0.00385527876631079","0","0","0","0","0.00029655990510083","0.049624357453539","0.0556544088572558","0.0184855674179518","0.0278766310794781","0.0555555555555556","0.0526888098062475","0.0420126532226176","0","0","9.88533017002768e-05","9.88533017002768e-05","0","0","0","0","0.000197706603400554","0.00642546461051799","0.00523922499011467","0.000988533017002768","0.00494266508501384","0.000790826413602214","0.00177935943060498","0","0.00286674574930803","0","0","0","0","0","0.000197706603400554","0.0344998022933966","0.0104784499802293","0.0194741004349545","0.0258007117437722","0.00780941083432187","0.0118623962040332","0"
