"","Taxa","Occurrence","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU6119","OTU6119",0.0434782608695652,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","uncl_Mycosphaerellales","uncl_Mycosphaerellales",NA
"OTU967","OTU967",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Athelia",NA
"OTU4123","OTU4123",0.0543478260869565,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","uncl_Cladosporiaceae",NA
"OTU4624","OTU4624",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Microthyriales","uncl_Microthyriales","uncl_Microthyriales",NA
"OTU4563","OTU4563",0.0217391304347826,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Karstenia",NA
"OTU2637","OTU2637",0.0760869565217391,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Genolevuria",NA
"OTU5912","OTU5912",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Arrhenia",NA
"OTU3580","OTU3580",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Nectriella",NA
"OTU3208","OTU3208",0.16304347826087,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","uncl_Orbiliales","uncl_Orbiliales",NA
"OTU1828","OTU1828",0.0543478260869565,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Lapidomyces",NA
"OTU2832","OTU2832",0.108695652173913,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","uncl_Tremellales","uncl_Tremellales",NA
"OTU1319","OTU1319",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",NA
"OTU1385","OTU1385",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","uncl_Teratosphaeriaceae",NA
"OTU3296","OTU3296",0.0108695652173913,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Pezicula",NA
"OTU4904","OTU4904",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Calvatia",NA
"OTU6999","OTU6999",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Niesslia",NA
"OTU42","OTU42",0.0543478260869565,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","uncl_Polyporaceae",NA
"OTU4005","OTU4005",0.0978260869565217,"Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","uncl_Botryosphaeriaceae",NA
"OTU1231","OTU1231",0.608695652173913,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"OTU150","OTU150",0.304347826086957,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","uncl_Hyaloscyphaceae",NA
"OTU208","OTU208",0.108695652173913,"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","uncl_Tubeufiales","uncl_Tubeufiales",NA
"OTU1033","OTU1033",0.0652173913043478,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Poaceascoma",NA
"OTU7039","OTU7039",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Deconica",NA
"OTU630","OTU630",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA
"OTU2325","OTU2325",0.0978260869565217,"Fungi","Ascomycota","Orbiliomycetes","uncl_Orbiliomycetes","uncl_Orbiliomycetes","uncl_Orbiliomycetes",NA
"OTU3582","OTU3582",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA
"OTU378","OTU378",0.41304347826087,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","uncl_Strophariaceae",NA
"OTU1264","OTU1264",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena",NA
"OTU1107","OTU1107",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Phallales","Phallaceae","uncl_Phallaceae",NA
"OTU5613","OTU5613",0.271739130434783,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea",NA
"OTU6240","OTU6240",0.0326086956521739,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",NA
"OTU12581","OTU12581",0.0217391304347826,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Phaeotremellaceae","Gelidatrema",NA
"OTU2288","OTU2288",0.0434782608695652,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Aaosphaeria",NA
"OTU1151","OTU1151",0.0217391304347826,"Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","uncl_Cunninghamellaceae",NA
"OTU2498","OTU2498",0.0869565217391304,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium",NA
"OTU217","OTU217",0.228260869565217,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis",NA
"OTU7452","OTU7452",0.271739130434783,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus",NA
"OTU481","OTU481",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","uncl_Auriculariales_fam_Incertae_sedis",NA
"OTU1416","OTU1416",0.0108695652173913,"Fungi","Basidiomycota","Cystobasidiomycetes","Sakaguchiales","uncl_Sakaguchiales","uncl_Sakaguchiales",NA
"OTU5589","OTU5589",0.0760869565217391,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pleospora",NA
"OTU5609","OTU5609",0.0434782608695652,"Fungi","Basidiomycota","Cystobasidiomycetes","uncl_Cystobasidiomycetes","uncl_Cystobasidiomycetes","uncl_Cystobasidiomycetes",NA
"OTU8392","OTU8392",0.0108695652173913,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Gomphillaceae","Corticifraga",NA
"OTU9097","OTU9097",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora",NA
"OTU511","OTU511",0.130434782608696,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Oliveonia",NA
"OTU5378","OTU5378",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","uncl_Dothideomycetes_ord_Incertae_sedis","uncl_Dothideomycetes_ord_Incertae_sedis",NA
"OTU722","OTU722",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Agrocybe",NA
"OTU11642","OTU11642",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Paradictyoarthriniaceae","uncl_Paradictyoarthriniaceae",NA
"OTU4916","OTU4916",0.0326086956521739,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","uncl_Neodevriesiaceae",NA
"OTU161","OTU161",0.0652173913043478,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Striaticonidium",NA
"OTU4482","OTU4482",0.0869565217391304,"Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis",NA
"OTU10225","OTU10225",0.0108695652173913,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","Powellomyces",NA
"OTU329","OTU329",0.434782608695652,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","uncl_Chaetomiaceae",NA
"OTU751","OTU751",0.108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola",NA
"OTU6675","OTU6675",0.0217391304347826,"Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia",NA
"OTU8275","OTU8275",0.0108695652173913,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Ploettnerulaceae","uncl_Ploettnerulaceae",NA
"OTU952","OTU952",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Tremellodendropsidales","uncl_Tremellodendropsidales","uncl_Tremellodendropsidales",NA
"OTU1120","OTU1120",0.510869565217391,"Fungi","Basidiomycota","uncl_Basidiomycota","uncl_Basidiomycota","uncl_Basidiomycota","uncl_Basidiomycota",NA
"OTU5995","OTU5995",0.0434782608695652,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cuniculitremaceae","uncl_Cuniculitremaceae",NA
"OTU1392","OTU1392",0.0760869565217391,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Eremiomyces",NA
"OTU3383","OTU3383",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Helminthosphaeriaceae","uncl_Helminthosphaeriaceae",NA
"OTU8077","OTU8077",0.0217391304347826,"Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","uncl_Rhizophlyctidales","uncl_Rhizophlyctidales",NA
"OTU9753","OTU9753",0.0108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae","Teichospora",NA
"OTU1145","OTU1145",0.108695652173913,"Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","uncl_Magnaporthaceae",NA
"OTU474","OTU474",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","uncl_Hygrophoraceae",NA
"OTU6330","OTU6330",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Junewangiaceae","uncl_Junewangiaceae",NA
"OTU2134","OTU2134",0.304347826086957,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Kamienskia",NA
"OTU8989","OTU8989",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Boletales","uncl_Boletales","uncl_Boletales",NA
"OTU203","OTU203",0.130434782608696,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","uncl_Lasiosphaeriaceae",NA
"OTU4534","OTU4534",0.217391304347826,"Fungi","Mucoromycota","Mortierellomycetes","uncl_Mortierellomycetes","uncl_Mortierellomycetes","uncl_Mortierellomycetes",NA
"OTU2207","OTU2207",0.0108695652173913,"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",NA
"OTU11436","OTU11436",0.0108695652173913,"Fungi","Basidiomycota","Ustilaginomycetes","uncl_Ustilaginomycetes","uncl_Ustilaginomycetes","uncl_Ustilaginomycetes",NA
"OTU707","OTU707",0.119565217391304,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",NA
"OTU5826","OTU5826",0.0217391304347826,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia",NA
"OTU3674","OTU3674",0.0543478260869565,"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Lecythophora",NA
"OTU1040","OTU1040",0.228260869565217,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","uncl_Onygenales","uncl_Onygenales",NA
"OTU4297","OTU4297",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Physalacria",NA
"OTU218","OTU218",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius",NA
"OTU2958","OTU2958",0.0217391304347826,"Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium",NA
"OTU7003","OTU7003",0.0108695652173913,"Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon",NA
"OTU730","OTU730",0.152173913043478,"Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Magnaporthe",NA
"OTU258","OTU258",0.0652173913043478,"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta",NA
"OTU1182","OTU1182",0.108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Johnalcornia",NA
"OTU2149","OTU2149",0.0217391304347826,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Wojnowiciella",NA
"OTU185","OTU185",0.0108695652173913,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Niaceae","uncl_Niaceae",NA
"OTU1597","OTU1597",0.619565217391304,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","uncl_Glomerales","uncl_Glomerales",NA
"OTU1550","OTU1550",0.0652173913043478,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA
"OTU86","OTU86",0.478260869565217,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","uncl_Ceratobasidiaceae",NA
"OTU7129","OTU7129",0.0217391304347826,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium",NA
"OTU8659","OTU8659",0.217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA
"OTU2678","OTU2678",0.0108695652173913,"Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","uncl_Atractiellales","uncl_Atractiellales",NA
"OTU2600","OTU2600",0.0434782608695652,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","uncl_Ostropales","uncl_Ostropales",NA
"OTU2255","OTU2255",0.0652173913043478,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","uncl_Pyronemataceae",NA
"OTU735","OTU735",0.478260869565217,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","uncl_Capnodiales","uncl_Capnodiales",NA
"OTU7017","OTU7017",0.0217391304347826,"Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","uncl_Rhizophlyctidaceae",NA
"OTU8150","OTU8150",0.0108695652173913,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Bullera",NA
"OTU782","OTU782",0.195652173913043,"Fungi","Ascomycota","Pezizomycetes","Pezizales","uncl_Pezizales","uncl_Pezizales",NA
"OTU3053","OTU3053",0.0326086956521739,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces",NA
"OTU2000","OTU2000",0.0217391304347826,"Fungi","Ascomycota","Saccharomycetes","uncl_Saccharomycetes","uncl_Saccharomycetes","uncl_Saccharomycetes",NA
"OTU3860","OTU3860",0.0869565217391304,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Westerdykella",NA
"OTU1010","OTU1010",0.0217391304347826,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","uncl_Bionectriaceae",NA
"OTU6102","OTU6102",0.0652173913043478,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","uncl_Eurotiales","uncl_Eurotiales",NA
"OTU1050","OTU1050",0.0217391304347826,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia",NA
"OTU3022","OTU3022",0.0326086956521739,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA
"OTU104","OTU104",0.0652173913043478,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","uncl_Auriculariaceae",NA
"OTU2553","OTU2553",0.0434782608695652,"Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","uncl_Botryosphaeriales","uncl_Botryosphaeriales",NA
"OTU7906","OTU7906",0.0217391304347826,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Sclerostagonospora",NA
