"","Taxa","Occurrence","Domain","Phylum","Class","Order","Family","Genus"
"OTU1292","OTU1292",0.476744186046512,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus"
"OTU699","OTU699",0.988372093023256,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas/Armatimonadetes_gp1"
"OTU3803","OTU3803",0.22093023255814,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncl_Verrucomicrobiae","uncl_Verrucomicrobiae","uncl_Verrucomicrobiae"
"OTU1962","OTU1962",0.104651162790698,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Actinopolymorphaceae","uncl_Actinopolymorphaceae"
"OTU16120","OTU16120",0.465116279069767,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae","Labilithrix"
"OTU377","OTU377",0.174418604651163,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"OTU4059","OTU4059",0.22093023255814,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium"
"OTU199","OTU199",0.174418604651163,"Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Edaphobacter"
"OTU2001","OTU2001",0.325581395348837,"Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Herpetosiphonaceae","Herpetosiphon"
"OTU1650","OTU1650",0.162790697674419,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Actinopolymorphaceae","Tenggerimyces"
"OTU1233","OTU1233",0.0465116279069767,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter"
"OTU4042","OTU4042",0.0813953488372093,"Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Gordoniaceae","Gordonia"
"OTU707","OTU707",0.0232558139534884,"Bacteria","Actinobacteria","Actinobacteria","Catenulisporales","Actinospicaceae","Actinocrinis"
"OTU11046","OTU11046",0.0813953488372093,"Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","uncl_Bacteriovoracales","uncl_Bacteriovoracales"
"OTU73830","OTU73830",0.162790697674419,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"OTU826","OTU826",0.616279069767442,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","uncl_Gaiellaceae"
"OTU11991","OTU11991",0.0930232558139535,"Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","uncl_Abditibacteriales","uncl_Abditibacteriales"
"OTU416","OTU416",0.0116279069767442,"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta"
"OTU4117","OTU4117",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"OTU4631","OTU4631",0.116279069767442,"Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax"
"OTU2897","OTU2897",0.151162790697674,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Rhizocola"
"OTU454","OTU454",0.918604651162791,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","uncl_Rhodanobacteraceae"
"OTU15930","OTU15930",0.0232558139534884,"Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","uncl_Trueperaceae"
"OTU5657","OTU5657",0.0465116279069767,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catelliglobosispora"
"OTU8856","OTU8856",0.0697674418604651,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","uncl_Rhodobacterales","uncl_Rhodobacterales"
"OTU162","OTU162",0.430232558139535,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","uncl_Armatimonadaceae"
"OTU485","OTU485",0.0116279069767442,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodomicrobium"
"OTU4086","OTU4086",0.244186046511628,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"OTU10708","OTU10708",0.0930232558139535,"Bacteria","Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota"
"OTU22089","OTU22089",0.0116279069767442,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Rufibacter"
"OTU15114","OTU15114",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Thermomonospora"
"OTU93","OTU93",0.593023255813954,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella"
"OTU3534","OTU3534",0.0348837209302326,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"OTU534","OTU534",0.511627906976744,"Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","uncl_Chthonomonadales","uncl_Chthonomonadales"
"OTU115","OTU115",0.406976744186047,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia"
"OTU140","OTU140",0.325581395348837,"Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Terriglobus"
"OTU2221","OTU2221",0.581395348837209,"Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","uncl_Thermomonosporaceae"
"OTU1514","OTU1514",0.383720930232558,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Parafilimonas"
"OTU1069","OTU1069",0.22093023255814,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella"
"OTU1266","OTU1266",0.569767441860465,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium"
"OTU247","OTU247",0.0348837209302326,"Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","uncl_Acholeplasmatales","uncl_Acholeplasmatales"
"OTU4901","OTU4901",0.0232558139534884,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter"
"OTU3425","OTU3425",0.116279069767442,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Aetherobacter"
