"","Taxa","Occurrence","Domain","Phylum","Class","Order","Family","Genus"
"OTU3678","OTU3678",0.0581395348837209,"Bacteria","Acidobacteria","Acidobacteria_Gp18","uncl_Acidobacteria_Gp18","uncl_Acidobacteria_Gp18","Gp18"
"OTU43829","OTU43829",0.0232558139534884,"Bacteria","Chlamydiae","Chlamydiia","uncl_Chlamydiia","uncl_Chlamydiia","uncl_Chlamydiia"
"OTU5942","OTU5942",0.290697674418605,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella"
"OTU5611","OTU5611",0.0116279069767442,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","uncl_Lachnospiraceae"
"OTU2218","OTU2218",0.0116279069767442,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavihumibacter"
"OTU2016","OTU2016",0.0581395348837209,"Bacteria","Armatimonadetes","Fimbriimonadia","uncl_Fimbriimonadia","uncl_Fimbriimonadia","uncl_Fimbriimonadia"
"OTU50871","OTU50871",0.0232558139534884,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","uncl_Clostridiaceae_1"
"OTU7765","OTU7765",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella"
"OTU8344","OTU8344",0.0232558139534884,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa"
"OTU2521","OTU2521",0.0232558139534884,"Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae_1","Risungbinella"
"OTU5513","OTU5513",0.0116279069767442,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Filimonas"
"OTU12089","OTU12089",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","Solimonas"
"OTU48363","OTU48363",0.0232558139534884,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium"
"OTU10491","OTU10491",0.0116279069767442,"Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_IV","GpIV"
"OTU1718","OTU1718",0.0930232558139535,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Vampirovibrio"
"OTU15099","OTU15099",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","Panacagrimonas"
"OTU12343","OTU12343",0.0116279069767442,"Bacteria","Firmicutes","Bacilli","uncl_Bacilli","uncl_Bacilli","uncl_Bacilli"
"OTU34710","OTU34710",0.0116279069767442,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","uncl_Prevotellaceae"
"OTU36220","OTU36220",0.0232558139534884,"Bacteria","Chlamydiae","uncl_Chlamydiae","uncl_Chlamydiae","uncl_Chlamydiae","uncl_Chlamydiae"
"OTU8675","OTU8675",0.0116279069767442,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","uncl_Desulfovibrionales","uncl_Desulfovibrionales"
"OTU11814","OTU11814",0.0348837209302326,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Oceanobacillus"
"OTU16363","OTU16363",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter"
"OTU6850","OTU6850",0.0232558139534884,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","uncl_Anaerolineales","uncl_Anaerolineales"
"OTU2010","OTU2010",0.0348837209302326,"Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","uncl_Acidiferrobacterales","uncl_Acidiferrobacterales"
"OTU4991","OTU4991",0.0116279069767442,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Saccharibacillus"
"OTU7545","OTU7545",0.0116279069767442,"Bacteria","Rhodothermaeota","uncl_Rhodothermaeota","uncl_Rhodothermaeota","uncl_Rhodothermaeota","uncl_Rhodothermaeota"
"OTU13763","OTU13763",0.0813953488372093,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","uncl_Legionellales","uncl_Legionellales"
"OTU21420","OTU21420",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Pseudokineococcus"
"OTU50199","OTU50199",0.0116279069767442,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","uncl_Bacillaceae_2"
"OTU7687","OTU7687",0.395348837209302,"Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1"
"OTU27336","OTU27336",0.0116279069767442,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Nibrella"
"OTU11515","OTU11515",0.302325581395349,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"OTU58595","OTU58595",0.0232558139534884,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","uncl_Pseudonocardiales","uncl_Pseudonocardiales"
"OTU24234","OTU24234",0.0232558139534884,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncl_Rickettsiales","uncl_Rickettsiales"
"OTU72214","OTU72214",0.0116279069767442,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"OTU13811","OTU13811",0.0232558139534884,"Bacteria","Firmicutes","Clostridia","Clostridiales","uncl_Clostridiales","uncl_Clostridiales"
"OTU1450","OTU1450",0.0930232558139535,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","uncl_Burkholderiaceae"
"OTU5788","OTU5788",0.0813953488372093,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","uncl_Paenibacillaceae_1"
"OTU17871","OTU17871",0.0116279069767442,"Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"OTU22617","OTU22617",0.0116279069767442,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"OTU37983","OTU37983",0.0697674418604651,"Bacteria","Tenericutes","Mollicutes","uncl_Mollicutes","uncl_Mollicutes","uncl_Mollicutes"
"OTU15604","OTU15604",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Prauserella"
"OTU50152","OTU50152",0.0116279069767442,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter"
"OTU8362","OTU8362",0.0116279069767442,"Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Sterolibacteriaceae","Georgfuchsia"
"OTU5384","OTU5384",0.0465116279069767,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium"
"OTU8004","OTU8004",0.0232558139534884,"Bacteria","Proteobacteria","Oligoflexia","uncl_Oligoflexia","uncl_Oligoflexia","uncl_Oligoflexia"
"OTU18191","OTU18191",0.0348837209302326,"Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I","GpI"
"OTU24540","OTU24540",0.0232558139534884,"Bacteria","Armatimonadetes","Chthonomonadetes","uncl_Chthonomonadetes","uncl_Chthonomonadetes","uncl_Chthonomonadetes"
"OTU13691","OTU13691",0.0116279069767442,"Bacteria","Acidobacteria","Acidobacteria_Gp13","uncl_Acidobacteria_Gp13","uncl_Acidobacteria_Gp13","Gp13"
"OTU69283","OTU69283",0.0116279069767442,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Anaerococcus"
"OTU15925","OTU15925",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","uncl_Moraxellaceae"
"OTU56672","OTU56672",0.0116279069767442,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"OTU3437","OTU3437",0.0232558139534884,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","uncl_Zoogloeaceae"
"OTU18560","OTU18560",0.0116279069767442,"Bacteria","SR1","uncl_SR1","uncl_SR1","uncl_SR1","SR1_genera_incertae_sedis"
"OTU51637","OTU51637",0.0116279069767442,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"OTU19851","OTU19851",0.0116279069767442,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Tellurirhabdus"
"OTU43168","OTU43168",0.0116279069767442,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Siphonobacter"
"OTU79773","OTU79773",0.0116279069767442,"Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_V","uncl_Family_V"
"OTU3000","OTU3000",0.0116279069767442,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Pullulanibacillus"
"OTU63086","OTU63086",0.0116279069767442,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"OTU14137","OTU14137",0.0930232558139535,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Dictyobacteraceae","Dictyobacter"
"OTU33760","OTU33760",0.0116279069767442,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Brumimicrobium"
"OTU16074","OTU16074",0.0232558139534884,"Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I","uncl_Family_I"
"OTU10006","OTU10006",0.0116279069767442,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"OTU87466","OTU87466",0.104651162790698,"Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","uncl_Parachlamydiaceae"
"OTU40947","OTU40947",0.0116279069767442,"Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_V","GpV"
"OTU21730","OTU21730",0.0116279069767442,"Bacteria","candidate_division_WPS-2","uncl_candidate_division_WPS-2","uncl_candidate_division_WPS-2","uncl_candidate_division_WPS-2","uncl_candidate_division_WPS-2"
"OTU16244","OTU16244",0.0348837209302326,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","uncl_Ruminococcaceae"
"OTU23187","OTU23187",0.0116279069767442,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Arcticibacter"
