"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU3562",9,9.11,6,12,"NS"
"OTU16864",19,19.638,15,24,"NS"
"OTU1032",37,20.266,16,25,"Generalists"
"OTU21924",20,12.084,8.475,16,"Generalists"
"OTU14213",13,8.894,6,11.525,"Generalists"
"OTU8753",7,7.258,5,9,"NS"
"OTU359",28,36.046,30,42,"Specialists"
"OTU298",40,53.328,47,59,"Specialists"
"OTU727",44,33.274,28,39,"Generalists"
"OTU18235",7,7.62,5,10,"NS"
"OTU5956",9,8.528,6,11,"NS"
"OTU14511",23,14.946,11,19,"Generalists"
"OTU5449",13,10.83,8,14,"NS"
"OTU432",22,20.44,16,25,"NS"
"OTU4033",8,7.69,5,10,"NS"
"OTU11095",10,8.876,6,12,"NS"
"OTU206",66,51.72,46,58,"Generalists"
"OTU57718",2,1.908,1,2,"NS"
"OTU13930",6,4.684,3,6,"NS"
"OTU5395",6,4.688,3,6,"NS"
"OTU1660",27,22.66,18,28,"NS"
"OTU461",44,35.818,30,42,"Generalists"
"OTU6535",5,4.646,3,6,"NS"
"OTU17915",22,13.3,10,17,"Generalists"
"OTU1367",8,12.404,9,16,"Specialists"
"OTU3789",29,19.306,15,24,"Generalists"
"OTU9355",4,4.016,3,5,"NS"
"OTU762",24,22.056,18,27,"NS"
"OTU29034",24,27.448,22,33,"NS"
"OTU1397",43,25.608,20,31,"Generalists"
"OTU8637",3,2.676,2,3,"NS"
"OTU1609",22,24.07,19,29,"NS"
"OTU829",13,9.58,7,12.525,"Generalists"
"OTU2256",30,25.454,20,31,"NS"
"OTU4679",2,1.89,1,2,"NS"
"OTU2569",11,10.526,8,14,"NS"
"OTU5895",3,2.694,2,3,"NS"
"OTU23248",14,10.014,7,13,"Generalists"
"OTU1590",33,27.692,23,33,"NS"
"OTU780",20,16.428,12,21,"NS"
"OTU12661",9,10.808,8,14,"NS"
"OTU3226",9,6.428,4,8,"Generalists"
"OTU4417",6,11.49,8,15,"Specialists"
"OTU10734",3,3.364,2,4,"NS"
"OTU4435",24,14.888,11,19,"Generalists"
"OTU2110",18,13.968,11,17.525,"Generalists"
"OTU3726",10,7.26,5,9.52499999999998,"Generalists"
"OTU286",25,33.346,27.475,39,"Specialists"
"OTU6015",6,8.42,6,11,"NS"
"OTU8241",9,9.518,7,12,"NS"
"OTU23720",8,10.244,7,13,"NS"
"OTU1214",7,17.93,14,22,"Specialists"
"OTU1689",39,32.034,27,38,"Generalists"
"OTU456",54,31.232,26,37,"Generalists"
"OTU4209",3,2.656,2,3,"NS"
"OTU3296",19,11.488,8,15,"Generalists"
"OTU14335",4,4.002,2,5,"NS"
"OTU2658",17,15.768,12,20,"NS"
"OTU10501",5,4.126,2,5,"NS"
"OTU3244",12,15.154,11,19,"NS"
"OTU7840",2,3.438,2,4,"NS"
"OTU476",37,35.682,30,41,"NS"
"OTU6720",2,1.886,1,2,"NS"
"OTU2153",9,17.614,14,22,"Specialists"
"OTU4253",5,5.82,4,8,"NS"
"OTU43173",18,16.266,12,20,"NS"
"OTU741",8,9.568,7,13,"NS"
"OTU13492",3,3.41,2,4,"NS"
"OTU12418",18,13.458,10,17,"Generalists"
"OTU219",56,35.34,30,41,"Generalists"
"OTU150",36,32.348,27,38,"NS"
"OTU36938",2,2.682,2,3,"NS"
"OTU4366",42,24.59,19,30,"Generalists"
"OTU1094",31,17.278,13,22,"Generalists"
"OTU94173",2,1.888,1,2,"NS"
"OTU1679",6,6.782,5,9,"NS"
"OTU14934",8,8.898,6,12,"NS"
"OTU1767",11,12.202,9,16,"NS"
"OTU6731",7,9.554,7,12,"NS"
"OTU7916",30,23.328,19,28,"Generalists"
"OTU7040",5,5.764,4,8,"NS"
"OTU16632",10,11.934,9,15,"NS"
"OTU47758",2,2.666,2,3,"NS"
"OTU66",28,43.468,37,50,"Specialists"
"OTU96",43,57.66,52,64,"Specialists"
"OTU4758",16,9.54,7,12,"Generalists"
"OTU2710",42,23.164,18,28,"Generalists"
"OTU9550",5,5.848,4,8,"NS"
"OTU8756",4,14.55,11,18,"Specialists"
"OTU931",40,19.95,16,24,"Generalists"
"OTU75201",13,8.908,6,12,"Generalists"
"OTU12303",8,5.844,4,8,"NS"
"OTU24516",12,10.186,7,13,"NS"
"OTU6229",3,4.084,3,5,"NS"
"OTU2752",12,18.148,14,23,"Specialists"
"OTU25861",12,10.844,8,14,"NS"
"OTU5091",3,2.684,2,3,"NS"
"OTU54987",37,38.802,33,45,"NS"
"OTU14028",3,2.688,2,3,"NS"
"OTU5471",8,6.354,4,8,"NS"
"OTU10279",2,1.91,1,2,"NS"
"OTU2969",35,42.626,36.475,48.525,"Specialists"
"OTU3327",22,16.432,12,20,"Generalists"
"OTU3141",23,15.76,12,20,"Generalists"
"OTU3346",10,8.942,6,12,"NS"
"OTU5281",2,1.904,1,2,"NS"
"OTU759",20,15.59,11,20,"NS"
"OTU201",39,37.562,31,43,"NS"
"OTU818",70,41.862,36,48,"Generalists"
"OTU12625",4,4.7,3,6,"NS"
"OTU5216",2,1.888,1,2,"NS"
"OTU627",29,35.36,29,41,"NS"
"OTU577",15,35.494,29,41,"Specialists"
"OTU648",12,30.072,25,35,"Specialists"
"OTU2036",38,22.602,18,28,"Generalists"
"OTU1497",37,31.23,26,37,"NS"
"OTU2777",20,12.876,9,16,"Generalists"
"OTU1113",14,10.944,8,14,"NS"
"OTU23264",10,12.872,9.475,16,"NS"
"OTU27",51,70.614,67,74,"Specialists"
"OTU11632",3,3.422,2,4,"NS"
"OTU2867",3,7.17,5,9,"Specialists"
"OTU4212",18,14.19,11,18,"NS"
"OTU3802",26,22.308,18,27,"NS"
"OTU22406",2,1.868,1,2,"NS"
"OTU6784",7,5.25,4,7,"NS"
"OTU2928",18,16.798,13,21,"NS"
"OTU1762",26,15.25,11,19,"Generalists"
"OTU3170",12,10.24,7,13,"NS"
"OTU54934",4,3.408,2,4,"NS"
"OTU9266",15,9.21,6,12,"Generalists"
"OTU4060",7,6.278,4,8,"NS"
"OTU1078",14,13.53,10,17,"NS"
"OTU34787",7,5.244,3,7,"NS"
"OTU10925",4,4.118,3,5,"NS"
"OTU7206",11,9.972,7,13,"NS"
"OTU4478",5,5.302,3,7,"NS"
"OTU1455",16,20.026,15,25,"NS"
"OTU837",39,31.086,25.475,36,"Generalists"
"OTU1296",9,13.902,10,18,"Specialists"
"OTU8735",26,16.086,12,20,"Generalists"
"OTU4867",43,49.196,43.475,56,"Specialists"
"OTU58608",6,7.722,5,10,"NS"
"OTU9519",10,7.282,5,10,"NS"
"OTU88013",3,2.696,2,3,"NS"
"OTU7114",19,12.242,9,16,"Generalists"
"OTU4456",23,14.714,11,19,"Generalists"
"OTU7942",33,37.448,31,42.525,"NS"
"OTU98331",6,4.626,3,6,"NS"
"OTU1799",24,13.822,10,18,"Generalists"
"OTU4322",46,45.746,40,53,"NS"
