"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU4228",4,2.558,1,4,"NS"
"OTU120",25,5.912,3,9,"Generalists"
"OTU163",3,1.794,1,3,"NS"
"OTU7840",28,4.83,2,8,"Generalists"
"OTU10521",2,1.442,1,3,"NS"
"OTU5041",3,3.162,1,5,"NS"
"OTU5716",3,2.292,1,4,"NS"
"OTU1284",9,8.422,5,12,"NS"
"OTU3988",3,3.722,2,6,"NS"
"OTU12189",21,4.166,2,7,"Generalists"
"OTU131",19,37.33,30.475,44,"Specialists"
"OTU476",7,24.53,19,30,"Specialists"
"OTU13013",8,2.386,1,4,"Generalists"
"OTU183",22,32.364,26.475,39,"Specialists"
"OTU9703",3,1.494,1,3,"NS"
"OTU3359",14,6.588,4,10,"Generalists"
"OTU4198",4,3.944,2,6,"NS"
"OTU7264",3,3.77,2,6,"NS"
"OTU7451",10,2.292,1,4,"Generalists"
"OTU5399",7,2.194,1,4,"Generalists"
"OTU11860",5,2.006,1,4,"Generalists"
"OTU115",21,20.464,15,26,"NS"
"OTU709",2,2.286,1,4,"NS"
"OTU4381",10,10.742,7,15,"NS"
"OTU364",4,7.324,4,11,"NS"
"OTU11196",2,1.32,1,2,"NS"
"OTU7416",3,1.62,1,3,"NS"
"OTU186",5,2.058,1,4,"Generalists"
"OTU2521",6,5.778,3,9,"NS"
"OTU127",21,22.264,17,28.525,"NS"
"OTU2208",2,1.536,1,3,"NS"
"OTU5602",2,1.28,1,2,"NS"
"OTU13039",24,5.092,3,8,"Generalists"
"OTU10922",14,2.776,1,5,"Generalists"
"OTU229",4,1.696,1,3,"Generalists"
"OTU51",21,4.096,2,7,"Generalists"
"OTU12561",12,2.818,1,5,"Generalists"
"OTU22",17,4.15,2,7,"Generalists"
"OTU129",8,2.23,1,4,"Generalists"
"OTU34",7,13.234,9,18,"Specialists"
"OTU5042",14,5.658,3,9,"Generalists"
"OTU1513",2,10.174,6.475,14,"Specialists"
"OTU632",14,20.06,15,25,"Specialists"
"OTU2171",4,6.928,4,11,"NS"
"OTU2947",1,5.396,3,9,"Specialists"
"OTU663",6,8.248,5,12,"NS"
"OTU508",9,16.462,12,21,"Specialists"
"OTU4278",1,3.464,1,6,"NS"
"OTU5302",1,3.042,1,5,"NS"
"OTU4052",2,3.366,2,6,"NS"
"OTU401",4,10.456,7,15,"Specialists"
"OTU2691",5,5.666,3,9,"NS"
"OTU1084",5,8.718,5,13,"NS"
"OTU2427",8,8.802,5,12,"NS"
"OTU725",9,8.666,5,13,"NS"
"OTU757",2,2.014,1,4,"NS"
"OTU7638",1,1.824,1,3,"NS"
"OTU6299",10,3.69,2,6,"Generalists"
"OTU4265",2,2.77,1,5,"NS"
"OTU7244",1,1.272,1,2,"NS"
"OTU4163",2,1.8,1,3,"NS"
"OTU3928",5,4.712,2,8,"NS"
"OTU527",3,1.99,1,3.52499999999998,"NS"
"OTU1515",9,4.76,2,8,"Generalists"
"OTU8294",16,4.598,2,7,"Generalists"
"OTU4689",12,10.712,7,15,"NS"
"OTU3830",3,3.752,2,6,"NS"
"OTU5723",3,1.64,1,3,"NS"
"OTU11825",5,2.402,1,4,"Generalists"
"OTU11083",5,5.016,3,8,"NS"
"OTU6184",2,1.312,1,2,"NS"
"OTU2913",7,2.208,1,4,"Generalists"
"OTU3771",5,3.72,2,6,"NS"
"OTU2410",9,7.526,4,11,"NS"
"OTU4562",2,1.684,1,3,"NS"
"OTU10199",17,4.358,2,7,"Generalists"
"OTU4402",2,3.798,2,6,"NS"
"OTU12148",10,3.29,1,6,"Generalists"
"OTU12842",6,4.98,2,8,"NS"
"OTU1372",6,2.7,1,4.52499999999998,"Generalists"
"OTU3071",9,5.592,3,9,"NS"
"OTU8027",1,1.488,1,2,"NS"
"OTU277",3,2.828,1,5,"NS"
"OTU8974",3,3.574,1,6,"NS"
"OTU117",25,18.114,13,24,"Generalists"
"OTU2562",4,5.368,3,8,"NS"
"OTU5026",3,2.506,1,4,"NS"
"OTU3004",2,2.002,1,3,"NS"
"OTU9505",2,1.264,1,2,"NS"
