,sign,Domain,Phylum,Class,Order,Family,Genus
OTU14586,NS,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU80319,NS,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,uncl_Opitutaceae
OTU1639,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU533,NS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,uncl_Oxalobacteraceae
OTU2653,NS,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU869,NS,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Oscillochloridaceae,Oscillochloris
OTU19041,NS,Bacteria,Actinobacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU3817,NS,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
OTU5426,Specialists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma
OTU44375,NS,Bacteria,Planctomycetes,Planctomycetacia,uncl_Planctomycetacia,uncl_Planctomycetacia,uncl_Planctomycetacia
OTU27759,NS,Bacteria,Actinobacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU4736,NS,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU3385,NS,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6
OTU327,Generalists,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,uncl_Micromonosporaceae
OTU1886,NS,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas/Armatimonadetes_gp3
OTU6663,NS,Bacteria,Acidobacteria,Acidobacteria_Gp10,uncl_Acidobacteria_Gp10,uncl_Acidobacteria_Gp10,Gp10
OTU4726,Specialists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU2932,NS,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,Patulibacter
OTU6907,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp4,uncl_Acidobacteria_Gp4,uncl_Acidobacteria_Gp4,Gp4
OTU6768,NS,Bacteria,Proteobacteria,Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria
OTU58952,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga
OTU14529,NS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
OTU3547,NS,Bacteria,Proteobacteria,Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria
OTU8171,NS,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU587,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,uncl_Acetobacteraceae
OTU1256,Generalists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU5007,NS,Bacteria,Proteobacteria,Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria
OTU2210,NS,Bacteria,Proteobacteria,Alphaproteobacteria,uncl_Alphaproteobacteria,uncl_Alphaproteobacteria,uncl_Alphaproteobacteria
OTU7444,NS,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,uncl_Planctomycetales,uncl_Planctomycetales
OTU2393,NS,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Oscillochloridaceae,Oscillochloris
OTU57393,NS,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,uncl_Sphingobacteriaceae
OTU8086,NS,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU97294,NS,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU340,Specialists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU817,Specialists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella
OTU2263,Generalists,Bacteria,Planctomycetes,Phycisphaerae,uncl_Phycisphaerae,uncl_Phycisphaerae,uncl_Phycisphaerae
OTU4933,NS,Bacteria,Planctomycetes,Planctomycetacia,uncl_Planctomycetacia,uncl_Planctomycetacia,uncl_Planctomycetacia
OTU11130,Specialists,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
