"","X1351_1887","X1351_1888","X1351_1889","X1351_1878","X1351_1879","X1351_1880","X1351_1882","X1351_1883","X1351_1884","X1351_1885","X1351_1886","X1351_1538","X1351_1539","X1351_1526","X1351_1527","X1351_1528","X1351_1529","X1351_1531","X1351_1532","X1351_1533","X1351_1534","X1351_1698","X1351_1699","X1351_1700","X1351_1689","X1351_1690","X1351_1691","X1351_1692","X1351_1694","X1351_1695","X1351_1696","X1351_1697","X1351_1549","X1351_1550","X1351_1551","X1351_1540","X1351_1542","X1351_1543","X1351_1544","X1351_1545","X1351_1546","X1351_1547","X1351_1548","X1351_1597","X1351_1598","X1351_1588","X1351_1589","X1351_1590","X1351_1591","X1351_1592","X1351_1593","X1351_1594","X1351_1595","X1351_1596","X1351_1852","X1351_1853","X1351_1854","X1351_1843","X1351_1844","X1351_1845","X1351_1846","X1351_1847","X1351_1848","X1351_1849","X1351_1850","X1351_1790","X1351_1791","X1351_1792","X1351_1781","X1351_1783","X1351_1785","X1351_1786","X1351_1787","X1351_1788","X1351_1789","X1351_1779","X1351_1780","X1351_1769","X1351_1770","X1351_1771","X1351_1772","X1351_1773","X1351_1774","X1351_1775","X1351_1776","X1351_1814","X1351_1816","X1351_1805","X1351_1807","X1351_1808","X1351_1809","X1351_1810","X1351_1811","X1351_1812","X1351_1813"
"OTU4878",0.000444839857651246,0.000222271615914648,0.000666740748972108,0.000111632060727841,0.000111358574610245,0,0.000111135807957324,0.000222444666889111,0.000890174696784244,0.00033348154735438,0.000221975582685905,0,0,0,0,0,0,0.000110987791342952,0.000110950848773993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110950848773993,0,0,0,0,0,0,0,0.000110803324099723,0.000886819643055094,0,0.000221459417561732,0.000110815602836879,0,0,0,0,0,0.000221361372440509,0.000222419928825623,0.000110926234054354,0,0,0,0.000222940586333742,0,0,0.000111234705228031,0,0.000111209964412811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223289047672212,0,0,0,0,0,0.000111894371713103,0,0,0.000111994624258036
"OTU904",0,0,0.000111123458162018,0,0,0.000110926234054354,0.000111135807957324,0,0.00011127183709803,0.000222321031569586,0.000110987791342952,0,0.000221803260507929,0.00011075423634954,0,0,0.000221877080097626,0.000221975582685905,0.000221901697547986,0,0.000221754074731123,0.000110791048083315,0,0,0,0,0,0,0,0,0,0.00011059500110595,0,0.000110840168477056,0,0,0,0,0.000221483942414175,0.00011101243339254,0.000110877037365562,0,0,0.000221606648199446,0.000443409821527547,0,0.00055364854390433,0.000554078014184397,0,0,0.000110692937790569,0,0.000553464688952845,0,0.000333629893238434,0.000110926234054354,0.000221901697547986,0.000333333333333333,0,0.000445881172667484,0,0.00022237046920169,0.000111234705228031,0.00033303730017762,0.000111209964412811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111644523836106,0.000111894371713103,0,0,0
"OTU77",0.00077846975088968,0.000444543231829295,0.000333370374486054,0.000446528242911364,0.000334075723830735,0.000221852468108708,0.000222271615914648,0.000444889333778223,0.00011127183709803,0.000666963094708759,0.000332963374028857,0.00288024814445552,0.000665409781523788,0.000332262709048621,0.00166500166500167,0.00110619469026549,0.00332815620146439,0.000332963374028857,0.000776655941417952,0.000998114672285683,0.000332631112096685,0.000553955240416574,0,0.000221238938053097,0,0.000332299512627382,0.000110729708780866,0.000110766504209127,0.00055420084238528,0.0002211900022119,0.000221680336954112,0.00011059500110595,0.000221803260507929,0.00055420084238528,0.000443704936217415,0.00199711527793188,0.00232996782425386,0.00188825946906587,0.000553709856035437,0.00310834813499112,0.000221754074731123,0.000997450958661199,0.000444395067214754,0.00199445983379501,0.00399068839374792,0.00532209779354696,0.00143948621415126,0.00421099290780142,0.00121694877751964,0.00387897595034911,0.00221385875581138,0.00675526024363234,0.00553464688952845,0.00166021029330382,0.00155693950177936,0.000332778702163062,0.000443803395095972,0,0.000332741792369122,0.00111470293166871,0.000332631112096685,0.00066711140760507,0.000444938820912125,0.00011101243339254,0.00077846975088968,0.00244091867302785,0.000445087348392122,0.000998114672285683,0.000555000555000555,0,0.00155659328441183,0.000776053215077605,0,0.00177481974486966,0.000776742121615624,0,0,0,0.000110803324099723,0,0.000555740802489719,0,0,0,0,0,0.000112069931637342,0,0,0,0.000223289047672212,0,0,0,0
"OTU83440",0.00567170818505338,0.00311180262280507,0.00288920991221247,0.00446528242911364,0.00467706013363029,0.00133111480865225,0.00188930873527451,0.00811923034145256,0.00567486369199955,0.00511338372610049,0.00377358490566038,0.00155090284701451,0.0056559831429522,0.00121829659984494,0.000333000333000333,0.000221238938053097,0.000887508320390504,0.00366259711431742,0.00210806612670587,0.00199622934457137,0.00399157334516022,0.00132949257699978,0,0.000995575221238938,0.000110680686220255,0.00409836065573771,0.00166094563171299,0.0024368630926008,0.00121924185324762,0.00033178500331785,0.000997561516293505,0.00077416500774165,0.00144172119330154,0.000775881179339393,0.000887409872434831,0.00432708310218573,0.000998557638965938,0.00144396312340331,0.00188261351052049,0.00321936056838366,0.0043242044572569,0.00343566441316635,0.00155538273525164,0.00365650969529086,0.00277131138454717,0.00166315556048342,0.00431845864245377,0.00542996453900709,0.00221263414094479,0.00321400864457497,0.000664157626743414,0.00121816168327796,0.00166039406685853,0.00166021029330382,0.00433718861209964,0.00199667221297837,0.00122045933651392,0.00222222222222222,0.000998225377107365,0.0042358711403411,0.00875928595187937,0.00522570602623972,0.00378197997775306,0.0044404973357016,0.00366992882562278,0.00266282037057583,0.00378324246133304,0.00232893423533326,0.00244200244200244,0.00288472206812382,0.0012230375806093,0.00144124168514412,0.0011101243339254,0.00266222961730449,0.00033288948069241,0.00300701637153358,0.000664599025254763,0.0016642627316099,0.000221606648199446,0.00066607460035524,0.00288985217294654,0.000776139261558931,0.000444642063139173,0.00166537137781725,0.000556235398820781,0.00401920285809981,0.00100862938473608,0.004014272970562,0.0087034144164249,0.00479482604817128,0.00368426928659149,0.00492335235537652,0.00100055586436909,0.00457028201984171,0.00291186023070893
"OTU2301",0.000111209964412811,0.000111135807957324,0.000111123458162018,0,0,0,0,0,0,0.000111160515784793,0.000221975582685905,0.000221557549573502,0.000221803260507929,0,0.000222000222000222,0,0,0,0.000110950848773993,0,0,0.000110791048083315,0,0,0,0,0.000110729708780866,0,0,0,0,0,0.000110901630253965,0,0,0,0.000110950848773993,0.000111074086415639,0.000332225913621262,0.00022202486678508,0,0,0,0,0.000221704910763773,0,0,0,0,0,0,0,0,0,0.000111209964412811,0.000110926234054354,0.000221901697547986,0.000111111111111111,0,0.000222940586333742,0,0,0,0,0,0.000110950848773993,0.000222543674196061,0,0.000111000111000111,0,0,0.000110864745011086,0.00011101243339254,0,0,0,0,0,0,0.00011101243339254,0.000333444481493831,0,0,0,0,0.000223289047672212,0.000224139863274683,0,0,0.000111507582515611,0.000111644523836106,0.000559471858565514,0.000333518621456365,0.000111470293166871,0
"OTU94",0.000111209964412811,0.000444543231829295,0.000444493832648072,0.00145121678946193,0.0010022271714922,0.000998336106489185,0.000555679039786619,0.00077855633411189,0.000778902859686213,0.000444642063139173,0.000554938956714761,0,0.000221803260507929,0.00011075423634954,0.00111000111000111,0.000110619469026549,0.000221877080097626,0.000665926748057714,0.000221901697547986,0.000110901630253965,0.000554385186827808,0.000443164192333259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111074086415639,0,0,0.000110877037365562,0,0,0.000443213296398892,0.000110852455381887,0.000221754074731123,0.000442918835123464,0.000221631205673759,0.00011063170704724,0.000110827884295689,0,0,0,0,0.000667259786476868,0.000554631170271769,0,0.000222222222222222,0,0.000334410879500613,0,0.00022237046920169,0.000556173526140156,0.00011101243339254,0.000444839857651246,0,0,0,0,0,0,0,0.00011101243339254,0,0,0,0,0,0,0,0.000111148160497944,0,0,0,0,0.000111644523836106,0.000896559453098734,0.000334522747546833,0,0.000557537912578055,0.000446578095344423,0.000223788743426206,0.000333518621456365,0.000111470293166871,0.000783962369806249
"OTU62369",0.000667259786476868,0.000222271615914648,0.00055561729081009,0.0018977450323733,0.00478841870824053,0.000332778702163062,0.000666814847743943,0.000889778667556445,0.000222543674196061,0.000778123610493553,0.000221975582685905,0.00110778774786751,0.00487967173117445,0.000664525418097242,0.000222000222000222,0.000110619469026549,0.000665631240292878,0.00177580466148724,0.000443803395095972,0.000887213042031718,0.00476771260671915,0.000110791048083315,0,0,0,0,0.000332189126342598,0.000110766504209127,0.000110840168477056,0,0.000221680336954112,0,0.000221803260507929,0,0.000110926234054354,0.000221901697547986,0,0,0.000110741971207087,0.00044404973357016,0.000110877037365562,0.000110827884295689,0.000111098766803688,0.00188365650969529,0.000221704910763773,0.000443508149462246,0.00166094563171299,0.000997340425531915,0.000553158535236199,0.00210572980161809,0.000221385875581138,0.000332225913621262,0.000110692937790569,0.000332042058660764,0.000556049822064057,0.000665557404326123,0.000110950848773993,0.00155555555555556,0,0.000222940586333742,0.000997893336290054,0.00111185234600845,0.000889877641824249,0.00011101243339254,0.00144572953736655,0.000110950848773993,0.00011127183709803,0.000110901630253965,0,0.000221901697547986,0.00022237046920169,0,0.00022202486678508,0.000110926234054354,0,0.000556854883617329,0,0.000110950848773993,0,0.0005550621669627,0.000444592641991775,0.000776139261558931,0.000222321031569586,0.00011102475852115,0.00100122371787741,0,0.000336209794912025,0.000669045495093666,0.0010042401249721,0.000334522747546833,0.000558222619180529,0.000671366230278617,0.000222345747637576,0,0.00100795161832232
"OTU1294",0.000111209964412811,0.000333407423871972,0.000222246916324036,0,0.000111358574610245,0.000110926234054354,0,0,0,0,0.000110987791342952,0,0,0.00011075423634954,0,0.000110619469026549,0.000110938540048813,0,0,0,0,0,0.00033171163202123,0,0,0.000110766504209127,0,0,0.000221680336954112,0,0.000110840168477056,0,0,0.000110840168477056,0,0.000332852546321979,0,0,0,0.00011101243339254,0,0.000110827884295689,0.000111098766803688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111185234600845,0,0.00022202486678508,0,0,0,0,0.000111000111000111,0,0.00022237046920169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000784489521461392,0.0010035682426405,0,0.000111507582515611,0,0,0.000222345747637576,0,0
"OTU846",0.000222419928825623,0,0,0,0.000111358574610245,0,0.000111135807957324,0,0.00011127183709803,0,0,0,0,0,0.000111000111000111,0,0,0,0.000554754243869966,0,0.000221754074731123,0.000110791048083315,0,0,0,0,0,0,0,0,0,0,0.000110901630253965,0,0,0,0,0,0,0.00011101243339254,0,0,0,0.000110803324099723,0.000110852455381887,0,0.000221459417561732,0.000221631205673759,0.000221263414094479,0,0,0.000332225913621262,0.000110692937790569,0.000110680686220255,0,0.000332778702163062,0,0.000111111111111111,0,0.000222940586333742,0,0.000111185234600845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111148160497944,0,0,0,0,0,0,0,0,0.000111507582515611,0.000223289047672212,0,0,0,0.000111994624258036
"OTU46",0.00300266903914591,0.00111135807957324,0.00488943215912879,0.00491181067202501,0.0184855233853007,0.00321686078757626,0.000555679039786619,0.00611722833945056,0.0040057861355291,0.00622498888394842,0.00155382907880133,0.00254791182009527,0.00654319618498392,0.00653449994462288,0.000888000888000888,0.00497787610619469,0.00244064788107389,0.00221975582685905,0.00188616442915788,0.0121991793279361,0.0140813837454263,0.000332373144249945,0.000442282176028306,0.00110619469026549,0.000774764803541782,0.00454142667257421,0.00298970213708338,0.00332299512627381,0.00110840168477056,0.0008847600088476,0.00055420084238528,0.0004423800044238,0.00476877010092048,0.00476612724451341,0.00854132002218525,0.00499278819482969,0.0048818373460557,0.00444296345662557,0.00786267995570321,0.00965808170515098,0.00232841778467679,0.00554139421478444,0.00322186423730697,0.0100831024930748,0.0075379669659683,0.00731788446612707,0.00409699922489204,0.0125221631205674,0.00232326584799203,0.00432228748753186,0.00376355988487934,0.0166112956810631,0.0108479079034758,0.00254565578306586,0.00645017793594306,0.000665557404326123,0.000110950848773993,0.00522222222222222,0.000443655723158829,0.00679968788317913,0.0102006874376317,0.00778296642205915,0.00634037819799778,0.00477353463587922,0.00189056939501779,0.00366137800954177,0.00522977634360743,0.018853277143174,0.00155400155400155,0.00277377121934983,0.00422503891483211,0.000665188470066519,0.00133214920071048,0.0189683860232945,0.00588104749223258,0.00278427441808665,0.00265839610101905,0.00199711527793188,0.000443213296398892,0.00466252220248668,0.00500166722240747,0.00365894223306353,0.000889284126278346,0.000888198068169202,0.0088997663811325,0.00156302333370548,0.000224139863274683,0.00122658340767172,0.00747600981923678,0.00167261373773417,0.00145137880986938,0.000671366230278617,0.000111172873818788,0.00133764351800245,0.0015679247396125
